idx,L:RFQPAH,L:RFQPAH Timestamp,L:D7TOR,L:D7TOR Timestamp,L:TO3IN,L:TO3IN Timestamp,L:TO5OUT,L:TO5OUT Timestamp,L:RFBPAH,L:RFBPAH Timestamp,L:TO1IN,L:TO1IN Timestamp,L:D7LMSM,L:D7LMSM Timestamp,L:D00LM,L:D00LM Timestamp,L:D11LM,L:D11LM Timestamp,L:D12LM,L:D12LM Timestamp,L:D13LM,L:D13LM Timestamp,L:D14LM,L:D14LM Timestamp,L:D21LM,L:D21LM Timestamp,L:D22LM,L:D22LM Timestamp,L:D23LM,L:D23LM Timestamp,L:D24LM,L:D24LM Timestamp,L:D31LM,L:D31LM Timestamp,L:D32LM,L:D32LM Timestamp,L:D33LM,L:D33LM Timestamp,L:D34LM,L:D34LM Timestamp,L:D41LM,L:D41LM Timestamp,L:D42LM,L:D42LM Timestamp,L:D43LM,L:D43LM Timestamp,L:D44LM,L:D44LM Timestamp,L:D51LM,L:D51LM Timestamp,L:D52LM,L:D52LM Timestamp,L:D53LM,L:D53LM Timestamp,L:D54LM,L:D54LM Timestamp,L:D61LM,L:D61LM Timestamp,L:D62LM,L:D62LM Timestamp,L:D63LM,L:D63LM Timestamp,L:D64LM,L:D64LM Timestamp,L:D71LM,L:D71LM Timestamp,L:D72LM,L:D72LM Timestamp,L:D73LM,L:D73LM Timestamp,L:D74LM,L:D74LM Timestamp,L:V5QSET,L:V5QSET Timestamp
0,165.63720703125,2021-11-26 17:42:42.230000+00:00,24.352441237768343,2021-11-26 17:42:42.230000+00:00,25.254696713323973,2021-11-26 17:42:42.230000+00:00,24.752833123603818,2021-11-26 17:42:42.230000+00:00,227.227294921875,2021-11-26 17:42:42.230000+00:00,26.61216666583008,2021-11-26 17:42:42.230000+00:00,14.923095703125,2021-11-26 17:42:42.230000+00:00,0.518798828125,2021-11-26 17:42:42.230000+00:00,0.341796875,2021-11-26 17:42:42.230000+00:00,0.048828125,2021-11-26 17:42:42.230000+00:00,-0.0946044921875,2021-11-26 17:42:42.230000+00:00,2.1514892578125,2021-11-26 17:42:42.230000+00:00,1.5899658203125,2021-11-26 17:42:42.230000+00:00,0.2166748046875,2021-11-26 17:42:42.230000+00:00,0.5279541015625,2021-11-26 17:42:42.230000+00:00,0.10986328125,2021-11-26 17:42:42.230000+00:00,1.5594482421875,2021-11-26 17:42:42.230000+00:00,0.1708984375,2021-11-26 17:42:42.230000+00:00,1.6204833984375,2021-11-26 17:42:42.230000+00:00,0.738525390625,2021-11-26 17:42:42.230000+00:00,0.0213623046875,2021-11-26 17:42:42.230000+00:00,0.347900390625,2021-11-26 17:42:42.230000+00:00,0.6011962890625,2021-11-26 17:42:42.230000+00:00,-0.067138671875,2021-11-26 17:42:42.230000+00:00,0.0640869140625,2021-11-26 17:42:42.230000+00:00,0.1312255859375,2021-11-26 17:42:42.230000+00:00,0.469970703125,2021-11-26 17:42:42.230000+00:00,0.750732421875,2021-11-26 17:42:42.230000+00:00,0.08544921875,2021-11-26 17:42:42.230000+00:00,-0.262451171875,2021-11-26 17:42:42.230000+00:00,0.1953125,2021-11-26 17:42:42.230000+00:00,0.640869140625,2021-11-26 17:42:42.230000+00:00,0.3509521484375,2021-11-26 17:42:42.230000+00:00,0.164794921875,2021-11-26 17:42:42.230000+00:00,-0.0244140625,2021-11-26 17:42:42.230000+00:00,0.244140625,2021-11-26 17:42:42.230000+00:00,-32.29999542236328,2021-11-26 17:42:42.230000+00:00
1,165.63720703125,2021-11-26 17:42:42.296000+00:00,24.19752362480512,2021-11-26 17:42:42.296000+00:00,25.33658613197937,2021-11-26 17:42:42.296000+00:00,24.731342291744568,2021-11-26 17:42:42.296000+00:00,229.1949462890625,2021-11-26 17:42:42.296000+00:00,26.596563847662964,2021-11-26 17:42:42.296000+00:00,16.546630859375,2021-11-26 17:42:42.296000+00:00,0.6439208984375,2021-11-26 17:42:42.296000+00:00,0.4150390625,2021-11-26 17:42:42.296000+00:00,-0.2044677734375,2021-11-26 17:42:42.296000+00:00,-0.0885009765625,2021-11-26 17:42:42.296000+00:00,3.1158447265625,2021-11-26 17:42:42.296000+00:00,2.2064208984375,2021-11-26 17:42:42.296000+00:00,0.030517578125,2021-11-26 17:42:42.296000+00:00,0.469970703125,2021-11-26 17:42:42.296000+00:00,0.189208984375,2021-11-26 17:42:42.296000+00:00,1.2725830078125,2021-11-26 17:42:42.296000+00:00,0.238037109375,2021-11-26 17:42:42.296000+00:00,1.3275146484375,2021-11-26 17:42:42.296000+00:00,0.872802734375,2021-11-26 17:42:42.296000+00:00,0.1922607421875,2021-11-26 17:42:42.296000+00:00,0.146484375,2021-11-26 17:42:42.296000+00:00,0.28076171875,2021-11-26 17:42:42.296000+00:00,0.0091552734375,2021-11-26 17:42:42.296000+00:00,0.0701904296875,2021-11-26 17:42:42.296000+00:00,0.103759765625,2021-11-26 17:42:42.296000+00:00,0.5340576171875,2021-11-26 17:42:42.296000+00:00,0.946044921875,2021-11-26 17:42:42.296000+00:00,0.1617431640625,2021-11-26 17:42:42.296000+00:00,0.0732421875,2021-11-26 17:42:42.296000+00:00,0.1251220703125,2021-11-26 17:42:42.296000+00:00,0.64697265625,2021-11-26 17:42:42.296000+00:00,0.286865234375,2021-11-26 17:42:42.296000+00:00,0.37841796875,2021-11-26 17:42:42.296000+00:00,0.0396728515625,2021-11-26 17:42:42.296000+00:00,0.1495361328125,2021-11-26 17:42:42.296000+00:00,-32.29999542236328,2021-11-26 17:42:42.297000+00:00
2,165.63720703125,2021-11-26 17:42:42.363000+00:00,24.20359882531348,2021-11-26 17:42:42.363000+00:00,25.346412862218017,2021-11-26 17:42:42.363000+00:00,24.752833123603818,2021-11-26 17:42:42.363000+00:00,229.08563232421875,2021-11-26 17:42:42.363000+00:00,26.662095683964843,2021-11-26 17:42:42.363000+00:00,14.959716796875,2021-11-26 17:42:42.363000+00:00,0.640869140625,2021-11-26 17:42:42.363000+00:00,0.2685546875,2021-11-26 17:42:42.363000+00:00,0.048828125,2021-11-26 17:42:42.363000+00:00,-0.2532958984375,2021-11-26 17:42:42.363000+00:00,3.1768798828125,2021-11-26 17:42:42.363000+00:00,2.2308349609375,2021-11-26 17:42:42.363000+00:00,-0.115966796875,2021-11-26 17:42:42.363000+00:00,0.6927490234375,2021-11-26 17:42:42.363000+00:00,0.32958984375,2021-11-26 17:42:42.363000+00:00,0.9002685546875,2021-11-26 17:42:42.363000+00:00,0.03662109375,2021-11-26 17:42:42.363000+00:00,1.092529296875,2021-11-26 17:42:42.363000+00:00,0.787353515625,2021-11-26 17:42:42.363000+00:00,0.0396728515625,2021-11-26 17:42:42.363000+00:00,0.054931640625,2021-11-26 17:42:42.363000+00:00,0.335693359375,2021-11-26 17:42:42.363000+00:00,0.1129150390625,2021-11-26 17:42:42.363000+00:00,0.1434326171875,2021-11-26 17:42:42.363000+00:00,0.048828125,2021-11-26 17:42:42.363000+00:00,0.537109375,2021-11-26 17:42:42.363000+00:00,1.025390625,2021-11-26 17:42:42.363000+00:00,0.0244140625,2021-11-26 17:42:42.363000+00:00,-0.0244140625,2021-11-26 17:42:42.363000+00:00,0.2227783203125,2021-11-26 17:42:42.363000+00:00,0.52490234375,2021-11-26 17:42:42.363000+00:00,0.4486083984375,2021-11-26 17:42:42.363000+00:00,0.3204345703125,2021-11-26 17:42:42.363000+00:00,-0.0885009765625,2021-11-26 17:42:42.363000+00:00,0.1800537109375,2021-11-26 17:42:42.363000+00:00,-32.29999542236328,2021-11-26 17:42:42.363000+00:00
3,165.63720703125,2021-11-26 17:42:42.430000+00:00,24.212711626076025,2021-11-26 17:42:42.430000+00:00,25.20228748538452,2021-11-26 17:42:42.430000+00:00,24.709851459885314,2021-11-26 17:42:42.430000+00:00,228.976318359375,2021-11-26 17:42:42.430000+00:00,26.587202156762693,2021-11-26 17:42:42.430000+00:00,14.58740234375,2021-11-26 17:42:42.430000+00:00,0.5279541015625,2021-11-26 17:42:42.430000+00:00,-0.0518798828125,2021-11-26 17:42:42.430000+00:00,0.03662109375,2021-11-26 17:42:42.430000+00:00,0.01220703125,2021-11-26 17:42:42.430000+00:00,2.6580810546875,2021-11-26 17:42:42.430000+00:00,2.117919921875,2021-11-26 17:42:42.430000+00:00,-0.1007080078125,2021-11-26 17:42:42.430000+00:00,0.787353515625,2021-11-26 17:42:42.430000+00:00,0.244140625,2021-11-26 17:42:42.430000+00:00,1.26953125,2021-11-26 17:42:42.430000+00:00,0.2166748046875,2021-11-26 17:42:42.430000+00:00,1.3763427734375,2021-11-26 17:42:42.430000+00:00,0.62255859375,2021-11-26 17:42:42.430000+00:00,0.018310546875,2021-11-26 17:42:42.430000+00:00,-0.1953125,2021-11-26 17:42:42.430000+00:00,0.13427734375,2021-11-26 17:42:42.430000+00:00,0.1434326171875,2021-11-26 17:42:42.430000+00:00,0.0640869140625,2021-11-26 17:42:42.430000+00:00,0.0030517578125,2021-11-26 17:42:42.430000+00:00,0.5767822265625,2021-11-26 17:42:42.430000+00:00,0.714111328125,2021-11-26 17:42:42.430000+00:00,0.0396728515625,2021-11-26 17:42:42.430000+00:00,-0.030517578125,2021-11-26 17:42:42.430000+00:00,0.1251220703125,2021-11-26 17:42:42.430000+00:00,0.6927490234375,2021-11-26 17:42:42.430000+00:00,0.4913330078125,2021-11-26 17:42:42.430000+00:00,0.372314453125,2021-11-26 17:42:42.430000+00:00,0.0091552734375,2021-11-26 17:42:42.430000+00:00,0.06103515625,2021-11-26 17:42:42.430000+00:00,-32.29999542236328,2021-11-26 17:42:42.430000+00:00
4,165.63720703125,2021-11-26 17:42:42.496000+00:00,24.291689232684725,2021-11-26 17:42:42.496000+00:00,25.248145559831546,2021-11-26 17:42:42.496000+00:00,24.805025143833436,2021-11-26 17:42:42.496000+00:00,228.86700439453125,2021-11-26 17:42:42.496000+00:00,26.665216247598263,2021-11-26 17:42:42.496000+00:00,16.473388671875,2021-11-26 17:42:42.496000+00:00,0.52490234375,2021-11-26 17:42:42.496000+00:00,0.20751953125,2021-11-26 17:42:42.496000+00:00,-0.0640869140625,2021-11-26 17:42:42.496000+00:00,-0.1739501953125,2021-11-26 17:42:42.496000+00:00,2.960205078125,2021-11-26 17:42:42.496000+00:00,2.20947265625,2021-11-26 17:42:42.496000+00:00,-0.2197265625,2021-11-26 17:42:42.496000+00:00,0.628662109375,2021-11-26 17:42:42.496000+00:00,0.4638671875,2021-11-26 17:42:42.496000+00:00,1.324462890625,2021-11-26 17:42:42.496000+00:00,0.115966796875,2021-11-26 17:42:42.496000+00:00,1.23291015625,2021-11-26 17:42:42.496000+00:00,0.8453369140625,2021-11-26 17:42:42.496000+00:00,0.250244140625,2021-11-26 17:42:42.496000+00:00,0.0457763671875,2021-11-26 17:42:42.496000+00:00,0.408935546875,2021-11-26 17:42:42.496000+00:00,0.1190185546875,2021-11-26 17:42:42.496000+00:00,0.0823974609375,2021-11-26 17:42:42.496000+00:00,0.0701904296875,2021-11-26 17:42:42.496000+00:00,0.7232666015625,2021-11-26 17:42:42.496000+00:00,0.9002685546875,2021-11-26 17:42:42.496000+00:00,0.2166748046875,2021-11-26 17:42:42.496000+00:00,0.1190185546875,2021-11-26 17:42:42.496000+00:00,0.2593994140625,2021-11-26 17:42:42.496000+00:00,0.6561279296875,2021-11-26 17:42:42.496000+00:00,0.2960205078125,2021-11-26 17:42:42.496000+00:00,0.30517578125,2021-11-26 17:42:42.496000+00:00,-0.1068115234375,2021-11-26 17:42:42.496000+00:00,0.2838134765625,2021-11-26 17:42:42.496000+00:00,-32.29999542236328,2021-11-26 17:42:42.497000+00:00
5,165.63720703125,2021-11-26 17:42:42.563000+00:00,24.16411002200913,2021-11-26 17:42:42.563000+00:00,25.33658613197937,2021-11-26 17:42:42.563000+00:00,24.76050842069641,2021-11-26 17:42:42.563000+00:00,228.7576904296875,2021-11-26 17:42:42.563000+00:00,26.621528356730344,2021-11-26 17:42:42.563000+00:00,17.37060546875,2021-11-26 17:42:42.563000+00:00,0.4180908203125,2021-11-26 17:42:42.563000+00:00,0.518798828125,2021-11-26 17:42:42.563000+00:00,0.091552734375,2021-11-26 17:42:42.563000+00:00,-0.1678466796875,2021-11-26 17:42:42.563000+00:00,2.9754638671875,2021-11-26 17:42:42.563000+00:00,2.11181640625,2021-11-26 17:42:42.563000+00:00,-0.0244140625,2021-11-26 17:42:42.563000+00:00,0.40283203125,2021-11-26 17:42:42.563000+00:00,0.1251220703125,2021-11-26 17:42:42.563000+00:00,1.4068603515625,2021-11-26 17:42:42.563000+00:00,0.3448486328125,2021-11-26 17:42:42.563000+00:00,1.220703125,2021-11-26 17:42:42.563000+00:00,0.8148193359375,2021-11-26 17:42:42.563000+00:00,0.1953125,2021-11-26 17:42:42.563000+00:00,0.0457763671875,2021-11-26 17:42:42.563000+00:00,0.30517578125,2021-11-26 17:42:42.563000+00:00,0.03662109375,2021-11-26 17:42:42.563000+00:00,0.1556396484375,2021-11-26 17:42:42.563000+00:00,0.1708984375,2021-11-26 17:42:42.563000+00:00,0.6317138671875,2021-11-26 17:42:42.563000+00:00,1.214599609375,2021-11-26 17:42:42.563000+00:00,0.1678466796875,2021-11-26 17:42:42.563000+00:00,-0.0244140625,2021-11-26 17:42:42.563000+00:00,0.42724609375,2021-11-26 17:42:42.563000+00:00,0.6591796875,2021-11-26 17:42:42.563000+00:00,0.68359375,2021-11-26 17:42:42.563000+00:00,0.189208984375,2021-11-26 17:42:42.563000+00:00,0.128173828125,2021-11-26 17:42:42.563000+00:00,-0.018310546875,2021-11-26 17:42:42.563000+00:00,-32.29999542236328,2021-11-26 17:42:42.563000+00:00
6,165.63720703125,2021-11-26 17:42:42.629000+00:00,24.422306043614505,2021-11-26 17:42:42.629000+00:00,25.562600927468264,2021-11-26 17:42:42.629000+00:00,24.955460966848204,2021-11-26 17:42:42.629000+00:00,228.64837646484372,2021-11-26 17:42:42.629000+00:00,26.808762174735715,2021-11-26 17:42:42.629000+00:00,16.66259765625,2021-11-26 17:42:42.629000+00:00,0.445556640625,2021-11-26 17:42:42.629000+00:00,0.347900390625,2021-11-26 17:42:42.629000+00:00,0.030517578125,2021-11-26 17:42:42.629000+00:00,-0.0885009765625,2021-11-26 17:42:42.629000+00:00,2.99072265625,2021-11-26 17:42:42.629000+00:00,2.1331787109375,2021-11-26 17:42:42.629000+00:00,-0.0732421875,2021-11-26 17:42:42.629000+00:00,0.8819580078125,2021-11-26 17:42:42.629000+00:00,0.091552734375,2021-11-26 17:42:42.629000+00:00,1.26953125,2021-11-26 17:42:42.629000+00:00,0.1556396484375,2021-11-26 17:42:42.629000+00:00,1.4312744140625,2021-11-26 17:42:42.629000+00:00,0.8331298828125,2021-11-26 17:42:42.629000+00:00,0.0579833984375,2021-11-26 17:42:42.629000+00:00,0.091552734375,2021-11-26 17:42:42.629000+00:00,0.372314453125,2021-11-26 17:42:42.629000+00:00,0.0030517578125,2021-11-26 17:42:42.629000+00:00,0.1434326171875,2021-11-26 17:42:42.629000+00:00,0.0244140625,2021-11-26 17:42:42.629000+00:00,0.634765625,2021-11-26 17:42:42.629000+00:00,0.9185791015625,2021-11-26 17:42:42.629000+00:00,0.08544921875,2021-11-26 17:42:42.629000+00:00,0.10986328125,2021-11-26 17:42:42.629000+00:00,0.1983642578125,2021-11-26 17:42:42.629000+00:00,0.616455078125,2021-11-26 17:42:42.629000+00:00,0.3448486328125,2021-11-26 17:42:42.629000+00:00,0.4058837890625,2021-11-26 17:42:42.629000+00:00,0.06103515625,2021-11-26 17:42:42.629000+00:00,0.054931640625,2021-11-26 17:42:42.629000+00:00,-32.29999542236328,2021-11-26 17:42:42.630000+00:00
7,165.63720703125,2021-11-26 17:42:42.696000+00:00,24.00311720853754,2021-11-26 17:42:42.696000+00:00,25.123673643475342,2021-11-26 17:42:42.696000+00:00,24.55327539919647,2021-11-26 17:42:42.696000+00:00,228.5390625,2021-11-26 17:42:42.696000+00:00,26.412450593291016,2021-11-26 17:42:42.696000+00:00,15.142822265625,2021-11-26 17:42:42.696000+00:00,0.4547119140625,2021-11-26 17:42:42.696000+00:00,0.2685546875,2021-11-26 17:42:42.696000+00:00,0.0335693359375,2021-11-26 17:42:42.696000+00:00,-0.4486083984375,2021-11-26 17:42:42.696000+00:00,2.978515625,2021-11-26 17:42:42.696000+00:00,2.0904541015625,2021-11-26 17:42:42.696000+00:00,-0.1556396484375,2021-11-26 17:42:42.696000+00:00,0.68359375,2021-11-26 17:42:42.696000+00:00,0.1739501953125,2021-11-26 17:42:42.696000+00:00,1.3336181640625,2021-11-26 17:42:42.696000+00:00,0.201416015625,2021-11-26 17:42:42.696000+00:00,1.2664794921875,2021-11-26 17:42:42.696000+00:00,0.74462890625,2021-11-26 17:42:42.696000+00:00,0.286865234375,2021-11-26 17:42:42.696000+00:00,0.28076171875,2021-11-26 17:42:42.696000+00:00,0.30517578125,2021-11-26 17:42:42.696000+00:00,-0.054931640625,2021-11-26 17:42:42.696000+00:00,0.1708984375,2021-11-26 17:42:42.696000+00:00,0.006103515625,2021-11-26 17:42:42.696000+00:00,0.6439208984375,2021-11-26 17:42:42.696000+00:00,0.9063720703125,2021-11-26 17:42:42.696000+00:00,0.274658203125,2021-11-26 17:42:42.696000+00:00,0.0579833984375,2021-11-26 17:42:42.696000+00:00,0.115966796875,2021-11-26 17:42:42.696000+00:00,0.177001953125,2021-11-26 17:42:42.696000+00:00,0.4425048828125,2021-11-26 17:42:42.696000+00:00,0.1129150390625,2021-11-26 17:42:42.696000+00:00,0.06103515625,2021-11-26 17:42:42.696000+00:00,-0.030517578125,2021-11-26 17:42:42.696000+00:00,-32.29999542236328,2021-11-26 17:42:42.697000+00:00
8,165.63720703125,2021-11-26 17:42:42.763000+00:00,24.34940363751416,2021-11-26 17:42:42.763000+00:00,25.461058048335573,2021-11-26 17:42:42.763000+00:00,24.88484823359637,2021-11-26 17:42:42.763000+00:00,228.42974853515625,2021-11-26 17:42:42.763000+00:00,26.796279920202025,2021-11-26 17:42:42.763000+00:00,15.53955078125,2021-11-26 17:42:42.763000+00:00,0.3448486328125,2021-11-26 17:42:42.763000+00:00,0.4364013671875,2021-11-26 17:42:42.763000+00:00,0.091552734375,2021-11-26 17:42:42.763000+00:00,-0.250244140625,2021-11-26 17:42:42.763000+00:00,2.83203125,2021-11-26 17:42:42.763000+00:00,2.0050048828125,2021-11-26 17:42:42.763000+00:00,-0.0030517578125,2021-11-26 17:42:42.763000+00:00,0.3204345703125,2021-11-26 17:42:42.763000+00:00,0.0274658203125,2021-11-26 17:42:42.763000+00:00,1.18408203125,2021-11-26 17:42:42.763000+00:00,0.164794921875,2021-11-26 17:42:42.763000+00:00,1.5380859375,2021-11-26 17:42:42.763000+00:00,0.677490234375,2021-11-26 17:42:42.763000+00:00,0.0762939453125,2021-11-26 17:42:42.763000+00:00,0.0885009765625,2021-11-26 17:42:42.763000+00:00,0.543212890625,2021-11-26 17:42:42.763000+00:00,-0.18310546875,2021-11-26 17:42:42.763000+00:00,0.128173828125,2021-11-26 17:42:42.763000+00:00,0.048828125,2021-11-26 17:42:42.763000+00:00,0.72021484375,2021-11-26 17:42:42.763000+00:00,0.8453369140625,2021-11-26 17:42:42.763000+00:00,0.0030517578125,2021-11-26 17:42:42.763000+00:00,0.03662109375,2021-11-26 17:42:42.763000+00:00,0.3570556640625,2021-11-26 17:42:42.763000+00:00,0.5218505859375,2021-11-26 17:42:42.763000+00:00,0.5889892578125,2021-11-26 17:42:42.763000+00:00,0.2105712890625,2021-11-26 17:42:42.763000+00:00,0.2471923828125,2021-11-26 17:42:42.763000+00:00,0.1953125,2021-11-26 17:42:42.763000+00:00,-32.29999542236328,2021-11-26 17:42:42.763000+00:00
9,165.63720703125,2021-11-26 17:42:42.829000+00:00,24.200561225059296,2021-11-26 17:42:42.829000+00:00,25.379168629680176,2021-11-26 17:42:42.829000+00:00,24.70064110337421,2021-11-26 17:42:42.829000+00:00,228.3204345703125,2021-11-26 17:42:42.829000+00:00,26.596563847662964,2021-11-26 17:42:42.829000+00:00,15.753173828125,2021-11-26 17:42:42.829000+00:00,0.494384765625,2021-11-26 17:42:42.829000+00:00,0.1373291015625,2021-11-26 17:42:42.829000+00:00,0.146484375,2021-11-26 17:42:42.829000+00:00,-0.2655029296875,2021-11-26 17:42:42.829000+00:00,3.0120849609375,2021-11-26 17:42:42.829000+00:00,2.008056640625,2021-11-26 17:42:42.829000+00:00,0.274658203125,2021-11-26 17:42:42.829000+00:00,0.4364013671875,2021-11-26 17:42:42.829000+00:00,0.238037109375,2021-11-26 17:42:42.829000+00:00,1.385498046875,2021-11-26 17:42:42.829000+00:00,0.2716064453125,2021-11-26 17:42:42.829000+00:00,1.629638671875,2021-11-26 17:42:42.829000+00:00,0.836181640625,2021-11-26 17:42:42.829000+00:00,0.09765625,2021-11-26 17:42:42.829000+00:00,-0.0213623046875,2021-11-26 17:42:42.829000+00:00,0.6256103515625,2021-11-26 17:42:42.829000+00:00,-0.115966796875,2021-11-26 17:42:42.829000+00:00,-0.213623046875,2021-11-26 17:42:42.829000+00:00,0.115966796875,2021-11-26 17:42:42.829000+00:00,0.5279541015625,2021-11-26 17:42:42.829000+00:00,0.823974609375,2021-11-26 17:42:42.829000+00:00,0.0152587890625,2021-11-26 17:42:42.829000+00:00,0.0579833984375,2021-11-26 17:42:42.829000+00:00,0.03662109375,2021-11-26 17:42:42.829000+00:00,0.506591796875,2021-11-26 17:42:42.829000+00:00,0.35400390625,2021-11-26 17:42:42.829000+00:00,0.1312255859375,2021-11-26 17:42:42.829000+00:00,0.03662109375,2021-11-26 17:42:42.829000+00:00,0.146484375,2021-11-26 17:42:42.829000+00:00,-32.29999542236328,2021-11-26 17:42:42.830000+00:00
