idx,L:RFQPAH,L:RFQPAH Timestamp,L:TO3IN,L:TO3IN Timestamp,L:RFBPAH,L:RFBPAH Timestamp,L:TO1IN,L:TO1IN Timestamp,L:D7LMSM,L:D7LMSM Timestamp,L:D00LM,L:D00LM Timestamp,L:D11LM,L:D11LM Timestamp,L:D12LM,L:D12LM Timestamp,L:D13LM,L:D13LM Timestamp,L:D14LM,L:D14LM Timestamp,L:D21LM,L:D21LM Timestamp,L:D22LM,L:D22LM Timestamp,L:D23LM,L:D23LM Timestamp,L:D24LM,L:D24LM Timestamp,L:D31LM,L:D31LM Timestamp,L:D32LM,L:D32LM Timestamp,L:D33LM,L:D33LM Timestamp,L:D34LM,L:D34LM Timestamp,L:D41LM,L:D41LM Timestamp,L:D42LM,L:D42LM Timestamp,L:D43LM,L:D43LM Timestamp,L:D44LM,L:D44LM Timestamp,L:D51LM,L:D51LM Timestamp,L:D52LM,L:D52LM Timestamp,L:D53LM,L:D53LM Timestamp,L:D54LM,L:D54LM Timestamp,L:D61LM,L:D61LM Timestamp,L:D62LM,L:D62LM Timestamp,L:D63LM,L:D63LM Timestamp,L:D64LM,L:D64LM Timestamp,L:D71LM,L:D71LM Timestamp,L:D72LM,L:D72LM Timestamp,L:D73LM,L:D73LM Timestamp,L:D74LM,L:D74LM Timestamp,L:TO5OUT,L:TO5OUT Timestamp,L:D7TOR,L:D7TOR Timestamp,L:V5QSET,L:V5QSET Timestamp
0,165.63720703125,2021-11-26 17:33:27.837000+00:00,25.248145559831546,2021-11-26 17:33:27.837000+00:00,227.57568359375,2021-11-26 17:33:27.837000+00:00,26.534152574994504,2021-11-26 17:33:27.837000+00:00,15.008544921875,2021-11-26 17:33:27.837000+00:00,0.4852294921875,2021-11-26 17:33:27.837000+00:00,0.0762939453125,2021-11-26 17:33:27.837000+00:00,0.0,2021-11-26 17:33:27.837000+00:00,-0.274658203125,2021-11-26 17:33:27.837000+00:00,3.021240234375,2021-11-26 17:33:27.837000+00:00,1.3275146484375,2021-11-26 17:33:27.837000+00:00,0.0213623046875,2021-11-26 17:33:27.837000+00:00,0.1708984375,2021-11-26 17:33:27.837000+00:00,0.396728515625,2021-11-26 17:33:27.837000+00:00,1.4923095703125,2021-11-26 17:33:27.837000+00:00,0.1983642578125,2021-11-26 17:33:27.837000+00:00,0.982666015625,2021-11-26 17:33:27.837000+00:00,0.970458984375,2021-11-26 17:33:27.837000+00:00,0.018310546875,2021-11-26 17:33:27.837000+00:00,0.5279541015625,2021-11-26 17:33:27.837000+00:00,0.274658203125,2021-11-26 17:33:27.837000+00:00,0.13427734375,2021-11-26 17:33:27.837000+00:00,0.048828125,2021-11-26 17:33:27.837000+00:00,0.238037109375,2021-11-26 17:33:27.837000+00:00,0.5279541015625,2021-11-26 17:33:27.837000+00:00,0.433349609375,2021-11-26 17:33:27.837000+00:00,-0.0244140625,2021-11-26 17:33:27.837000+00:00,-0.299072265625,2021-11-26 17:33:27.837000+00:00,-0.128173828125,2021-11-26 17:33:27.837000+00:00,0.6317138671875,2021-11-26 17:33:27.837000+00:00,-0.0030517578125,2021-11-26 17:33:27.837000+00:00,0.3173828125,2021-11-26 17:33:27.837000+00:00,-0.3631591796875,2021-11-26 17:33:27.837000+00:00,0.048828125,2021-11-26 17:33:27.837000+00:00,24.62542319186682,2021-11-26 17:33:27.837000+00:00,24.130696419213137,2021-11-26 17:33:27.837000+00:00,-32.29999542236328,2021-11-26 17:33:27.837000+00:00
1,175.50048828125,2021-11-26 17:33:27.903000+00:00,24.802667122346197,2021-11-26 17:33:27.903000+00:00,227.57568359375,2021-11-26 17:33:27.903000+00:00,26.334436502455443,2021-11-26 17:33:27.903000+00:00,15.350341796875,2021-11-26 17:33:27.903000+00:00,0.3753662109375,2021-11-26 17:33:27.903000+00:00,0.1190185546875,2021-11-26 17:33:27.903000+00:00,0.0579833984375,2021-11-26 17:33:27.903000+00:00,-0.262451171875,2021-11-26 17:33:27.903000+00:00,2.08740234375,2021-11-26 17:33:27.903000+00:00,0.6805419921875,2021-11-26 17:33:27.903000+00:00,0.0152587890625,2021-11-26 17:33:27.903000+00:00,0.4425048828125,2021-11-26 17:33:27.903000+00:00,0.3814697265625,2021-11-26 17:33:27.903000+00:00,2.508544921875,2021-11-26 17:33:27.903000+00:00,0.152587890625,2021-11-26 17:33:27.903000+00:00,1.300048828125,2021-11-26 17:33:27.903000+00:00,0.8056640625,2021-11-26 17:33:27.903000+00:00,-0.01220703125,2021-11-26 17:33:27.903000+00:00,0.47607421875,2021-11-26 17:33:27.903000+00:00,0.250244140625,2021-11-26 17:33:27.903000+00:00,0.0457763671875,2021-11-26 17:33:27.903000+00:00,0.20751953125,2021-11-26 17:33:27.903000+00:00,-0.018310546875,2021-11-26 17:33:27.903000+00:00,0.421142578125,2021-11-26 17:33:27.903000+00:00,0.9918212890625,2021-11-26 17:33:27.903000+00:00,-0.08544921875,2021-11-26 17:33:27.903000+00:00,-0.2044677734375,2021-11-26 17:33:27.903000+00:00,-0.0732421875,2021-11-26 17:33:27.903000+00:00,0.3997802734375,2021-11-26 17:33:27.903000+00:00,0.0457763671875,2021-11-26 17:33:27.903000+00:00,0.1678466796875,2021-11-26 17:33:27.903000+00:00,-0.1495361328125,2021-11-26 17:33:27.903000+00:00,-0.146484375,2021-11-26 17:33:27.903000+00:00,24.25393881258545,2021-11-26 17:33:27.903000+00:00,23.823898793540863,2021-11-26 17:33:27.903000+00:00,-32.29999542236328,2021-11-26 17:33:27.904000+00:00
2,175.40283203125,2021-11-26 17:33:27.970000+00:00,25.03850864807373,2021-11-26 17:33:27.970000+00:00,227.587890625,2021-11-26 17:33:27.970000+00:00,26.490464684126582,2021-11-26 17:33:27.970000+00:00,15.58837890625,2021-11-26 17:33:27.970000+00:00,0.3814697265625,2021-11-26 17:33:27.970000+00:00,0.1373291015625,2021-11-26 17:33:27.970000+00:00,0.0274658203125,2021-11-26 17:33:27.970000+00:00,-0.4241943359375,2021-11-26 17:33:27.970000+00:00,2.0782470703125,2021-11-26 17:33:27.970000+00:00,0.86669921875,2021-11-26 17:33:27.970000+00:00,0.1220703125,2021-11-26 17:33:27.970000+00:00,-0.1068115234375,2021-11-26 17:33:27.970000+00:00,0.2410888671875,2021-11-26 17:33:27.970000+00:00,3.18603515625,2021-11-26 17:33:27.970000+00:00,0.1129150390625,2021-11-26 17:33:27.970000+00:00,1.5472412109375,2021-11-26 17:33:27.970000+00:00,1.0162353515625,2021-11-26 17:33:27.970000+00:00,0.152587890625,2021-11-26 17:33:27.970000+00:00,0.4364013671875,2021-11-26 17:33:27.970000+00:00,0.1068115234375,2021-11-26 17:33:27.970000+00:00,0.213623046875,2021-11-26 17:33:27.970000+00:00,0.2716064453125,2021-11-26 17:33:27.970000+00:00,0.0457763671875,2021-11-26 17:33:27.970000+00:00,0.2593994140625,2021-11-26 17:33:27.970000+00:00,0.6195068359375,2021-11-26 17:33:27.970000+00:00,-0.09765625,2021-11-26 17:33:27.970000+00:00,-0.140380859375,2021-11-26 17:33:27.970000+00:00,-0.030517578125,2021-11-26 17:33:27.970000+00:00,0.4425048828125,2021-11-26 17:33:27.970000+00:00,0.0244140625,2021-11-26 17:33:27.970000+00:00,-0.1861572265625,2021-11-26 17:33:27.970000+00:00,-0.3662109375,2021-11-26 17:33:27.970000+00:00,0.006103515625,2021-11-26 17:33:27.970000+00:00,24.37060332839282,2021-11-26 17:33:27.970000+00:00,23.869462797353577,2021-11-26 17:33:27.970000+00:00,-32.29999542236328,2021-11-26 17:33:27.971000+00:00
3,175.30517578125,2021-11-26 17:33:28.037000+00:00,24.661817322258912,2021-11-26 17:33:28.037000+00:00,227.60009765625,2021-11-26 17:33:28.037000+00:00,26.181528884417723,2021-11-26 17:33:28.037000+00:00,15.191650390625,2021-11-26 17:33:28.037000+00:00,0.6103515625,2021-11-26 17:33:28.037000+00:00,0.15869140625,2021-11-26 17:33:28.037000+00:00,0.0091552734375,2021-11-26 17:33:28.037000+00:00,-0.29296875,2021-11-26 17:33:28.037000+00:00,2.34375,2021-11-26 17:33:28.037000+00:00,0.35400390625,2021-11-26 17:33:28.037000+00:00,0.079345703125,2021-11-26 17:33:28.037000+00:00,0.079345703125,2021-11-26 17:33:28.037000+00:00,0.48828125,2021-11-26 17:33:28.037000+00:00,2.8472900390625,2021-11-26 17:33:28.037000+00:00,0.4241943359375,2021-11-26 17:33:28.037000+00:00,1.226806640625,2021-11-26 17:33:28.037000+00:00,0.72021484375,2021-11-26 17:33:28.037000+00:00,0.0335693359375,2021-11-26 17:33:28.037000+00:00,0.6561279296875,2021-11-26 17:33:28.037000+00:00,0.1220703125,2021-11-26 17:33:28.037000+00:00,0.1708984375,2021-11-26 17:33:28.037000+00:00,0.1861572265625,2021-11-26 17:33:28.037000+00:00,-0.1068115234375,2021-11-26 17:33:28.037000+00:00,0.0885009765625,2021-11-26 17:33:28.037000+00:00,0.5828857421875,2021-11-26 17:33:28.037000+00:00,-0.08544921875,2021-11-26 17:33:28.037000+00:00,-0.1861572265625,2021-11-26 17:33:28.037000+00:00,-0.0030517578125,2021-11-26 17:33:28.037000+00:00,0.2777099609375,2021-11-26 17:33:28.037000+00:00,0.0091552734375,2021-11-26 17:33:28.037000+00:00,0.0762939453125,2021-11-26 17:33:28.037000+00:00,-0.4364013671875,2021-11-26 17:33:28.037000+00:00,-0.018310546875,2021-11-26 17:33:28.037000+00:00,24.097362751896604,2021-11-26 17:33:28.037000+00:00,23.623417176764924,2021-11-26 17:33:28.037000+00:00,-32.29999542236328,2021-11-26 17:33:28.037000+00:00
4,175.20751953125,2021-11-26 17:33:28.103000+00:00,24.81249385258484,2021-11-26 17:33:28.103000+00:00,227.6611328125,2021-11-26 17:33:28.103000+00:00,26.190890575317997,2021-11-26 17:33:28.103000+00:00,13.232421875,2021-11-26 17:33:28.103000+00:00,0.4730224609375,2021-11-26 17:33:28.103000+00:00,0.1068115234375,2021-11-26 17:33:28.103000+00:00,-0.01220703125,2021-11-26 17:33:28.103000+00:00,-0.335693359375,2021-11-26 17:33:28.103000+00:00,2.2430419921875,2021-11-26 17:33:28.103000+00:00,0.3875732421875,2021-11-26 17:33:28.103000+00:00,0.0885009765625,2021-11-26 17:33:28.103000+00:00,-0.0732421875,2021-11-26 17:33:28.103000+00:00,0.3936767578125,2021-11-26 17:33:28.103000+00:00,2.1759033203125,2021-11-26 17:33:28.103000+00:00,0.213623046875,2021-11-26 17:33:28.103000+00:00,1.025390625,2021-11-26 17:33:28.103000+00:00,0.848388671875,2021-11-26 17:33:28.103000+00:00,-0.0640869140625,2021-11-26 17:33:28.103000+00:00,0.28076171875,2021-11-26 17:33:28.103000+00:00,0.3875732421875,2021-11-26 17:33:28.103000+00:00,0.1861572265625,2021-11-26 17:33:28.103000+00:00,0.09765625,2021-11-26 17:33:28.103000+00:00,-0.0701904296875,2021-11-26 17:33:28.103000+00:00,0.2197265625,2021-11-26 17:33:28.103000+00:00,0.5889892578125,2021-11-26 17:33:28.103000+00:00,0.079345703125,2021-11-26 17:33:28.103000+00:00,-0.0335693359375,2021-11-26 17:33:28.103000+00:00,-0.13427734375,2021-11-26 17:33:28.103000+00:00,0.3021240234375,2021-11-26 17:33:28.103000+00:00,-0.0457763671875,2021-11-26 17:33:28.103000+00:00,0.2777099609375,2021-11-26 17:33:28.103000+00:00,-0.360107421875,2021-11-26 17:33:28.103000+00:00,-0.3814697265625,2021-11-26 17:33:28.103000+00:00,24.18946631700769,2021-11-26 17:33:28.103000+00:00,23.7388459864238,2021-11-26 17:33:28.103000+00:00,-32.29999542236328,2021-11-26 17:33:28.104000+00:00
5,175.10986328125,2021-11-26 17:33:28.170000+00:00,24.68147078273621,2021-11-26 17:33:28.170000+00:00,227.6123046875,2021-11-26 17:33:28.170000+00:00,26.172167193517456,2021-11-26 17:33:28.170000+00:00,14.691162109375,2021-11-26 17:33:28.170000+00:00,0.445556640625,2021-11-26 17:33:28.170000+00:00,0.079345703125,2021-11-26 17:33:28.170000+00:00,0.048828125,2021-11-26 17:33:28.170000+00:00,-0.2777099609375,2021-11-26 17:33:28.170000+00:00,2.1484375,2021-11-26 17:33:28.170000+00:00,0.9063720703125,2021-11-26 17:33:28.170000+00:00,0.079345703125,2021-11-26 17:33:28.170000+00:00,0.1129150390625,2021-11-26 17:33:28.170000+00:00,0.408935546875,2021-11-26 17:33:28.170000+00:00,2.435302734375,2021-11-26 17:33:28.170000+00:00,0.5157470703125,2021-11-26 17:33:28.170000+00:00,1.220703125,2021-11-26 17:33:28.170000+00:00,0.9429931640625,2021-11-26 17:33:28.170000+00:00,-0.0091552734375,2021-11-26 17:33:28.170000+00:00,0.4913330078125,2021-11-26 17:33:28.170000+00:00,0.0,2021-11-26 17:33:28.170000+00:00,0.274658203125,2021-11-26 17:33:28.170000+00:00,0.25634765625,2021-11-26 17:33:28.170000+00:00,-0.128173828125,2021-11-26 17:33:28.170000+00:00,0.2471923828125,2021-11-26 17:33:28.170000+00:00,0.4791259765625,2021-11-26 17:33:28.170000+00:00,-0.15869140625,2021-11-26 17:33:28.170000+00:00,-0.2777099609375,2021-11-26 17:33:28.170000+00:00,-0.1007080078125,2021-11-26 17:33:28.170000+00:00,0.439453125,2021-11-26 17:33:28.170000+00:00,0.0213623046875,2021-11-26 17:33:28.170000+00:00,0.311279296875,2021-11-26 17:33:28.170000+00:00,-0.347900390625,2021-11-26 17:33:28.170000+00:00,0.0518798828125,2021-11-26 17:33:28.170000+00:00,24.098897811315123,2021-11-26 17:33:28.170000+00:00,23.665943580323457,2021-11-26 17:33:28.170000+00:00,-32.29999542236328,2021-11-26 17:33:28.170000+00:00
6,175.01220703125,2021-11-26 17:33:28.237000+00:00,25.012304034104005,2021-11-26 17:33:28.237000+00:00,227.6123046875,2021-11-26 17:33:28.237000+00:00,26.55287595679504,2021-11-26 17:33:28.237000+00:00,16.1376953125,2021-11-26 17:33:28.237000+00:00,0.8056640625,2021-11-26 17:33:28.237000+00:00,0.3173828125,2021-11-26 17:33:28.237000+00:00,0.0,2021-11-26 17:33:28.237000+00:00,-0.3143310546875,2021-11-26 17:33:28.237000+00:00,2.239990234375,2021-11-26 17:33:28.237000+00:00,0.439453125,2021-11-26 17:33:28.237000+00:00,0.1617431640625,2021-11-26 17:33:28.237000+00:00,-0.018310546875,2021-11-26 17:33:28.237000+00:00,0.244140625,2021-11-26 17:33:28.237000+00:00,3.16162109375,2021-11-26 17:33:28.237000+00:00,0.10986328125,2021-11-26 17:33:28.237000+00:00,1.3671875,2021-11-26 17:33:28.237000+00:00,0.93994140625,2021-11-26 17:33:28.237000+00:00,-0.01220703125,2021-11-26 17:33:28.237000+00:00,0.3692626953125,2021-11-26 17:33:28.237000+00:00,0.0030517578125,2021-11-26 17:33:28.237000+00:00,0.2655029296875,2021-11-26 17:33:28.237000+00:00,0.1373291015625,2021-11-26 17:33:28.237000+00:00,0.03662109375,2021-11-26 17:33:28.237000+00:00,0.1800537109375,2021-11-26 17:33:28.237000+00:00,0.5096435546875,2021-11-26 17:33:28.237000+00:00,-0.0274658203125,2021-11-26 17:33:28.237000+00:00,0.0732421875,2021-11-26 17:33:28.237000+00:00,-0.054931640625,2021-11-26 17:33:28.237000+00:00,0.5218505859375,2021-11-26 17:33:28.237000+00:00,0.0579833984375,2021-11-26 17:33:28.237000+00:00,0.140380859375,2021-11-26 17:33:28.237000+00:00,-0.3570556640625,2021-11-26 17:33:28.237000+00:00,0.091552734375,2021-11-26 17:33:28.237000+00:00,24.453496536992795,2021-11-26 17:33:28.237000+00:00,23.95147800421646,2021-11-26 17:33:28.237000+00:00,-32.29999542236328,2021-11-26 17:33:28.237000+00:00
7,174.91455078125,2021-11-26 17:33:28.303000+00:00,24.858351927031865,2021-11-26 17:33:28.303000+00:00,227.57568359375,2021-11-26 17:33:28.303000+00:00,26.39060664785705,2021-11-26 17:33:28.303000+00:00,14.337158203125,2021-11-26 17:33:28.303000+00:00,0.6195068359375,2021-11-26 17:33:28.303000+00:00,0.1922607421875,2021-11-26 17:33:28.303000+00:00,0.2105712890625,2021-11-26 17:33:28.303000+00:00,-0.4425048828125,2021-11-26 17:33:28.303000+00:00,1.9744873046875,2021-11-26 17:33:28.303000+00:00,0.7171630859375,2021-11-26 17:33:28.303000+00:00,0.01220703125,2021-11-26 17:33:28.303000+00:00,0.3753662109375,2021-11-26 17:33:28.303000+00:00,0.445556640625,2021-11-26 17:33:28.303000+00:00,2.703857421875,2021-11-26 17:33:28.303000+00:00,0.335693359375,2021-11-26 17:33:28.303000+00:00,1.1993408203125,2021-11-26 17:33:28.303000+00:00,0.78125,2021-11-26 17:33:28.303000+00:00,0.177001953125,2021-11-26 17:33:28.303000+00:00,0.5706787109375,2021-11-26 17:33:28.303000+00:00,0.1800537109375,2021-11-26 17:33:28.303000+00:00,0.23193359375,2021-11-26 17:33:28.303000+00:00,0.048828125,2021-11-26 17:33:28.303000+00:00,0.0732421875,2021-11-26 17:33:28.303000+00:00,0.286865234375,2021-11-26 17:33:28.303000+00:00,0.4974365234375,2021-11-26 17:33:28.303000+00:00,-0.0244140625,2021-11-26 17:33:28.303000+00:00,-0.3173828125,2021-11-26 17:33:28.303000+00:00,-0.347900390625,2021-11-26 17:33:28.303000+00:00,0.2593994140625,2021-11-26 17:33:28.303000+00:00,0.0335693359375,2021-11-26 17:33:28.303000+00:00,0.06103515625,2021-11-26 17:33:28.303000+00:00,-0.3662109375,2021-11-26 17:33:28.303000+00:00,-0.3082275390625,2021-11-26 17:33:28.303000+00:00,24.312271070489132,2021-11-26 17:33:28.303000+00:00,23.90591400040375,2021-11-26 17:33:28.303000+00:00,-32.29999542236328,2021-11-26 17:33:28.304000+00:00
8,174.81689453125,2021-11-26 17:33:28.370000+00:00,24.959894806164552,2021-11-26 17:33:28.370000+00:00,227.6123046875,2021-11-26 17:33:28.370000+00:00,26.537273138627928,2021-11-26 17:33:28.370000+00:00,13.83056640625,2021-11-26 17:33:28.370000+00:00,0.567626953125,2021-11-26 17:33:28.370000+00:00,-0.0213623046875,2021-11-26 17:33:28.370000+00:00,-0.146484375,2021-11-26 17:33:28.370000+00:00,-0.140380859375,2021-11-26 17:33:28.370000+00:00,2.0477294921875,2021-11-26 17:33:28.370000+00:00,0.689697265625,2021-11-26 17:33:28.370000+00:00,0.177001953125,2021-11-26 17:33:28.370000+00:00,-0.0823974609375,2021-11-26 17:33:28.370000+00:00,0.3143310546875,2021-11-26 17:33:28.370000+00:00,2.91748046875,2021-11-26 17:33:28.370000+00:00,0.3997802734375,2021-11-26 17:33:28.370000+00:00,1.031494140625,2021-11-26 17:33:28.370000+00:00,0.897216796875,2021-11-26 17:33:28.370000+00:00,-0.06103515625,2021-11-26 17:33:28.370000+00:00,0.3143310546875,2021-11-26 17:33:28.370000+00:00,-0.164794921875,2021-11-26 17:33:28.370000+00:00,0.1373291015625,2021-11-26 17:33:28.370000+00:00,0.1983642578125,2021-11-26 17:33:28.370000+00:00,-0.01220703125,2021-11-26 17:33:28.370000+00:00,0.37841796875,2021-11-26 17:33:28.370000+00:00,0.59814453125,2021-11-26 17:33:28.370000+00:00,-0.164794921875,2021-11-26 17:33:28.370000+00:00,-0.23193359375,2021-11-26 17:33:28.370000+00:00,-0.18310546875,2021-11-26 17:33:28.370000+00:00,0.40283203125,2021-11-26 17:33:28.370000+00:00,0.1251220703125,2021-11-26 17:33:28.370000+00:00,0.189208984375,2021-11-26 17:33:28.370000+00:00,-0.30517578125,2021-11-26 17:33:28.370000+00:00,0.08544921875,2021-11-26 17:33:28.370000+00:00,24.42433040804095,2021-11-26 17:33:28.370000+00:00,23.990966807520813,2021-11-26 17:33:28.370000+00:00,-32.29999542236328,2021-11-26 17:33:28.370000+00:00
9,174.71923828125,2021-11-26 17:33:28.437000+00:00,24.697848666467287,2021-11-26 17:33:28.437000+00:00,227.63671875,2021-11-26 17:33:28.437000+00:00,26.22209621165222,2021-11-26 17:33:28.437000+00:00,13.836669921875,2021-11-26 17:33:28.437000+00:00,0.5218505859375,2021-11-26 17:33:28.437000+00:00,0.030517578125,2021-11-26 17:33:28.437000+00:00,-0.0244140625,2021-11-26 17:33:28.437000+00:00,-0.28076171875,2021-11-26 17:33:28.437000+00:00,1.8829345703125,2021-11-26 17:33:28.437000+00:00,0.750732421875,2021-11-26 17:33:28.437000+00:00,0.1220703125,2021-11-26 17:33:28.437000+00:00,0.054931640625,2021-11-26 17:33:28.437000+00:00,0.3265380859375,2021-11-26 17:33:28.437000+00:00,2.685546875,2021-11-26 17:33:28.437000+00:00,0.3814697265625,2021-11-26 17:33:28.437000+00:00,1.226806640625,2021-11-26 17:33:28.437000+00:00,0.567626953125,2021-11-26 17:33:28.437000+00:00,0.018310546875,2021-11-26 17:33:28.437000+00:00,0.372314453125,2021-11-26 17:33:28.437000+00:00,0.042724609375,2021-11-26 17:33:28.437000+00:00,0.3082275390625,2021-11-26 17:33:28.437000+00:00,-0.01220703125,2021-11-26 17:33:28.437000+00:00,-0.0579833984375,2021-11-26 17:33:28.437000+00:00,0.2960205078125,2021-11-26 17:33:28.437000+00:00,0.69580078125,2021-11-26 17:33:28.437000+00:00,0.0640869140625,2021-11-26 17:33:28.437000+00:00,-0.1922607421875,2021-11-26 17:33:28.437000+00:00,-0.2685546875,2021-11-26 17:33:28.437000+00:00,0.3143310546875,2021-11-26 17:33:28.437000+00:00,-0.054931640625,2021-11-26 17:33:28.437000+00:00,0.274658203125,2021-11-26 17:33:28.437000+00:00,-0.37841796875,2021-11-26 17:33:28.437000+00:00,0.0152587890625,2021-11-26 17:33:28.437000+00:00,24.13266911852252,2021-11-26 17:33:28.437000+00:00,23.687206782102724,2021-11-26 17:33:28.437000+00:00,-32.29999542236328,2021-11-26 17:33:28.437000+00:00
