idx,L:D7LMSM,L:D7LMSM Timestamp,L:D00LM,L:D00LM Timestamp,L:D11LM,L:D11LM Timestamp,L:D12LM,L:D12LM Timestamp,L:D13LM,L:D13LM Timestamp,L:D14LM,L:D14LM Timestamp,L:D21LM,L:D21LM Timestamp,L:D22LM,L:D22LM Timestamp,L:D23LM,L:D23LM Timestamp,L:D24LM,L:D24LM Timestamp,L:D31LM,L:D31LM Timestamp,L:D32LM,L:D32LM Timestamp,L:D33LM,L:D33LM Timestamp,L:D34LM,L:D34LM Timestamp,L:D41LM,L:D41LM Timestamp,L:D42LM,L:D42LM Timestamp,L:D43LM,L:D43LM Timestamp,L:D44LM,L:D44LM Timestamp,L:D51LM,L:D51LM Timestamp,L:D52LM,L:D52LM Timestamp,L:D53LM,L:D53LM Timestamp,L:D54LM,L:D54LM Timestamp,L:D61LM,L:D61LM Timestamp,L:D62LM,L:D62LM Timestamp,L:D63LM,L:D63LM Timestamp,L:D64LM,L:D64LM Timestamp,L:D71LM,L:D71LM Timestamp,L:D72LM,L:D72LM Timestamp,L:D73LM,L:D73LM Timestamp,L:D74LM,L:D74LM Timestamp,L:TO3IN,L:TO3IN Timestamp,L:RFQPAH,L:RFQPAH Timestamp,L:D7TOR,L:D7TOR Timestamp,L:TO5OUT,L:TO5OUT Timestamp,L:RFBPAH,L:RFBPAH Timestamp,L:TO1IN,L:TO1IN Timestamp,L:V5QSET,L:V5QSET Timestamp
0,16.668701171875,2021-11-28 22:32:41.249000+00:00,0.5950927734375,2021-11-28 22:32:41.249000+00:00,0.384521484375,2021-11-28 22:32:41.249000+00:00,-0.0244140625,2021-11-28 22:32:41.249000+00:00,-0.1220703125,2021-11-28 22:32:41.249000+00:00,3.18603515625,2021-11-28 22:32:41.249000+00:00,2.1148681640625,2021-11-28 22:32:41.249000+00:00,-0.3570556640625,2021-11-28 22:32:41.249000+00:00,0.4241943359375,2021-11-28 22:32:41.249000+00:00,0.543212890625,2021-11-28 22:32:41.249000+00:00,1.0986328125,2021-11-28 22:32:41.249000+00:00,-0.0335693359375,2021-11-28 22:32:41.249000+00:00,1.18408203125,2021-11-28 22:32:41.249000+00:00,1.104736328125,2021-11-28 22:32:41.249000+00:00,0.0091552734375,2021-11-28 22:32:41.249000+00:00,0.1617431640625,2021-11-28 22:32:41.249000+00:00,0.5157470703125,2021-11-28 22:32:41.249000+00:00,-0.0091552734375,2021-11-28 22:32:41.249000+00:00,0.06103515625,2021-11-28 22:32:41.249000+00:00,-0.067138671875,2021-11-28 22:32:41.249000+00:00,0.494384765625,2021-11-28 22:32:41.249000+00:00,0.69580078125,2021-11-28 22:32:41.249000+00:00,-0.09765625,2021-11-28 22:32:41.249000+00:00,-0.006103515625,2021-11-28 22:32:41.249000+00:00,-0.08544921875,2021-11-28 22:32:41.249000+00:00,0.7476806640625,2021-11-28 22:32:41.249000+00:00,0.030517578125,2021-11-28 22:32:41.249000+00:00,0.2166748046875,2021-11-28 22:32:41.249000+00:00,-0.030517578125,2021-11-28 22:32:41.249000+00:00,0.0213623046875,2021-11-28 22:32:41.249000+00:00,25.11712248998291,2021-11-28 22:32:41.249000+00:00,165.63720703125,2021-11-28 22:32:41.249000+00:00,24.00311720853754,2021-11-28 22:32:41.249000+00:00,24.56248575570758,2021-11-28 22:32:41.249000+00:00,227.5634765625,2021-11-28 22:32:41.249000+00:00,26.378124393323365,2021-11-28 22:32:41.249000+00:00,-31.899999618530277,2021-11-28 22:32:41.250000+00:00
1,15.460205078125,2021-11-28 22:32:41.316000+00:00,0.62255859375,2021-11-28 22:32:41.316000+00:00,0.2655029296875,2021-11-28 22:32:41.316000+00:00,-0.140380859375,2021-11-28 22:32:41.316000+00:00,0.0274658203125,2021-11-28 22:32:41.316000+00:00,2.0904541015625,2021-11-28 22:32:41.316000+00:00,0.8697509765625,2021-11-28 22:32:41.316000+00:00,-0.1953125,2021-11-28 22:32:41.316000+00:00,0.5645751953125,2021-11-28 22:32:41.316000+00:00,0.6011962890625,2021-11-28 22:32:41.316000+00:00,1.94091796875,2021-11-28 22:32:41.316000+00:00,0.2471923828125,2021-11-28 22:32:41.316000+00:00,1.1016845703125,2021-11-28 22:32:41.316000+00:00,0.9552001953125,2021-11-28 22:32:41.316000+00:00,0.1007080078125,2021-11-28 22:32:41.316000+00:00,0.128173828125,2021-11-28 22:32:41.316000+00:00,0.1861572265625,2021-11-28 22:32:41.316000+00:00,0.1068115234375,2021-11-28 22:32:41.316000+00:00,0.152587890625,2021-11-28 22:32:41.316000+00:00,-0.0518798828125,2021-11-28 22:32:41.316000+00:00,0.372314453125,2021-11-28 22:32:41.316000+00:00,0.213623046875,2021-11-28 22:32:41.316000+00:00,-0.067138671875,2021-11-28 22:32:41.316000+00:00,-0.140380859375,2021-11-28 22:32:41.316000+00:00,0.0823974609375,2021-11-28 22:32:41.316000+00:00,0.6988525390625,2021-11-28 22:32:41.316000+00:00,0.1068115234375,2021-11-28 22:32:41.316000+00:00,0.3814697265625,2021-11-28 22:32:41.316000+00:00,-0.10986328125,2021-11-28 22:32:41.316000+00:00,0.2227783203125,2021-11-28 22:32:41.316000+00:00,24.55372328963379,2021-11-28 22:32:41.316000+00:00,176.50146484375,2021-11-28 22:32:41.316000+00:00,23.550514770664584,2021-11-28 22:32:41.316000+00:00,24.00218906794849,2021-11-28 22:32:41.316000+00:00,227.6611328125,2021-11-28 22:32:41.316000+00:00,26.097273666315303,2021-11-28 22:32:41.316000+00:00,-31.899999618530277,2021-11-28 22:32:41.316000+00:00
2,16.0400390625,2021-11-28 22:32:41.383000+00:00,0.5767822265625,2021-11-28 22:32:41.383000+00:00,0.3631591796875,2021-11-28 22:32:41.383000+00:00,0.213623046875,2021-11-28 22:32:41.383000+00:00,-0.103759765625,2021-11-28 22:32:41.383000+00:00,2.1209716796875,2021-11-28 22:32:41.383000+00:00,1.2939453125,2021-11-28 22:32:41.383000+00:00,-0.2593994140625,2021-11-28 22:32:41.383000+00:00,0.3875732421875,2021-11-28 22:32:41.383000+00:00,0.5584716796875,2021-11-28 22:32:41.383000+00:00,1.9622802734375,2021-11-28 22:32:41.383000+00:00,0.213623046875,2021-11-28 22:32:41.383000+00:00,1.1383056640625,2021-11-28 22:32:41.383000+00:00,1.025390625,2021-11-28 22:32:41.383000+00:00,0.1251220703125,2021-11-28 22:32:41.383000+00:00,0.0518798828125,2021-11-28 22:32:41.383000+00:00,0.006103515625,2021-11-28 22:32:41.383000+00:00,0.08544921875,2021-11-28 22:32:41.383000+00:00,0.1495361328125,2021-11-28 22:32:41.383000+00:00,0.0762939453125,2021-11-28 22:32:41.383000+00:00,0.2685546875,2021-11-28 22:32:41.383000+00:00,0.360107421875,2021-11-28 22:32:41.383000+00:00,-0.1068115234375,2021-11-28 22:32:41.383000+00:00,0.08544921875,2021-11-28 22:32:41.383000+00:00,0.030517578125,2021-11-28 22:32:41.383000+00:00,0.64697265625,2021-11-28 22:32:41.383000+00:00,0.0518798828125,2021-11-28 22:32:41.383000+00:00,0.1617431640625,2021-11-28 22:32:41.383000+00:00,0.0518798828125,2021-11-28 22:32:41.383000+00:00,0.1129150390625,2021-11-28 22:32:41.383000+00:00,25.06471326204346,2021-11-28 22:32:41.383000+00:00,176.40380859375,2021-11-28 22:32:41.383000+00:00,23.95147800421646,2021-11-28 22:32:41.383000+00:00,24.41665511094836,2021-11-28 22:32:41.383000+00:00,227.4658203125,2021-11-28 22:32:41.383000+00:00,26.45925904779236,2021-11-28 22:32:41.383000+00:00,-31.899999618530277,2021-11-28 22:32:41.383000+00:00
3,16.485595703125,2021-11-28 22:32:41.449000+00:00,0.6378173828125,2021-11-28 22:32:41.449000+00:00,0.29296875,2021-11-28 22:32:41.449000+00:00,0.054931640625,2021-11-28 22:32:41.449000+00:00,0.0823974609375,2021-11-28 22:32:41.449000+00:00,1.79443359375,2021-11-28 22:32:41.449000+00:00,0.9857177734375,2021-11-28 22:32:41.449000+00:00,-0.1068115234375,2021-11-28 22:32:41.449000+00:00,0.1434326171875,2021-11-28 22:32:41.449000+00:00,0.3662109375,2021-11-28 22:32:41.449000+00:00,1.9317626953125,2021-11-28 22:32:41.449000+00:00,0.20751953125,2021-11-28 22:32:41.449000+00:00,1.5777587890625,2021-11-28 22:32:41.449000+00:00,0.9857177734375,2021-11-28 22:32:41.449000+00:00,0.3265380859375,2021-11-28 22:32:41.449000+00:00,0.1251220703125,2021-11-28 22:32:41.449000+00:00,0.5035400390625,2021-11-28 22:32:41.449000+00:00,0.0946044921875,2021-11-28 22:32:41.449000+00:00,0.0396728515625,2021-11-28 22:32:41.449000+00:00,0.15869140625,2021-11-28 22:32:41.449000+00:00,0.3753662109375,2021-11-28 22:32:41.449000+00:00,0.59814453125,2021-11-28 22:32:41.449000+00:00,-0.152587890625,2021-11-28 22:32:41.449000+00:00,-0.1251220703125,2021-11-28 22:32:41.449000+00:00,0.0885009765625,2021-11-28 22:32:41.449000+00:00,0.7293701171875,2021-11-28 22:32:41.449000+00:00,0.2227783203125,2021-11-28 22:32:41.449000+00:00,-0.079345703125,2021-11-28 22:32:41.449000+00:00,-0.1739501953125,2021-11-28 22:32:41.449000+00:00,0.2227783203125,2021-11-28 22:32:41.449000+00:00,24.6388882850354,2021-11-28 22:32:41.449000+00:00,176.30615234375,2021-11-28 22:32:41.449000+00:00,23.620379576510743,2021-11-28 22:32:41.449000+00:00,24.083547217129944,2021-11-28 22:32:41.449000+00:00,227.57568359375,2021-11-28 22:32:41.449000+00:00,26.04734464818054,2021-11-28 22:32:41.449000+00:00,-31.899999618530277,2021-11-28 22:32:41.450000+00:00
4,16.66259765625,2021-11-28 22:32:41.516000+00:00,0.7049560546875,2021-11-28 22:32:41.516000+00:00,0.8331298828125,2021-11-28 22:32:41.516000+00:00,0.0,2021-11-28 22:32:41.516000+00:00,0.3570556640625,2021-11-28 22:32:41.516000+00:00,2.3284912109375,2021-11-28 22:32:41.516000+00:00,0.5035400390625,2021-11-28 22:32:41.516000+00:00,-0.201416015625,2021-11-28 22:32:41.516000+00:00,0.433349609375,2021-11-28 22:32:41.516000+00:00,0.6622314453125,2021-11-28 22:32:41.516000+00:00,2.3284912109375,2021-11-28 22:32:41.516000+00:00,0.1800537109375,2021-11-28 22:32:41.516000+00:00,1.07421875,2021-11-28 22:32:41.516000+00:00,1.01318359375,2021-11-28 22:32:41.516000+00:00,0.0823974609375,2021-11-28 22:32:41.516000+00:00,-0.018310546875,2021-11-28 22:32:41.516000+00:00,0.225830078125,2021-11-28 22:32:41.516000+00:00,0.0457763671875,2021-11-28 22:32:41.516000+00:00,-0.091552734375,2021-11-28 22:32:41.516000+00:00,0.20751953125,2021-11-28 22:32:41.516000+00:00,0.10986328125,2021-11-28 22:32:41.516000+00:00,0.482177734375,2021-11-28 22:32:41.516000+00:00,0.1495361328125,2021-11-28 22:32:41.516000+00:00,-0.0762939453125,2021-11-28 22:32:41.516000+00:00,-0.018310546875,2021-11-28 22:32:41.516000+00:00,0.4730224609375,2021-11-28 22:32:41.516000+00:00,0.0946044921875,2021-11-28 22:32:41.516000+00:00,0.3814697265625,2021-11-28 22:32:41.516000+00:00,0.0244140625,2021-11-28 22:32:41.516000+00:00,0.3265380859375,2021-11-28 22:32:41.516000+00:00,24.93696576894104,2021-11-28 22:32:41.516000+00:00,176.20849609375,2021-11-28 22:32:41.516000+00:00,23.863387596845214,2021-11-28 22:32:41.516000+00:00,24.359857912463195,2021-11-28 22:32:41.516000+00:00,227.63671875,2021-11-28 22:32:41.516000+00:00,26.37188326605652,2021-11-28 22:32:41.516000+00:00,-31.899999618530277,2021-11-28 22:32:41.516000+00:00
5,14.16015625,2021-11-28 22:32:41.583000+00:00,0.616455078125,2021-11-28 22:32:41.583000+00:00,0.347900390625,2021-11-28 22:32:41.583000+00:00,0.01220703125,2021-11-28 22:32:41.583000+00:00,-0.262451171875,2021-11-28 22:32:41.583000+00:00,2.239990234375,2021-11-28 22:32:41.583000+00:00,0.91552734375,2021-11-28 22:32:41.583000+00:00,0.0457763671875,2021-11-28 22:32:41.583000+00:00,0.0579833984375,2021-11-28 22:32:41.583000+00:00,0.5035400390625,2021-11-28 22:32:41.583000+00:00,1.9134521484375,2021-11-28 22:32:41.583000+00:00,0.1739501953125,2021-11-28 22:32:41.583000+00:00,0.8941650390625,2021-11-28 22:32:41.583000+00:00,1.06201171875,2021-11-28 22:32:41.583000+00:00,-0.018310546875,2021-11-28 22:32:41.583000+00:00,0.115966796875,2021-11-28 22:32:41.583000+00:00,0.2899169921875,2021-11-28 22:32:41.583000+00:00,0.0732421875,2021-11-28 22:32:41.583000+00:00,0.0244140625,2021-11-28 22:32:41.583000+00:00,0.103759765625,2021-11-28 22:32:41.583000+00:00,0.1678466796875,2021-11-28 22:32:41.583000+00:00,0.494384765625,2021-11-28 22:32:41.583000+00:00,-0.091552734375,2021-11-28 22:32:41.583000+00:00,-0.140380859375,2021-11-28 22:32:41.583000+00:00,-0.018310546875,2021-11-28 22:32:41.583000+00:00,0.6866455078125,2021-11-28 22:32:41.583000+00:00,0.0213623046875,2021-11-28 22:32:41.583000+00:00,0.213623046875,2021-11-28 22:32:41.583000+00:00,0.128173828125,2021-11-28 22:32:41.583000+00:00,0.03662109375,2021-11-28 22:32:41.583000+00:00,24.64871501527405,2021-11-28 22:32:41.583000+00:00,176.11083984375,2021-11-28 22:32:41.583000+00:00,23.638605178035828,2021-11-28 22:32:41.583000+00:00,24.118853583755858,2021-11-28 22:32:41.583000+00:00,227.5146484375,2021-11-28 22:32:41.583000+00:00,26.07855028451477,2021-11-28 22:32:41.583000+00:00,-31.899999618530277,2021-11-28 22:32:41.583000+00:00
6,14.874267578125,2021-11-28 22:32:41.649000+00:00,0.537109375,2021-11-28 22:32:41.649000+00:00,0.3509521484375,2021-11-28 22:32:41.649000+00:00,-0.0152587890625,2021-11-28 22:32:41.649000+00:00,-0.03662109375,2021-11-28 22:32:41.649000+00:00,2.301025390625,2021-11-28 22:32:41.649000+00:00,0.9552001953125,2021-11-28 22:32:41.649000+00:00,-0.08544921875,2021-11-28 22:32:41.649000+00:00,0.079345703125,2021-11-28 22:32:41.649000+00:00,0.7049560546875,2021-11-28 22:32:41.649000+00:00,2.2003173828125,2021-11-28 22:32:41.649000+00:00,0.5126953125,2021-11-28 22:32:41.649000+00:00,1.1444091796875,2021-11-28 22:32:41.649000+00:00,0.8026123046875,2021-11-28 22:32:41.649000+00:00,0.3692626953125,2021-11-28 22:32:41.649000+00:00,0.1068115234375,2021-11-28 22:32:41.649000+00:00,0.079345703125,2021-11-28 22:32:41.649000+00:00,0.2532958984375,2021-11-28 22:32:41.649000+00:00,-0.0946044921875,2021-11-28 22:32:41.649000+00:00,-0.0030517578125,2021-11-28 22:32:41.649000+00:00,0.0946044921875,2021-11-28 22:32:41.649000+00:00,0.3173828125,2021-11-28 22:32:41.649000+00:00,-0.079345703125,2021-11-28 22:32:41.649000+00:00,-0.030517578125,2021-11-28 22:32:41.649000+00:00,-0.164794921875,2021-11-28 22:32:41.649000+00:00,0.665283203125,2021-11-28 22:32:41.649000+00:00,-0.0518798828125,2021-11-28 22:32:41.649000+00:00,0.08544921875,2021-11-28 22:32:41.649000+00:00,-0.0518798828125,2021-11-28 22:32:41.649000+00:00,0.1617431640625,2021-11-28 22:32:41.649000+00:00,24.763360201391603,2021-11-28 22:32:41.649000+00:00,176.01318359375,2021-11-28 22:32:41.649000+00:00,23.73580838616962,2021-11-28 22:32:41.649000+00:00,24.23551809956323,2021-11-28 22:32:41.649000+00:00,227.55126953125,2021-11-28 22:32:41.649000+00:00,26.27514579342041,2021-11-28 22:32:41.649000+00:00,-31.899999618530277,2021-11-28 22:32:41.650000+00:00
7,15.90576171875,2021-11-28 22:32:41.716000+00:00,0.35400390625,2021-11-28 22:32:41.716000+00:00,0.2838134765625,2021-11-28 22:32:41.716000+00:00,0.09765625,2021-11-28 22:32:41.716000+00:00,0.01220703125,2021-11-28 22:32:41.716000+00:00,2.25830078125,2021-11-28 22:32:41.716000+00:00,0.91552734375,2021-11-28 22:32:41.716000+00:00,-0.1190185546875,2021-11-28 22:32:41.716000+00:00,0.543212890625,2021-11-28 22:32:41.716000+00:00,0.79345703125,2021-11-28 22:32:41.716000+00:00,2.05078125,2021-11-28 22:32:41.716000+00:00,0.1800537109375,2021-11-28 22:32:41.716000+00:00,1.1138916015625,2021-11-28 22:32:41.716000+00:00,0.81787109375,2021-11-28 22:32:41.716000+00:00,0.01220703125,2021-11-28 22:32:41.716000+00:00,0.018310546875,2021-11-28 22:32:41.716000+00:00,0.25634765625,2021-11-28 22:32:41.716000+00:00,0.0457763671875,2021-11-28 22:32:41.716000+00:00,0.079345703125,2021-11-28 22:32:41.716000+00:00,0.0213623046875,2021-11-28 22:32:41.716000+00:00,0.2166748046875,2021-11-28 22:32:41.716000+00:00,0.5126953125,2021-11-28 22:32:41.716000+00:00,-0.08544921875,2021-11-28 22:32:41.716000+00:00,0.018310546875,2021-11-28 22:32:41.716000+00:00,0.0701904296875,2021-11-28 22:32:41.716000+00:00,0.6683349609375,2021-11-28 22:32:41.716000+00:00,0.4547119140625,2021-11-28 22:32:41.716000+00:00,0.250244140625,2021-11-28 22:32:41.716000+00:00,-0.1190185546875,2021-11-28 22:32:41.716000+00:00,0.1251220703125,2021-11-28 22:32:41.716000+00:00,24.94024134568725,2021-11-28 22:32:41.716000+00:00,175.91552734375,2021-11-28 22:32:41.716000+00:00,23.918064401420477,2021-11-28 22:32:41.716000+00:00,24.398234397926142,2021-11-28 22:32:41.716000+00:00,227.6123046875,2021-11-28 22:32:41.716000+00:00,26.36564213878967,2021-11-28 22:32:41.716000+00:00,-31.899999618530277,2021-11-28 22:32:41.716000+00:00
8,15.057373046875,2021-11-28 22:32:41.783000+00:00,0.762939453125,2021-11-28 22:32:41.783000+00:00,0.262451171875,2021-11-28 22:32:41.783000+00:00,0.0091552734375,2021-11-28 22:32:41.783000+00:00,0.0335693359375,2021-11-28 22:32:41.783000+00:00,2.239990234375,2021-11-28 22:32:41.783000+00:00,1.1688232421875,2021-11-28 22:32:41.783000+00:00,-0.0335693359375,2021-11-28 22:32:41.783000+00:00,0.018310546875,2021-11-28 22:32:41.783000+00:00,0.5706787109375,2021-11-28 22:32:41.783000+00:00,2.008056640625,2021-11-28 22:32:41.783000+00:00,0.250244140625,2021-11-28 22:32:41.783000+00:00,1.1016845703125,2021-11-28 22:32:41.783000+00:00,0.8544921875,2021-11-28 22:32:41.783000+00:00,-0.0701904296875,2021-11-28 22:32:41.783000+00:00,-0.0640869140625,2021-11-28 22:32:41.783000+00:00,0.3570556640625,2021-11-28 22:32:41.783000+00:00,0.079345703125,2021-11-28 22:32:41.783000+00:00,0.08544921875,2021-11-28 22:32:41.783000+00:00,-0.0579833984375,2021-11-28 22:32:41.783000+00:00,0.08544921875,2021-11-28 22:32:41.783000+00:00,0.6103515625,2021-11-28 22:32:41.783000+00:00,-0.1068115234375,2021-11-28 22:32:41.783000+00:00,0.0152587890625,2021-11-28 22:32:41.783000+00:00,-0.0091552734375,2021-11-28 22:32:41.783000+00:00,0.5645751953125,2021-11-28 22:32:41.783000+00:00,0.1373291015625,2021-11-28 22:32:41.783000+00:00,0.28076171875,2021-11-28 22:32:41.783000+00:00,-0.06103515625,2021-11-28 22:32:41.783000+00:00,0.115966796875,2021-11-28 22:32:41.783000+00:00,24.80594269909241,2021-11-28 22:32:41.783000+00:00,175.81787109375,2021-11-28 22:32:41.783000+00:00,23.79959799150742,2021-11-28 22:32:41.783000+00:00,24.2923152980484,2021-11-28 22:32:41.783000+00:00,227.5390625,2021-11-28 22:32:41.783000+00:00,26.250181284353022,2021-11-28 22:32:41.783000+00:00,-31.899999618530277,2021-11-28 22:32:41.783000+00:00
9,14.27001953125,2021-11-28 22:32:41.849000+00:00,0.592041015625,2021-11-28 22:32:41.849000+00:00,0.3448486328125,2021-11-28 22:32:41.849000+00:00,-0.0396728515625,2021-11-28 22:32:41.849000+00:00,-0.030517578125,2021-11-28 22:32:41.849000+00:00,2.0355224609375,2021-11-28 22:32:41.849000+00:00,0.9521484375,2021-11-28 22:32:41.849000+00:00,-0.054931640625,2021-11-28 22:32:41.849000+00:00,-0.01220703125,2021-11-28 22:32:41.849000+00:00,0.579833984375,2021-11-28 22:32:41.849000+00:00,1.873779296875,2021-11-28 22:32:41.849000+00:00,0.115966796875,2021-11-28 22:32:41.849000+00:00,1.055908203125,2021-11-28 22:32:41.849000+00:00,0.7568359375,2021-11-28 22:32:41.849000+00:00,0.1251220703125,2021-11-28 22:32:41.849000+00:00,0.054931640625,2021-11-28 22:32:41.849000+00:00,0.18310546875,2021-11-28 22:32:41.849000+00:00,0.1068115234375,2021-11-28 22:32:41.849000+00:00,0.2105712890625,2021-11-28 22:32:41.849000+00:00,0.06103515625,2021-11-28 22:32:41.849000+00:00,0.5126953125,2021-11-28 22:32:41.849000+00:00,0.25634765625,2021-11-28 22:32:41.849000+00:00,-0.0823974609375,2021-11-28 22:32:41.849000+00:00,0.1312255859375,2021-11-28 22:32:41.849000+00:00,0.0,2021-11-28 22:32:41.849000+00:00,0.6622314453125,2021-11-28 22:32:41.849000+00:00,-0.0274658203125,2021-11-28 22:32:41.849000+00:00,0.103759765625,2021-11-28 22:32:41.849000+00:00,0.0091552734375,2021-11-28 22:32:41.849000+00:00,0.20751953125,2021-11-28 22:32:41.849000+00:00,24.87472981076294,2021-11-28 22:32:41.849000+00:00,175.72021484375,2021-11-28 22:32:41.849000+00:00,23.990966807520813,2021-11-28 22:32:41.849000+00:00,24.38748898199652,2021-11-28 22:32:41.849000+00:00,227.5634765625,2021-11-28 22:32:41.849000+00:00,26.296989738854368,2021-11-28 22:32:41.849000+00:00,-31.899999618530277,2021-11-28 22:32:41.850000+00:00
