idx,L:RFBPAH,L:RFBPAH Timestamp,L:TO1IN,L:TO1IN Timestamp,L:TO5OUT,L:TO5OUT Timestamp,L:RFQPAH,L:RFQPAH Timestamp,L:D7LMSM,L:D7LMSM Timestamp,L:D00LM,L:D00LM Timestamp,L:D11LM,L:D11LM Timestamp,L:D12LM,L:D12LM Timestamp,L:D13LM,L:D13LM Timestamp,L:D14LM,L:D14LM Timestamp,L:D21LM,L:D21LM Timestamp,L:D22LM,L:D22LM Timestamp,L:D23LM,L:D23LM Timestamp,L:D24LM,L:D24LM Timestamp,L:D31LM,L:D31LM Timestamp,L:D32LM,L:D32LM Timestamp,L:D33LM,L:D33LM Timestamp,L:D34LM,L:D34LM Timestamp,L:D41LM,L:D41LM Timestamp,L:D42LM,L:D42LM Timestamp,L:D43LM,L:D43LM Timestamp,L:D44LM,L:D44LM Timestamp,L:D51LM,L:D51LM Timestamp,L:D52LM,L:D52LM Timestamp,L:D53LM,L:D53LM Timestamp,L:D54LM,L:D54LM Timestamp,L:D61LM,L:D61LM Timestamp,L:D62LM,L:D62LM Timestamp,L:D63LM,L:D63LM Timestamp,L:D64LM,L:D64LM Timestamp,L:D71LM,L:D71LM Timestamp,L:D72LM,L:D72LM Timestamp,L:D73LM,L:D73LM Timestamp,L:D74LM,L:D74LM Timestamp,L:TO3IN,L:TO3IN Timestamp,L:D7TOR,L:D7TOR Timestamp,L:V5QSET,L:V5QSET Timestamp
0,228.490478515625,2021-11-29 22:56:24.128000+00:00,25.88195477560913,2021-11-29 22:56:24.128000+00:00,24.06359144468921,2021-11-29 22:56:24.128000+00:00,171.539306640625,2021-11-29 22:56:24.128000+00:00,13.4765625,2021-11-29 22:56:24.128000+00:00,0.3662109375,2021-11-29 22:56:24.128000+00:00,0.494384765625,2021-11-29 22:56:24.128000+00:00,0.03662109375,2021-11-29 22:56:24.128000+00:00,-0.1251220703125,2021-11-29 22:56:24.128000+00:00,1.6510009765625,2021-11-29 22:56:24.128000+00:00,0.7171630859375,2021-11-29 22:56:24.128000+00:00,-0.067138671875,2021-11-29 22:56:24.128000+00:00,0.299072265625,2021-11-29 22:56:24.128000+00:00,0.35400390625,2021-11-29 22:56:24.128000+00:00,1.0223388671875,2021-11-29 22:56:24.128000+00:00,0.3692626953125,2021-11-29 22:56:24.128000+00:00,1.3702392578125,2021-11-29 22:56:24.128000+00:00,1.287841796875,2021-11-29 22:56:24.128000+00:00,-0.1007080078125,2021-11-29 22:56:24.128000+00:00,0.2410888671875,2021-11-29 22:56:24.128000+00:00,0.9368896484375,2021-11-29 22:56:24.128000+00:00,0.0091552734375,2021-11-29 22:56:24.128000+00:00,0.0823974609375,2021-11-29 22:56:24.128000+00:00,-0.042724609375,2021-11-29 22:56:24.128000+00:00,0.799560546875,2021-11-29 22:56:24.128000+00:00,1.0406494140625,2021-11-29 22:56:24.128000+00:00,0.0732421875,2021-11-29 22:56:24.128000+00:00,0.128173828125,2021-11-29 22:56:24.128000+00:00,0.067138671875,2021-11-29 22:56:24.128000+00:00,0.3265380859375,2021-11-29 22:56:24.128000+00:00,0.09765625,2021-11-29 22:56:24.128000+00:00,0.311279296875,2021-11-29 22:56:24.128000+00:00,0.1800537109375,2021-11-29 22:56:24.128000+00:00,0.0762939453125,2021-11-29 22:56:24.128000+00:00,24.586479057095943,2021-11-29 22:56:24.128000+00:00,23.638605178035828,2021-11-29 22:56:24.128000+00:00,-32.19999694824219,2021-11-29 22:56:24.129000+00:00
1,237.49066162109372,2021-11-29 22:56:24.195000+00:00,26.403088902390746,2021-11-29 22:56:24.195000+00:00,24.18946631700769,2021-11-29 22:56:24.195000+00:00,171.539306640625,2021-11-29 22:56:24.195000+00:00,14.776611328125,2021-11-29 22:56:24.195000+00:00,0.567626953125,2021-11-29 22:56:24.195000+00:00,0.2685546875,2021-11-29 22:56:24.195000+00:00,0.01220703125,2021-11-29 22:56:24.195000+00:00,-0.1983642578125,2021-11-29 22:56:24.195000+00:00,2.685546875,2021-11-29 22:56:24.195000+00:00,2.1240234375,2021-11-29 22:56:24.195000+00:00,0.0457763671875,2021-11-29 22:56:24.195000+00:00,0.115966796875,2021-11-29 22:56:24.195000+00:00,0.213623046875,2021-11-29 22:56:24.195000+00:00,0.13427734375,2021-11-29 22:56:24.195000+00:00,0.18310546875,2021-11-29 22:56:24.195000+00:00,0.9124755859375,2021-11-29 22:56:24.195000+00:00,1.287841796875,2021-11-29 22:56:24.195000+00:00,-0.0091552734375,2021-11-29 22:56:24.195000+00:00,0.1708984375,2021-11-29 22:56:24.195000+00:00,0.8331298828125,2021-11-29 22:56:24.195000+00:00,0.1068115234375,2021-11-29 22:56:24.195000+00:00,0.1922607421875,2021-11-29 22:56:24.195000+00:00,-0.048828125,2021-11-29 22:56:24.195000+00:00,0.762939453125,2021-11-29 22:56:24.195000+00:00,1.806640625,2021-11-29 22:56:24.195000+00:00,0.0762939453125,2021-11-29 22:56:24.195000+00:00,-0.03662109375,2021-11-29 22:56:24.195000+00:00,-0.0244140625,2021-11-29 22:56:24.195000+00:00,0.7232666015625,2021-11-29 22:56:24.195000+00:00,0.140380859375,2021-11-29 22:56:24.195000+00:00,0.2899169921875,2021-11-29 22:56:24.195000+00:00,0.2410888671875,2021-11-29 22:56:24.195000+00:00,0.2410888671875,2021-11-29 22:56:24.195000+00:00,24.74043116416809,2021-11-29 22:56:24.195000+00:00,23.684169181848542,2021-11-29 22:56:24.195000+00:00,-32.19999694824219,2021-11-29 22:56:24.196000+00:00
2,237.38134765625,2021-11-29 22:56:24.262000+00:00,26.156564375350342,2021-11-29 22:56:24.262000+00:00,24.074336860618835,2021-11-29 22:56:24.262000+00:00,171.539306640625,2021-11-29 22:56:24.262000+00:00,16.473388671875,2021-11-29 22:56:24.262000+00:00,0.5218505859375,2021-11-29 22:56:24.262000+00:00,0.885009765625,2021-11-29 22:56:24.262000+00:00,-0.1739501953125,2021-11-29 22:56:24.262000+00:00,-0.140380859375,2021-11-29 22:56:24.262000+00:00,2.7801513671875,2021-11-29 22:56:24.262000+00:00,1.59912109375,2021-11-29 22:56:24.262000+00:00,-0.0701904296875,2021-11-29 22:56:24.262000+00:00,0.311279296875,2021-11-29 22:56:24.262000+00:00,0.244140625,2021-11-29 22:56:24.262000+00:00,0.4364013671875,2021-11-29 22:56:24.262000+00:00,0.2685546875,2021-11-29 22:56:24.262000+00:00,1.1749267578125,2021-11-29 22:56:24.262000+00:00,1.3824462890625,2021-11-29 22:56:24.262000+00:00,0.0946044921875,2021-11-29 22:56:24.262000+00:00,0.1373291015625,2021-11-29 22:56:24.262000+00:00,1.2542724609375,2021-11-29 22:56:24.262000+00:00,0.10986328125,2021-11-29 22:56:24.262000+00:00,0.25634765625,2021-11-29 22:56:24.262000+00:00,0.1251220703125,2021-11-29 22:56:24.262000+00:00,0.738525390625,2021-11-29 22:56:24.262000+00:00,1.5899658203125,2021-11-29 22:56:24.262000+00:00,0.2960205078125,2021-11-29 22:56:24.262000+00:00,0.0457763671875,2021-11-29 22:56:24.262000+00:00,-0.0396728515625,2021-11-29 22:56:24.262000+00:00,0.62255859375,2021-11-29 22:56:24.262000+00:00,0.164794921875,2021-11-29 22:56:24.262000+00:00,0.2777099609375,2021-11-29 22:56:24.262000+00:00,0.0885009765625,2021-11-29 22:56:24.262000+00:00,0.201416015625,2021-11-29 22:56:24.262000+00:00,24.606132517573243,2021-11-29 22:56:24.262000+00:00,23.57481557269803,2021-11-29 22:56:24.262000+00:00,-32.19999694824219,2021-11-29 22:56:24.262000+00:00
3,237.27203369140625,2021-11-29 22:56:24.328000+00:00,26.309471993388065,2021-11-29 22:56:24.328000+00:00,24.223237624215088,2021-11-29 22:56:24.328000+00:00,171.539306640625,2021-11-29 22:56:24.328000+00:00,15.789794921875,2021-11-29 22:56:24.328000+00:00,0.701904296875,2021-11-29 22:56:24.328000+00:00,0.3204345703125,2021-11-29 22:56:24.328000+00:00,-0.0030517578125,2021-11-29 22:56:24.328000+00:00,-0.2532958984375,2021-11-29 22:56:24.328000+00:00,3.11279296875,2021-11-29 22:56:24.328000+00:00,1.666259765625,2021-11-29 22:56:24.328000+00:00,-0.1953125,2021-11-29 22:56:24.328000+00:00,0.6378173828125,2021-11-29 22:56:24.328000+00:00,0.18310546875,2021-11-29 22:56:24.328000+00:00,0.634765625,2021-11-29 22:56:24.328000+00:00,0.0335693359375,2021-11-29 22:56:24.328000+00:00,0.909423828125,2021-11-29 22:56:24.328000+00:00,1.458740234375,2021-11-29 22:56:24.328000+00:00,0.006103515625,2021-11-29 22:56:24.328000+00:00,0.1007080078125,2021-11-29 22:56:24.328000+00:00,0.8026123046875,2021-11-29 22:56:24.328000+00:00,0.1678466796875,2021-11-29 22:56:24.328000+00:00,0.2166748046875,2021-11-29 22:56:24.328000+00:00,0.0274658203125,2021-11-29 22:56:24.328000+00:00,0.9124755859375,2021-11-29 22:56:24.328000+00:00,1.64794921875,2021-11-29 22:56:24.328000+00:00,0.1678466796875,2021-11-29 22:56:24.328000+00:00,0.0030517578125,2021-11-29 22:56:24.328000+00:00,-0.054931640625,2021-11-29 22:56:24.328000+00:00,0.592041015625,2021-11-29 22:56:24.328000+00:00,0.18310546875,2021-11-29 22:56:24.328000+00:00,0.5279541015625,2021-11-29 22:56:24.328000+00:00,0.1434326171875,2021-11-29 22:56:24.328000+00:00,0.2288818359375,2021-11-29 22:56:24.328000+00:00,24.81904500607727,2021-11-29 22:56:24.328000+00:00,23.702394783373627,2021-11-29 22:56:24.328000+00:00,-32.19999694824219,2021-11-29 22:56:24.329000+00:00
4,237.1627197265625,2021-11-29 22:56:24.395000+00:00,26.33131593882202,2021-11-29 22:56:24.395000+00:00,24.2324479807262,2021-11-29 22:56:24.395000+00:00,171.539306640625,2021-11-29 22:56:24.395000+00:00,16.558837890625,2021-11-29 22:56:24.395000+00:00,0.640869140625,2021-11-29 22:56:24.395000+00:00,0.335693359375,2021-11-29 22:56:24.395000+00:00,0.018310546875,2021-11-29 22:56:24.395000+00:00,-0.1678466796875,2021-11-29 22:56:24.395000+00:00,2.7862548828125,2021-11-29 22:56:24.395000+00:00,1.6876220703125,2021-11-29 22:56:24.395000+00:00,-0.0885009765625,2021-11-29 22:56:24.395000+00:00,0.6988525390625,2021-11-29 22:56:24.395000+00:00,0.1617431640625,2021-11-29 22:56:24.395000+00:00,0.537109375,2021-11-29 22:56:24.395000+00:00,0.13427734375,2021-11-29 22:56:24.395000+00:00,1.1688232421875,2021-11-29 22:56:24.395000+00:00,1.2420654296875,2021-11-29 22:56:24.395000+00:00,0.01220703125,2021-11-29 22:56:24.395000+00:00,0.128173828125,2021-11-29 22:56:24.395000+00:00,1.116943359375,2021-11-29 22:56:24.395000+00:00,-0.0396728515625,2021-11-29 22:56:24.395000+00:00,0.1800537109375,2021-11-29 22:56:24.395000+00:00,0.0457763671875,2021-11-29 22:56:24.395000+00:00,0.74462890625,2021-11-29 22:56:24.395000+00:00,1.6693115234375,2021-11-29 22:56:24.395000+00:00,0.1190185546875,2021-11-29 22:56:24.395000+00:00,0.2899169921875,2021-11-29 22:56:24.395000+00:00,-0.048828125,2021-11-29 22:56:24.395000+00:00,0.7110595703125,2021-11-29 22:56:24.395000+00:00,0.2288818359375,2021-11-29 22:56:24.395000+00:00,0.506591796875,2021-11-29 22:56:24.395000+00:00,0.396728515625,2021-11-29 22:56:24.395000+00:00,0.262451171875,2021-11-29 22:56:24.395000+00:00,24.822320582823487,2021-11-29 22:56:24.395000+00:00,24.161072421754945,2021-11-29 22:56:24.395000+00:00,-32.19999694824219,2021-11-29 22:56:24.396000+00:00
5,237.05340576171875,2021-11-29 22:56:24.462000+00:00,26.33131593882202,2021-11-29 22:56:24.462000+00:00,24.26161410967804,2021-11-29 22:56:24.462000+00:00,171.539306640625,2021-11-29 22:56:24.462000+00:00,13.433837890625,2021-11-29 22:56:24.462000+00:00,0.45166015625,2021-11-29 22:56:24.462000+00:00,0.347900390625,2021-11-29 22:56:24.462000+00:00,0.06103515625,2021-11-29 22:56:24.462000+00:00,-0.1190185546875,2021-11-29 22:56:24.462000+00:00,2.7587890625,2021-11-29 22:56:24.462000+00:00,1.7333984375,2021-11-29 22:56:24.462000+00:00,-0.0701904296875,2021-11-29 22:56:24.462000+00:00,0.1190185546875,2021-11-29 22:56:24.462000+00:00,0.164794921875,2021-11-29 22:56:24.462000+00:00,0.518798828125,2021-11-29 22:56:24.462000+00:00,-0.2044677734375,2021-11-29 22:56:24.462000+00:00,0.81787109375,2021-11-29 22:56:24.462000+00:00,1.1444091796875,2021-11-29 22:56:24.462000+00:00,0.01220703125,2021-11-29 22:56:24.462000+00:00,0.1190185546875,2021-11-29 22:56:24.462000+00:00,0.69580078125,2021-11-29 22:56:24.462000+00:00,0.0732421875,2021-11-29 22:56:24.462000+00:00,0.1434326171875,2021-11-29 22:56:24.462000+00:00,0.0762939453125,2021-11-29 22:56:24.462000+00:00,0.7049560546875,2021-11-29 22:56:24.462000+00:00,1.519775390625,2021-11-29 22:56:24.462000+00:00,0.0762939453125,2021-11-29 22:56:24.462000+00:00,0.2105712890625,2021-11-29 22:56:24.462000+00:00,-0.0701904296875,2021-11-29 22:56:24.462000+00:00,0.6256103515625,2021-11-29 22:56:24.462000+00:00,0.115966796875,2021-11-29 22:56:24.462000+00:00,0.433349609375,2021-11-29 22:56:24.462000+00:00,0.3875732421875,2021-11-29 22:56:24.462000+00:00,0.140380859375,2021-11-29 22:56:24.462000+00:00,24.809218275838624,2021-11-29 22:56:24.462000+00:00,23.766184388711427,2021-11-29 22:56:24.462000+00:00,-32.19999694824219,2021-11-29 22:56:24.462000+00:00
6,236.944091796875,2021-11-29 22:56:24.529000+00:00,26.28138692068725,2021-11-29 22:56:24.529000+00:00,24.210957148866942,2021-11-29 22:56:24.529000+00:00,171.539306640625,2021-11-29 22:56:24.529000+00:00,14.837646484375,2021-11-29 22:56:24.529000+00:00,0.439453125,2021-11-29 22:56:24.529000+00:00,0.3631591796875,2021-11-29 22:56:24.529000+00:00,0.2197265625,2021-11-29 22:56:24.529000+00:00,-0.1922607421875,2021-11-29 22:56:24.529000+00:00,3.0364990234375,2021-11-29 22:56:24.529000+00:00,1.6571044921875,2021-11-29 22:56:24.529000+00:00,-0.0457763671875,2021-11-29 22:56:24.529000+00:00,0.1220703125,2021-11-29 22:56:24.529000+00:00,0.3143310546875,2021-11-29 22:56:24.529000+00:00,0.2532958984375,2021-11-29 22:56:24.529000+00:00,0.1434326171875,2021-11-29 22:56:24.529000+00:00,0.9307861328125,2021-11-29 22:56:24.529000+00:00,1.3275146484375,2021-11-29 22:56:24.529000+00:00,-0.0091552734375,2021-11-29 22:56:24.529000+00:00,0.10986328125,2021-11-29 22:56:24.529000+00:00,0.885009765625,2021-11-29 22:56:24.529000+00:00,0.006103515625,2021-11-29 22:56:24.529000+00:00,0.250244140625,2021-11-29 22:56:24.529000+00:00,0.1312255859375,2021-11-29 22:56:24.529000+00:00,0.4425048828125,2021-11-29 22:56:24.529000+00:00,1.3275146484375,2021-11-29 22:56:24.529000+00:00,0.1495361328125,2021-11-29 22:56:24.529000+00:00,0.048828125,2021-11-29 22:56:24.529000+00:00,0.0457763671875,2021-11-29 22:56:24.529000+00:00,0.74462890625,2021-11-29 22:56:24.529000+00:00,0.2838134765625,2021-11-29 22:56:24.529000+00:00,0.3448486328125,2021-11-29 22:56:24.529000+00:00,0.2197265625,2021-11-29 22:56:24.529000+00:00,0.2227783203125,2021-11-29 22:56:24.529000+00:00,24.783013661868896,2021-11-29 22:56:24.529000+00:00,23.702394783373627,2021-11-29 22:56:24.529000+00:00,-32.19999694824219,2021-11-29 22:56:24.529000+00:00
7,236.83477783203125,2021-11-29 22:56:24.595000+00:00,26.11287648448242,2021-11-29 22:56:24.595000+00:00,24.052846028759586,2021-11-29 22:56:24.595000+00:00,171.539306640625,2021-11-29 22:56:24.595000+00:00,14.019775390625,2021-11-29 22:56:24.595000+00:00,0.6103515625,2021-11-29 22:56:24.595000+00:00,0.274658203125,2021-11-29 22:56:24.595000+00:00,0.1373291015625,2021-11-29 22:56:24.595000+00:00,0.030517578125,2021-11-29 22:56:24.595000+00:00,2.581787109375,2021-11-29 22:56:24.595000+00:00,1.69677734375,2021-11-29 22:56:24.595000+00:00,-0.0518798828125,2021-11-29 22:56:24.595000+00:00,0.189208984375,2021-11-29 22:56:24.595000+00:00,0.164794921875,2021-11-29 22:56:24.595000+00:00,0.347900390625,2021-11-29 22:56:24.595000+00:00,0.042724609375,2021-11-29 22:56:24.595000+00:00,1.1810302734375,2021-11-29 22:56:24.595000+00:00,1.3427734375,2021-11-29 22:56:24.595000+00:00,0.006103515625,2021-11-29 22:56:24.595000+00:00,0.1434326171875,2021-11-29 22:56:24.595000+00:00,1.0284423828125,2021-11-29 22:56:24.595000+00:00,0.03662109375,2021-11-29 22:56:24.595000+00:00,0.177001953125,2021-11-29 22:56:24.595000+00:00,0.01220703125,2021-11-29 22:56:24.595000+00:00,0.592041015625,2021-11-29 22:56:24.595000+00:00,1.0406494140625,2021-11-29 22:56:24.595000+00:00,0.0396728515625,2021-11-29 22:56:24.595000+00:00,-0.0213623046875,2021-11-29 22:56:24.595000+00:00,0.018310546875,2021-11-29 22:56:24.595000+00:00,0.59814453125,2021-11-29 22:56:24.595000+00:00,0.1708984375,2021-11-29 22:56:24.595000+00:00,0.140380859375,2021-11-29 22:56:24.595000+00:00,0.189208984375,2021-11-29 22:56:24.595000+00:00,0.0701904296875,2021-11-29 22:56:24.595000+00:00,24.579927903603515,2021-11-29 22:56:24.595000+00:00,23.532289169139496,2021-11-29 22:56:24.595000+00:00,-32.19999694824219,2021-11-29 22:56:24.596000+00:00
8,236.7254638671875,2021-11-29 22:56:24.662000+00:00,25.922522102843622,2021-11-29 22:56:24.662000+00:00,23.859428542026304,2021-11-29 22:56:24.662000+00:00,171.539306640625,2021-11-29 22:56:24.662000+00:00,14.90478515625,2021-11-29 22:56:24.662000+00:00,0.6134033203125,2021-11-29 22:56:24.662000+00:00,0.469970703125,2021-11-29 22:56:24.662000+00:00,-0.0640869140625,2021-11-29 22:56:24.662000+00:00,-0.3204345703125,2021-11-29 22:56:24.662000+00:00,2.4261474609375,2021-11-29 22:56:24.662000+00:00,1.6204833984375,2021-11-29 22:56:24.662000+00:00,-0.201416015625,2021-11-29 22:56:24.662000+00:00,0.5950927734375,2021-11-29 22:56:24.662000+00:00,0.311279296875,2021-11-29 22:56:24.662000+00:00,0.4913330078125,2021-11-29 22:56:24.662000+00:00,0.2716064453125,2021-11-29 22:56:24.662000+00:00,1.2786865234375,2021-11-29 22:56:24.662000+00:00,1.214599609375,2021-11-29 22:56:24.662000+00:00,-0.042724609375,2021-11-29 22:56:24.662000+00:00,0.146484375,2021-11-29 22:56:24.662000+00:00,1.568603515625,2021-11-29 22:56:24.662000+00:00,-0.164794921875,2021-11-29 22:56:24.662000+00:00,0.323486328125,2021-11-29 22:56:24.662000+00:00,-0.0396728515625,2021-11-29 22:56:24.662000+00:00,0.872802734375,2021-11-29 22:56:24.662000+00:00,1.2603759765625,2021-11-29 22:56:24.662000+00:00,0.0701904296875,2021-11-29 22:56:24.662000+00:00,0.0885009765625,2021-11-29 22:56:24.662000+00:00,-0.0946044921875,2021-11-29 22:56:24.662000+00:00,0.54931640625,2021-11-29 22:56:24.662000+00:00,0.0518798828125,2021-11-29 22:56:24.662000+00:00,0.390625,2021-11-29 22:56:24.662000+00:00,0.4180908203125,2021-11-29 22:56:24.662000+00:00,0.213623046875,2021-11-29 22:56:24.662000+00:00,24.439078103516238,2021-11-29 22:56:24.662000+00:00,23.383446756684634,2021-11-29 22:56:24.662000+00:00,-32.19999694824219,2021-11-29 22:56:24.662000+00:00
9,236.61614990234372,2021-11-29 22:56:24.729000+00:00,26.169046629884036,2021-11-29 22:56:24.729000+00:00,24.167975485148435,2021-11-29 22:56:24.729000+00:00,171.539306640625,2021-11-29 22:56:24.729000+00:00,14.2822265625,2021-11-29 22:56:24.729000+00:00,0.250244140625,2021-11-29 22:56:24.729000+00:00,0.32958984375,2021-11-29 22:56:24.729000+00:00,-0.08544921875,2021-11-29 22:56:24.729000+00:00,-0.042724609375,2021-11-29 22:56:24.729000+00:00,2.996826171875,2021-11-29 22:56:24.729000+00:00,2.1148681640625,2021-11-29 22:56:24.729000+00:00,0.03662109375,2021-11-29 22:56:24.729000+00:00,0.1617431640625,2021-11-29 22:56:24.729000+00:00,0.30517578125,2021-11-29 22:56:24.729000+00:00,0.341796875,2021-11-29 22:56:24.729000+00:00,0.1190185546875,2021-11-29 22:56:24.729000+00:00,0.830078125,2021-11-29 22:56:24.729000+00:00,1.3031005859375,2021-11-29 22:56:24.729000+00:00,-0.018310546875,2021-11-29 22:56:24.729000+00:00,0.140380859375,2021-11-29 22:56:24.729000+00:00,0.885009765625,2021-11-29 22:56:24.729000+00:00,0.2227783203125,2021-11-29 22:56:24.729000+00:00,0.2960205078125,2021-11-29 22:56:24.729000+00:00,-0.1861572265625,2021-11-29 22:56:24.729000+00:00,0.7049560546875,2021-11-29 22:56:24.729000+00:00,1.3946533203125,2021-11-29 22:56:24.729000+00:00,-0.030517578125,2021-11-29 22:56:24.729000+00:00,0.1953125,2021-11-29 22:56:24.729000+00:00,-0.0640869140625,2021-11-29 22:56:24.729000+00:00,0.628662109375,2021-11-29 22:56:24.729000+00:00,0.2197265625,2021-11-29 22:56:24.729000+00:00,0.3509521484375,2021-11-29 22:56:24.729000+00:00,0.2593994140625,2021-11-29 22:56:24.729000+00:00,0.3448486328125,2021-11-29 22:56:24.729000+00:00,24.737155587421874,2021-11-29 22:56:24.729000+00:00,23.66290598006928,2021-11-29 22:56:24.729000+00:00,-32.19999694824219,2021-11-29 22:56:24.729000+00:00
