idx,tag,stamp,data,name,di
0,7,2021-11-29 22:58:36.669000+00:00,23.760109188203067,L:D7TOR,82678
1,1,2021-11-29 22:58:36.669000+00:00,171.539306640625,L:RFQPAH,256085
2,6,2021-11-29 22:58:36.669000+00:00,24.14034441561511,L:TO5OUT,3961
3,2,2021-11-29 22:58:36.669000+00:00,228.759765625,L:RFBPAH,8505
4,4,2021-11-29 22:58:36.669000+00:00,26.106635357215573,L:TO1IN,3679
5,5,2021-11-29 22:58:36.669000+00:00,24.665092899005128,L:TO3IN,3834
6,3,2021-11-29 22:58:36.669000+00:00,14.39208984375,L:D7LMSM,166543
7,8,2021-11-29 22:58:36.669000+00:00,0.4730224609375,L:D00LM,89506
8,9,2021-11-29 22:58:36.669000+00:00,0.09765625,L:D11LM,83525
9,10,2021-11-29 22:58:36.669000+00:00,-0.1190185546875,L:D12LM,83526
10,11,2021-11-29 22:58:36.669000+00:00,0.006103515625,L:D13LM,83527
11,12,2021-11-29 22:58:36.669000+00:00,1.812744140625,L:D14LM,83528
12,13,2021-11-29 22:58:36.669000+00:00,0.543212890625,L:D21LM,83529
13,14,2021-11-29 22:58:36.669000+00:00,-0.018310546875,L:D22LM,83530
14,15,2021-11-29 22:58:36.669000+00:00,0.37841796875,L:D23LM,83531
15,16,2021-11-29 22:58:36.669000+00:00,0.32958984375,L:D24LM,83532
16,17,2021-11-29 22:58:36.669000+00:00,0.762939453125,L:D31LM,83533
17,18,2021-11-29 22:58:36.669000+00:00,-0.0244140625,L:D32LM,83534
18,19,2021-11-29 22:58:36.669000+00:00,1.0162353515625,L:D33LM,83535
19,20,2021-11-29 22:58:36.669000+00:00,1.226806640625,L:D34LM,83536
20,21,2021-11-29 22:58:36.669000+00:00,0.0152587890625,L:D41LM,83537
21,22,2021-11-29 22:58:36.669000+00:00,0.3814697265625,L:D42LM,83538
22,23,2021-11-29 22:58:36.669000+00:00,1.0498046875,L:D43LM,83539
23,24,2021-11-29 22:58:36.669000+00:00,0.0274658203125,L:D44LM,83540
24,25,2021-11-29 22:58:36.669000+00:00,0.3814697265625,L:D51LM,83541
