idx,L:D7TOR,L:D7TOR Timestamp,L:RFQPAH,L:RFQPAH Timestamp,L:D7LMSM,L:D7LMSM Timestamp,L:D00LM,L:D00LM Timestamp,L:D11LM,L:D11LM Timestamp,L:D12LM,L:D12LM Timestamp,L:D13LM,L:D13LM Timestamp,L:D14LM,L:D14LM Timestamp,L:D21LM,L:D21LM Timestamp,L:D22LM,L:D22LM Timestamp,L:D23LM,L:D23LM Timestamp,L:D24LM,L:D24LM Timestamp,L:D31LM,L:D31LM Timestamp,L:D32LM,L:D32LM Timestamp,L:D33LM,L:D33LM Timestamp,L:D34LM,L:D34LM Timestamp,L:D41LM,L:D41LM Timestamp,L:D42LM,L:D42LM Timestamp,L:D43LM,L:D43LM Timestamp,L:D44LM,L:D44LM Timestamp,L:D51LM,L:D51LM Timestamp,L:D52LM,L:D52LM Timestamp,L:D53LM,L:D53LM Timestamp,L:D54LM,L:D54LM Timestamp,L:D61LM,L:D61LM Timestamp,L:D62LM,L:D62LM Timestamp,L:D63LM,L:D63LM Timestamp,L:D64LM,L:D64LM Timestamp,L:D71LM,L:D71LM Timestamp,L:D72LM,L:D72LM Timestamp,L:D73LM,L:D73LM Timestamp,L:D74LM,L:D74LM Timestamp,L:RFBPAH,L:RFBPAH Timestamp,L:TO1IN,L:TO1IN Timestamp,L:TO5OUT,L:TO5OUT Timestamp,L:TO3IN,L:TO3IN Timestamp,L:V5QSET,L:V5QSET Timestamp
0,24.28257643192218,2021-11-30 22:42:35.398000+00:00,168.511962890625,2021-11-30 22:42:35.398000+00:00,15.191650390625,2021-11-30 22:42:35.398000+00:00,0.13427734375,2021-11-30 22:42:35.398000+00:00,0.4852294921875,2021-11-30 22:42:35.398000+00:00,-0.244140625,2021-11-30 22:42:35.398000+00:00,-0.1190185546875,2021-11-30 22:42:35.398000+00:00,2.6092529296875,2021-11-30 22:42:35.398000+00:00,1.1962890625,2021-11-30 22:42:35.398000+00:00,-0.079345703125,2021-11-30 22:42:35.398000+00:00,0.3753662109375,2021-11-30 22:42:35.398000+00:00,0.1922607421875,2021-11-30 22:42:35.398000+00:00,0.8026123046875,2021-11-30 22:42:35.398000+00:00,-0.164794921875,2021-11-30 22:42:35.398000+00:00,1.3580322265625,2021-11-30 22:42:35.398000+00:00,1.422119140625,2021-11-30 22:42:35.398000+00:00,-0.0244140625,2021-11-30 22:42:35.398000+00:00,0.1495361328125,2021-11-30 22:42:35.398000+00:00,1.5380859375,2021-11-30 22:42:35.398000+00:00,0.03662109375,2021-11-30 22:42:35.398000+00:00,0.189208984375,2021-11-30 22:42:35.398000+00:00,0.0,2021-11-30 22:42:35.398000+00:00,0.5401611328125,2021-11-30 22:42:35.398000+00:00,1.129150390625,2021-11-30 22:42:35.398000+00:00,-0.1495361328125,2021-11-30 22:42:35.398000+00:00,0.06103515625,2021-11-30 22:42:35.398000+00:00,0.2349853515625,2021-11-30 22:42:35.398000+00:00,0.59814453125,2021-11-30 22:42:35.398000+00:00,0.1434326171875,2021-11-30 22:42:35.398000+00:00,0.50048828125,2021-11-30 22:42:35.398000+00:00,0.1007080078125,2021-11-30 22:42:35.398000+00:00,0.10986328125,2021-11-30 22:42:35.398000+00:00,228.684814453125,2021-11-30 22:42:35.398000+00:00,26.602804974929807,2021-11-30 22:42:35.398000+00:00,24.75590324244085,2021-11-30 22:42:35.398000+00:00,25.33658613197937,2021-11-30 22:42:35.398000+00:00,-32.19999694824219,2021-11-30 22:42:35.399000+00:00
1,24.191448424296755,2021-11-30 22:42:35.465000+00:00,168.511962890625,2021-11-30 22:42:35.465000+00:00,18.359375,2021-11-30 22:42:35.465000+00:00,0.8026123046875,2021-11-30 22:42:35.465000+00:00,0.518798828125,2021-11-30 22:42:35.465000+00:00,-0.3326416015625,2021-11-30 22:42:35.465000+00:00,-0.1251220703125,2021-11-30 22:42:35.465000+00:00,3.4149169921875,2021-11-30 22:42:35.465000+00:00,1.77001953125,2021-11-30 22:42:35.465000+00:00,-0.1190185546875,2021-11-30 22:42:35.465000+00:00,0.341796875,2021-11-30 22:42:35.465000+00:00,0.0457763671875,2021-11-30 22:42:35.465000+00:00,0.445556640625,2021-11-30 22:42:35.465000+00:00,0.1708984375,2021-11-30 22:42:35.465000+00:00,1.324462890625,2021-11-30 22:42:35.465000+00:00,1.4862060546875,2021-11-30 22:42:35.465000+00:00,0.2716064453125,2021-11-30 22:42:35.465000+00:00,0.0244140625,2021-11-30 22:42:35.465000+00:00,1.568603515625,2021-11-30 22:42:35.465000+00:00,0.08544921875,2021-11-30 22:42:35.465000+00:00,0.048828125,2021-11-30 22:42:35.465000+00:00,0.0213623046875,2021-11-30 22:42:35.465000+00:00,0.9124755859375,2021-11-30 22:42:35.465000+00:00,2.1881103515625,2021-11-30 22:42:35.465000+00:00,-0.1220703125,2021-11-30 22:42:35.465000+00:00,0.01220703125,2021-11-30 22:42:35.465000+00:00,0.335693359375,2021-11-30 22:42:35.465000+00:00,0.96435546875,2021-11-30 22:42:35.465000+00:00,0.13427734375,2021-11-30 22:42:35.465000+00:00,0.0335693359375,2021-11-30 22:42:35.465000+00:00,0.115966796875,2021-11-30 22:42:35.465000+00:00,0.140380859375,2021-11-30 22:42:35.465000+00:00,235.69305419921875,2021-11-30 22:42:35.465000+00:00,26.86805288377075,2021-11-30 22:42:35.465000+00:00,24.732877351163083,2021-11-30 22:42:35.465000+00:00,25.26779902030884,2021-11-30 22:42:35.465000+00:00,-32.19999694824219,2021-11-30 22:42:35.466000+00:00
2,24.100320416671327,2021-11-30 22:42:35.532000+00:00,168.511962890625,2021-11-30 22:42:35.532000+00:00,19.097900390625,2021-11-30 22:42:35.532000+00:00,0.62255859375,2021-11-30 22:42:35.532000+00:00,0.48828125,2021-11-30 22:42:35.532000+00:00,0.0396728515625,2021-11-30 22:42:35.532000+00:00,-0.0518798828125,2021-11-30 22:42:35.532000+00:00,3.69873046875,2021-11-30 22:42:35.532000+00:00,1.79443359375,2021-11-30 22:42:35.532000+00:00,-0.054931640625,2021-11-30 22:42:35.532000+00:00,0.40283203125,2021-11-30 22:42:35.532000+00:00,0.0579833984375,2021-11-30 22:42:35.532000+00:00,0.3814697265625,2021-11-30 22:42:35.532000+00:00,0.2227783203125,2021-11-30 22:42:35.532000+00:00,1.2115478515625,2021-11-30 22:42:35.532000+00:00,1.4862060546875,2021-11-30 22:42:35.532000+00:00,0.1129150390625,2021-11-30 22:42:35.532000+00:00,0.079345703125,2021-11-30 22:42:35.532000+00:00,1.446533203125,2021-11-30 22:42:35.532000+00:00,-0.030517578125,2021-11-30 22:42:35.532000+00:00,0.1861572265625,2021-11-30 22:42:35.532000+00:00,0.091552734375,2021-11-30 22:42:35.532000+00:00,0.6011962890625,2021-11-30 22:42:35.532000+00:00,2.288818359375,2021-11-30 22:42:35.532000+00:00,0.0213623046875,2021-11-30 22:42:35.532000+00:00,0.0732421875,2021-11-30 22:42:35.532000+00:00,0.2410888671875,2021-11-30 22:42:35.532000+00:00,0.9002685546875,2021-11-30 22:42:35.532000+00:00,-0.048828125,2021-11-30 22:42:35.532000+00:00,0.3936767578125,2021-11-30 22:42:35.532000+00:00,-0.09765625,2021-11-30 22:42:35.532000+00:00,0.146484375,2021-11-30 22:42:35.532000+00:00,235.583740234375,2021-11-30 22:42:35.532000+00:00,26.712024702099608,2021-11-30 22:42:35.532000+00:00,24.628493310703856,2021-11-30 22:42:35.532000+00:00,25.136775950460205,2021-11-30 22:42:35.532000+00:00,-32.19999694824219,2021-11-30 22:42:35.532000+00:00
3,24.100320416671327,2021-11-30 22:42:35.598000+00:00,168.511962890625,2021-11-30 22:42:35.598000+00:00,18.670654296875,2021-11-30 22:42:35.598000+00:00,0.5889892578125,2021-11-30 22:42:35.598000+00:00,0.3204345703125,2021-11-30 22:42:35.598000+00:00,-0.1495361328125,2021-11-30 22:42:35.598000+00:00,0.0396728515625,2021-11-30 22:42:35.598000+00:00,3.656005859375,2021-11-30 22:42:35.598000+00:00,1.9134521484375,2021-11-30 22:42:35.598000+00:00,-0.079345703125,2021-11-30 22:42:35.598000+00:00,0.4913330078125,2021-11-30 22:42:35.598000+00:00,0.238037109375,2021-11-30 22:42:35.598000+00:00,0.457763671875,2021-11-30 22:42:35.598000+00:00,0.2227783203125,2021-11-30 22:42:35.598000+00:00,1.06201171875,2021-11-30 22:42:35.598000+00:00,1.52587890625,2021-11-30 22:42:35.598000+00:00,0.146484375,2021-11-30 22:42:35.598000+00:00,0.2410888671875,2021-11-30 22:42:35.598000+00:00,1.6143798828125,2021-11-30 22:42:35.598000+00:00,0.0091552734375,2021-11-30 22:42:35.598000+00:00,-0.0885009765625,2021-11-30 22:42:35.598000+00:00,0.1190185546875,2021-11-30 22:42:35.598000+00:00,0.7080078125,2021-11-30 22:42:35.598000+00:00,2.2705078125,2021-11-30 22:42:35.598000+00:00,-0.1251220703125,2021-11-30 22:42:35.598000+00:00,0.128173828125,2021-11-30 22:42:35.598000+00:00,0.103759765625,2021-11-30 22:42:35.598000+00:00,0.6866455078125,2021-11-30 22:42:35.598000+00:00,0.079345703125,2021-11-30 22:42:35.598000+00:00,0.3509521484375,2021-11-30 22:42:35.598000+00:00,0.0213623046875,2021-11-30 22:42:35.598000+00:00,-0.0030517578125,2021-11-30 22:42:35.598000+00:00,235.47442626953125,2021-11-30 22:42:35.598000+00:00,26.736989211166996,2021-11-30 22:42:35.598000+00:00,24.692965806281613,2021-11-30 22:42:35.598000+00:00,25.231767676100464,2021-11-30 22:42:35.598000+00:00,-32.19999694824219,2021-11-30 22:42:35.599000+00:00
4,23.823898793540863,2021-11-30 22:42:35.665000+00:00,168.511962890625,2021-11-30 22:42:35.665000+00:00,16.021728515625,2021-11-30 22:42:35.665000+00:00,0.5279541015625,2021-11-30 22:42:35.665000+00:00,0.4547119140625,2021-11-30 22:42:35.665000+00:00,-0.164794921875,2021-11-30 22:42:35.665000+00:00,-0.2166748046875,2021-11-30 22:42:35.665000+00:00,3.3447265625,2021-11-30 22:42:35.665000+00:00,1.79443359375,2021-11-30 22:42:35.665000+00:00,-0.244140625,2021-11-30 22:42:35.665000+00:00,0.68359375,2021-11-30 22:42:35.665000+00:00,0.1861572265625,2021-11-30 22:42:35.665000+00:00,0.244140625,2021-11-30 22:42:35.665000+00:00,-0.0396728515625,2021-11-30 22:42:35.665000+00:00,1.202392578125,2021-11-30 22:42:35.665000+00:00,1.068115234375,2021-11-30 22:42:35.665000+00:00,0.0457763671875,2021-11-30 22:42:35.665000+00:00,-0.0091552734375,2021-11-30 22:42:35.665000+00:00,1.1627197265625,2021-11-30 22:42:35.665000+00:00,0.1129150390625,2021-11-30 22:42:35.665000+00:00,0.201416015625,2021-11-30 22:42:35.665000+00:00,0.10986328125,2021-11-30 22:42:35.665000+00:00,0.40283203125,2021-11-30 22:42:35.665000+00:00,1.4923095703125,2021-11-30 22:42:35.665000+00:00,-0.03662109375,2021-11-30 22:42:35.665000+00:00,0.0701904296875,2021-11-30 22:42:35.665000+00:00,0.5035400390625,2021-11-30 22:42:35.665000+00:00,0.8697509765625,2021-11-30 22:42:35.665000+00:00,0.03662109375,2021-11-30 22:42:35.665000+00:00,0.29296875,2021-11-30 22:42:35.665000+00:00,0.018310546875,2021-11-30 22:42:35.665000+00:00,0.2197265625,2021-11-30 22:42:35.665000+00:00,235.3651123046875,2021-11-30 22:42:35.665000+00:00,26.421812284191283,2021-11-30 22:42:35.665000+00:00,24.359857912463195,2021-11-30 22:42:35.665000+00:00,24.92058788520996,2021-11-30 22:42:35.665000+00:00,-32.19999694824219,2021-11-30 22:42:35.666000+00:00
5,23.945402803708102,2021-11-30 22:42:35.732000+00:00,168.511962890625,2021-11-30 22:42:35.732000+00:00,17.987060546875,2021-11-30 22:42:35.732000+00:00,0.6988525390625,2021-11-30 22:42:35.732000+00:00,0.201416015625,2021-11-30 22:42:35.732000+00:00,-0.146484375,2021-11-30 22:42:35.732000+00:00,-0.3265380859375,2021-11-30 22:42:35.732000+00:00,3.6224365234375,2021-11-30 22:42:35.732000+00:00,1.708984375,2021-11-30 22:42:35.732000+00:00,-0.0762939453125,2021-11-30 22:42:35.732000+00:00,0.4058837890625,2021-11-30 22:42:35.732000+00:00,0.2655029296875,2021-11-30 22:42:35.732000+00:00,0.457763671875,2021-11-30 22:42:35.732000+00:00,-0.0152587890625,2021-11-30 22:42:35.732000+00:00,1.3336181640625,2021-11-30 22:42:35.732000+00:00,1.5045166015625,2021-11-30 22:42:35.732000+00:00,0.0152587890625,2021-11-30 22:42:35.732000+00:00,0.213623046875,2021-11-30 22:42:35.732000+00:00,1.3885498046875,2021-11-30 22:42:35.732000+00:00,0.0396728515625,2021-11-30 22:42:35.732000+00:00,0.2197265625,2021-11-30 22:42:35.732000+00:00,0.018310546875,2021-11-30 22:42:35.732000+00:00,0.7293701171875,2021-11-30 22:42:35.732000+00:00,2.2918701171875,2021-11-30 22:42:35.732000+00:00,0.091552734375,2021-11-30 22:42:35.732000+00:00,0.018310546875,2021-11-30 22:42:35.732000+00:00,0.1434326171875,2021-11-30 22:42:35.732000+00:00,0.677490234375,2021-11-30 22:42:35.732000+00:00,0.042724609375,2021-11-30 22:42:35.732000+00:00,0.3753662109375,2021-11-30 22:42:35.732000+00:00,0.1708984375,2021-11-30 22:42:35.732000+00:00,0.0701904296875,2021-11-30 22:42:35.732000+00:00,235.25579833984372,2021-11-30 22:42:35.732000+00:00,26.496705811393436,2021-11-30 22:42:35.732000+00:00,24.487267844200197,2021-11-30 22:42:35.732000+00:00,25.028681917835083,2021-11-30 22:42:35.732000+00:00,-32.19999694824219,2021-11-30 22:42:35.732000+00:00
6,23.97577880624991,2021-11-30 22:42:35.798000+00:00,168.511962890625,2021-11-30 22:42:35.798000+00:00,16.56494140625,2021-11-30 22:42:35.798000+00:00,0.7568359375,2021-11-30 22:42:35.798000+00:00,0.384521484375,2021-11-30 22:42:35.798000+00:00,-0.1861572265625,2021-11-30 22:42:35.798000+00:00,-0.1068115234375,2021-11-30 22:42:35.798000+00:00,3.3905029296875,2021-11-30 22:42:35.798000+00:00,1.6815185546875,2021-11-30 22:42:35.798000+00:00,-0.091552734375,2021-11-30 22:42:35.798000+00:00,0.4791259765625,2021-11-30 22:42:35.798000+00:00,0.1068115234375,2021-11-30 22:42:35.798000+00:00,0.4669189453125,2021-11-30 22:42:35.798000+00:00,0.048828125,2021-11-30 22:42:35.798000+00:00,1.214599609375,2021-11-30 22:42:35.798000+00:00,1.141357421875,2021-11-30 22:42:35.798000+00:00,-0.006103515625,2021-11-30 22:42:35.798000+00:00,0.2838134765625,2021-11-30 22:42:35.798000+00:00,1.446533203125,2021-11-30 22:42:35.798000+00:00,-0.23193359375,2021-11-30 22:42:35.798000+00:00,0.0335693359375,2021-11-30 22:42:35.798000+00:00,0.018310546875,2021-11-30 22:42:35.798000+00:00,0.701904296875,2021-11-30 22:42:35.798000+00:00,1.9378662109375,2021-11-30 22:42:35.798000+00:00,0.0640869140625,2021-11-30 22:42:35.798000+00:00,-0.0244140625,2021-11-30 22:42:35.798000+00:00,0.23193359375,2021-11-30 22:42:35.798000+00:00,0.69580078125,2021-11-30 22:42:35.798000+00:00,-0.0579833984375,2021-11-30 22:42:35.798000+00:00,0.2197265625,2021-11-30 22:42:35.798000+00:00,0.0396728515625,2021-11-30 22:42:35.798000+00:00,0.1220703125,2021-11-30 22:42:35.798000+00:00,235.146484375,2021-11-30 22:42:35.798000+00:00,26.50294693866028,2021-11-30 22:42:35.798000+00:00,24.49033796303723,2021-11-30 22:42:35.798000+00:00,25.0319574945813,2021-11-30 22:42:35.798000+00:00,-32.19999694824219,2021-11-30 22:42:35.799000+00:00
7,23.957553204724825,2021-11-30 22:42:35.865000+00:00,168.511962890625,2021-11-30 22:42:35.865000+00:00,18.9697265625,2021-11-30 22:42:35.865000+00:00,0.3662109375,2021-11-30 22:42:35.865000+00:00,0.45166015625,2021-11-30 22:42:35.865000+00:00,-0.0152587890625,2021-11-30 22:42:35.865000+00:00,-0.0885009765625,2021-11-30 22:42:35.865000+00:00,4.0740966796875,2021-11-30 22:42:35.865000+00:00,2.081298828125,2021-11-30 22:42:35.865000+00:00,0.0244140625,2021-11-30 22:42:35.865000+00:00,0.6744384765625,2021-11-30 22:42:35.865000+00:00,0.1220703125,2021-11-30 22:42:35.865000+00:00,0.6378173828125,2021-11-30 22:42:35.865000+00:00,0.0518798828125,2021-11-30 22:42:35.865000+00:00,1.055908203125,2021-11-30 22:42:35.865000+00:00,1.5838623046875,2021-11-30 22:42:35.865000+00:00,0.0244140625,2021-11-30 22:42:35.865000+00:00,0.13427734375,2021-11-30 22:42:35.865000+00:00,1.2420654296875,2021-11-30 22:42:35.865000+00:00,0.0335693359375,2021-11-30 22:42:35.865000+00:00,0.28076171875,2021-11-30 22:42:35.865000+00:00,0.1556396484375,2021-11-30 22:42:35.865000+00:00,0.76904296875,2021-11-30 22:42:35.865000+00:00,2.2064208984375,2021-11-30 22:42:35.865000+00:00,-0.0823974609375,2021-11-30 22:42:35.865000+00:00,0.1556396484375,2021-11-30 22:42:35.865000+00:00,0.2105712890625,2021-11-30 22:42:35.865000+00:00,0.5462646484375,2021-11-30 22:42:35.865000+00:00,0.0396728515625,2021-11-30 22:42:35.865000+00:00,-0.0213623046875,2021-11-30 22:42:35.865000+00:00,0.030517578125,2021-11-30 22:42:35.865000+00:00,0.03662109375,2021-11-30 22:42:35.865000+00:00,235.03717041015625,2021-11-30 22:42:35.865000+00:00,26.54039370226135,2021-11-30 22:42:35.865000+00:00,24.54560010210388,2021-11-30 22:42:35.865000+00:00,25.14660268069885,2021-11-30 22:42:35.865000+00:00,-32.19999694824219,2021-11-30 22:42:35.866000+00:00
8,24.121583618450597,2021-11-30 22:42:35.932000+00:00,168.511962890625,2021-11-30 22:42:35.932000+00:00,18.6279296875,2021-11-30 22:42:35.932000+00:00,0.640869140625,2021-11-30 22:42:35.932000+00:00,0.445556640625,2021-11-30 22:42:35.932000+00:00,-0.3173828125,2021-11-30 22:42:35.932000+00:00,-0.054931640625,2021-11-30 22:42:35.932000+00:00,3.643798828125,2021-11-30 22:42:35.932000+00:00,1.800537109375,2021-11-30 22:42:35.932000+00:00,-0.079345703125,2021-11-30 22:42:35.932000+00:00,0.213623046875,2021-11-30 22:42:35.932000+00:00,0.1007080078125,2021-11-30 22:42:35.932000+00:00,0.2960205078125,2021-11-30 22:42:35.932000+00:00,0.0579833984375,2021-11-30 22:42:35.932000+00:00,1.617431640625,2021-11-30 22:42:35.932000+00:00,1.715087890625,2021-11-30 22:42:35.932000+00:00,0.09765625,2021-11-30 22:42:35.932000+00:00,0.244140625,2021-11-30 22:42:35.932000+00:00,1.5106201171875,2021-11-30 22:42:35.932000+00:00,-0.1129150390625,2021-11-30 22:42:35.932000+00:00,0.1800537109375,2021-11-30 22:42:35.932000+00:00,-0.0457763671875,2021-11-30 22:42:35.932000+00:00,0.9765625,2021-11-30 22:42:35.932000+00:00,2.4169921875,2021-11-30 22:42:35.932000+00:00,-0.146484375,2021-11-30 22:42:35.932000+00:00,0.103759765625,2021-11-30 22:42:35.932000+00:00,0.189208984375,2021-11-30 22:42:35.932000+00:00,0.81787109375,2021-11-30 22:42:35.932000+00:00,0.054931640625,2021-11-30 22:42:35.932000+00:00,0.1983642578125,2021-11-30 22:42:35.932000+00:00,0.079345703125,2021-11-30 22:42:35.932000+00:00,-0.0335693359375,2021-11-30 22:42:35.932000+00:00,234.9278564453125,2021-11-30 22:42:35.932000+00:00,26.752592029334107,2021-11-30 22:42:35.932000+00:00,24.68068533093347,2021-11-30 22:42:35.932000+00:00,25.31693267150208,2021-11-30 22:42:35.932000+00:00,-32.19999694824219,2021-11-30 22:42:35.932000+00:00
9,24.334215636243258,2021-11-30 22:42:35.999000+00:00,168.511962890625,2021-11-30 22:42:35.999000+00:00,19.29931640625,2021-11-30 22:42:35.999000+00:00,0.7568359375,2021-11-30 22:42:35.999000+00:00,0.531005859375,2021-11-30 22:42:35.999000+00:00,-0.4425048828125,2021-11-30 22:42:35.999000+00:00,0.115966796875,2021-11-30 22:42:35.999000+00:00,3.582763671875,2021-11-30 22:42:35.999000+00:00,1.9683837890625,2021-11-30 22:42:35.999000+00:00,0.0732421875,2021-11-30 22:42:35.999000+00:00,0.4119873046875,2021-11-30 22:42:35.999000+00:00,0.3204345703125,2021-11-30 22:42:35.999000+00:00,0.6317138671875,2021-11-30 22:42:35.999000+00:00,0.0457763671875,2021-11-30 22:42:35.999000+00:00,1.580810546875,2021-11-30 22:42:35.999000+00:00,1.6326904296875,2021-11-30 22:42:35.999000+00:00,0.13427734375,2021-11-30 22:42:35.999000+00:00,0.18310546875,2021-11-30 22:42:35.999000+00:00,1.4129638671875,2021-11-30 22:42:35.999000+00:00,-0.146484375,2021-11-30 22:42:35.999000+00:00,0.1708984375,2021-11-30 22:42:35.999000+00:00,0.0823974609375,2021-11-30 22:42:35.999000+00:00,0.726318359375,2021-11-30 22:42:35.999000+00:00,2.2308349609375,2021-11-30 22:42:35.999000+00:00,-0.274658203125,2021-11-30 22:42:35.999000+00:00,0.0457763671875,2021-11-30 22:42:35.999000+00:00,0.189208984375,2021-11-30 22:42:35.999000+00:00,0.7537841796875,2021-11-30 22:42:35.999000+00:00,-0.0244140625,2021-11-30 22:42:35.999000+00:00,0.4486083984375,2021-11-30 22:42:35.999000+00:00,0.146484375,2021-11-30 22:42:35.999000+00:00,0.32958984375,2021-11-30 22:42:35.999000+00:00,234.81854248046875,2021-11-30 22:42:35.999000+00:00,26.989754865474243,2021-11-30 22:42:35.999000+00:00,24.900198827781555,2021-11-30 22:42:35.999000+00:00,25.4250267041272,2021-11-30 22:42:35.999000+00:00,-32.19999694824219,2021-11-30 22:42:35.999000+00:00
