idx,L:RFQPAH,L:RFQPAH Timestamp,L:D7TOR,L:D7TOR Timestamp,L:TO3IN,L:TO3IN Timestamp,L:TO5OUT,L:TO5OUT Timestamp,L:D7LMSM,L:D7LMSM Timestamp,L:D00LM,L:D00LM Timestamp,L:D11LM,L:D11LM Timestamp,L:D12LM,L:D12LM Timestamp,L:D13LM,L:D13LM Timestamp,L:D14LM,L:D14LM Timestamp,L:D21LM,L:D21LM Timestamp,L:D22LM,L:D22LM Timestamp,L:D23LM,L:D23LM Timestamp,L:D24LM,L:D24LM Timestamp,L:D31LM,L:D31LM Timestamp,L:D32LM,L:D32LM Timestamp,L:D33LM,L:D33LM Timestamp,L:D34LM,L:D34LM Timestamp,L:D41LM,L:D41LM Timestamp,L:D42LM,L:D42LM Timestamp,L:D43LM,L:D43LM Timestamp,L:D44LM,L:D44LM Timestamp,L:D51LM,L:D51LM Timestamp,L:D52LM,L:D52LM Timestamp,L:D53LM,L:D53LM Timestamp,L:D54LM,L:D54LM Timestamp,L:D61LM,L:D61LM Timestamp,L:D62LM,L:D62LM Timestamp,L:D63LM,L:D63LM Timestamp,L:D64LM,L:D64LM Timestamp,L:D71LM,L:D71LM Timestamp,L:D72LM,L:D72LM Timestamp,L:D73LM,L:D73LM Timestamp,L:D74LM,L:D74LM Timestamp,L:RFBPAH,L:RFBPAH Timestamp,L:TO1IN,L:TO1IN Timestamp,L:V5QSET,L:V5QSET Timestamp
0,168.511962890625,2021-11-30 22:48:05.721000+00:00,23.933252402691377,2021-11-30 22:48:05.721000+00:00,24.956619229418337,2021-11-30 22:48:05.721000+00:00,24.408979813855773,2021-11-30 22:48:05.721000+00:00,13.76953125,2021-11-30 22:48:05.721000+00:00,0.4119873046875,2021-11-30 22:48:05.721000+00:00,0.1953125,2021-11-30 22:48:05.721000+00:00,0.1129150390625,2021-11-30 22:48:05.721000+00:00,0.1068115234375,2021-11-30 22:48:05.721000+00:00,2.6153564453125,2021-11-30 22:48:05.721000+00:00,1.177978515625,2021-11-30 22:48:05.721000+00:00,-0.0213623046875,2021-11-30 22:48:05.721000+00:00,0.0946044921875,2021-11-30 22:48:05.721000+00:00,0.384521484375,2021-11-30 22:48:05.721000+00:00,1.0711669921875,2021-11-30 22:48:05.721000+00:00,-0.0152587890625,2021-11-30 22:48:05.721000+00:00,1.104736328125,2021-11-30 22:48:05.721000+00:00,0.8056640625,2021-11-30 22:48:05.721000+00:00,0.1129150390625,2021-11-30 22:48:05.721000+00:00,-0.15869140625,2021-11-30 22:48:05.721000+00:00,0.64697265625,2021-11-30 22:48:05.721000+00:00,-0.2288818359375,2021-11-30 22:48:05.721000+00:00,0.08544921875,2021-11-30 22:48:05.721000+00:00,-0.079345703125,2021-11-30 22:48:05.721000+00:00,0.421142578125,2021-11-30 22:48:05.721000+00:00,0.787353515625,2021-11-30 22:48:05.721000+00:00,-0.018310546875,2021-11-30 22:48:05.721000+00:00,0.115966796875,2021-11-30 22:48:05.721000+00:00,-0.0030517578125,2021-11-30 22:48:05.721000+00:00,0.628662109375,2021-11-30 22:48:05.721000+00:00,0.341796875,2021-11-30 22:48:05.721000+00:00,0.3662109375,2021-11-30 22:48:05.721000+00:00,-0.0457763671875,2021-11-30 22:48:05.721000+00:00,-0.0823974609375,2021-11-30 22:48:05.721000+00:00,229.052734375,2021-11-30 22:48:05.721000+00:00,26.234578466185912,2021-11-30 22:48:05.721000+00:00,-32.19999694824219,2021-11-30 22:48:05.722000+00:00
1,168.511962890625,2021-11-30 22:48:05.788000+00:00,24.19752362480512,2021-11-30 22:48:05.788000+00:00,25.130224796967774,2021-11-30 22:48:05.788000+00:00,24.646914023726072,2021-11-30 22:48:05.788000+00:00,14.892578125,2021-11-30 22:48:05.788000+00:00,0.30517578125,2021-11-30 22:48:05.788000+00:00,0.335693359375,2021-11-30 22:48:05.788000+00:00,-0.0030517578125,2021-11-30 22:48:05.788000+00:00,0.0091552734375,2021-11-30 22:48:05.788000+00:00,2.55126953125,2021-11-30 22:48:05.788000+00:00,1.0894775390625,2021-11-30 22:48:05.788000+00:00,0.0579833984375,2021-11-30 22:48:05.788000+00:00,0.1007080078125,2021-11-30 22:48:05.788000+00:00,0.592041015625,2021-11-30 22:48:05.788000+00:00,0.7843017578125,2021-11-30 22:48:05.788000+00:00,0.06103515625,2021-11-30 22:48:05.788000+00:00,1.08642578125,2021-11-30 22:48:05.788000+00:00,0.9307861328125,2021-11-30 22:48:05.788000+00:00,-0.128173828125,2021-11-30 22:48:05.788000+00:00,0.262451171875,2021-11-30 22:48:05.788000+00:00,0.8209228515625,2021-11-30 22:48:05.788000+00:00,0.0885009765625,2021-11-30 22:48:05.788000+00:00,-0.0518798828125,2021-11-30 22:48:05.788000+00:00,0.0030517578125,2021-11-30 22:48:05.788000+00:00,0.4180908203125,2021-11-30 22:48:05.788000+00:00,0.9185791015625,2021-11-30 22:48:05.788000+00:00,0.0396728515625,2021-11-30 22:48:05.788000+00:00,0.2288818359375,2021-11-30 22:48:05.788000+00:00,-0.177001953125,2021-11-30 22:48:05.788000+00:00,0.8514404296875,2021-11-30 22:48:05.788000+00:00,0.3753662109375,2021-11-30 22:48:05.788000+00:00,0.5706787109375,2021-11-30 22:48:05.788000+00:00,-0.3204345703125,2021-11-30 22:48:05.788000+00:00,-0.042724609375,2021-11-30 22:48:05.788000+00:00,229.0283203125,2021-11-30 22:48:05.788000+00:00,26.449897356892087,2021-11-30 22:48:05.788000+00:00,-31.0,2021-11-30 22:48:05.789000+00:00
2,168.511962890625,2021-11-30 22:48:05.855000+00:00,24.097282816417145,2021-11-30 22:48:05.855000+00:00,25.074539992282105,2021-11-30 22:48:05.855000+00:00,24.55327539919647,2021-11-30 22:48:05.855000+00:00,13.34228515625,2021-11-30 22:48:05.855000+00:00,0.274658203125,2021-11-30 22:48:05.855000+00:00,0.244140625,2021-11-30 22:48:05.855000+00:00,0.1190185546875,2021-11-30 22:48:05.855000+00:00,0.0091552734375,2021-11-30 22:48:05.855000+00:00,2.4810791015625,2021-11-30 22:48:05.855000+00:00,1.1749267578125,2021-11-30 22:48:05.855000+00:00,-0.115966796875,2021-11-30 22:48:05.855000+00:00,0.13427734375,2021-11-30 22:48:05.855000+00:00,0.537109375,2021-11-30 22:48:05.855000+00:00,0.5157470703125,2021-11-30 22:48:05.855000+00:00,0.018310546875,2021-11-30 22:48:05.855000+00:00,1.0040283203125,2021-11-30 22:48:05.855000+00:00,1.0406494140625,2021-11-30 22:48:05.855000+00:00,-0.067138671875,2021-11-30 22:48:05.855000+00:00,0.0823974609375,2021-11-30 22:48:05.855000+00:00,0.689697265625,2021-11-30 22:48:05.855000+00:00,0.048828125,2021-11-30 22:48:05.855000+00:00,0.0732421875,2021-11-30 22:48:05.855000+00:00,0.054931640625,2021-11-30 22:48:05.855000+00:00,0.4791259765625,2021-11-30 22:48:05.855000+00:00,0.689697265625,2021-11-30 22:48:05.855000+00:00,0.0335693359375,2021-11-30 22:48:05.855000+00:00,0.1800537109375,2021-11-30 22:48:05.855000+00:00,-0.103759765625,2021-11-30 22:48:05.855000+00:00,0.7965087890625,2021-11-30 22:48:05.855000+00:00,0.1953125,2021-11-30 22:48:05.855000+00:00,0.3997802734375,2021-11-30 22:48:05.855000+00:00,-0.128173828125,2021-11-30 22:48:05.855000+00:00,-0.03662109375,2021-11-30 22:48:05.855000+00:00,229.0771484375,2021-11-30 22:48:05.855000+00:00,26.39060664785705,2021-11-30 22:48:05.855000+00:00,-31.049999237060547,2021-11-30 22:48:05.855000+00:00
3,168.511962890625,2021-11-30 22:48:05.921000+00:00,24.030455610825168,2021-11-30 22:48:05.921000+00:00,25.29727921102478,2021-11-30 22:48:05.921000+00:00,24.76971877720752,2021-11-30 22:48:05.921000+00:00,38.97705078125,2021-11-30 22:48:05.921000+00:00,0.3753662109375,2021-11-30 22:48:05.921000+00:00,0.3692626953125,2021-11-30 22:48:05.921000+00:00,0.067138671875,2021-11-30 22:48:05.921000+00:00,0.03662109375,2021-11-30 22:48:05.921000+00:00,5.0537109375,2021-11-30 22:48:05.921000+00:00,2.11181640625,2021-11-30 22:48:05.921000+00:00,0.030517578125,2021-11-30 22:48:05.921000+00:00,0.018310546875,2021-11-30 22:48:05.921000+00:00,1.8218994140625,2021-11-30 22:48:05.921000+00:00,2.4169921875,2021-11-30 22:48:05.921000+00:00,0.0030517578125,2021-11-30 22:48:05.921000+00:00,0.4150390625,2021-11-30 22:48:05.921000+00:00,9.4085693359375,2021-11-30 22:48:05.921000+00:00,0.1800537109375,2021-11-30 22:48:05.921000+00:00,0.1708984375,2021-11-30 22:48:05.921000+00:00,0.213623046875,2021-11-30 22:48:05.921000+00:00,0.2777099609375,2021-11-30 22:48:05.921000+00:00,1.59912109375,2021-11-30 22:48:05.921000+00:00,-0.189208984375,2021-11-30 22:48:05.921000+00:00,2.105712890625,2021-11-30 22:48:05.921000+00:00,1.6845703125,2021-11-30 22:48:05.921000+00:00,0.06103515625,2021-11-30 22:48:05.921000+00:00,0.0823974609375,2021-11-30 22:48:05.921000+00:00,0.0030517578125,2021-11-30 22:48:05.921000+00:00,0.408935546875,2021-11-30 22:48:05.921000+00:00,0.1556396484375,2021-11-30 22:48:05.921000+00:00,3.0059814453125,2021-11-30 22:48:05.921000+00:00,-0.0946044921875,2021-11-30 22:48:05.921000+00:00,-0.048828125,2021-11-30 22:48:05.921000+00:00,229.01611328125,2021-11-30 22:48:05.921000+00:00,26.624648920363768,2021-11-30 22:48:05.921000+00:00,-31.099998474121094,2021-11-30 22:48:05.922000+00:00
4,168.511962890625,2021-11-30 22:48:05.988000+00:00,23.684169181848542,2021-11-30 22:48:05.988000+00:00,24.98282384338806,2021-11-30 22:48:05.988000+00:00,24.456566655829832,2021-11-30 22:48:05.988000+00:00,40.51513671875,2021-11-30 22:48:05.988000+00:00,0.250244140625,2021-11-30 22:48:05.988000+00:00,0.250244140625,2021-11-30 22:48:05.988000+00:00,0.13427734375,2021-11-30 22:48:05.988000+00:00,-0.0396728515625,2021-11-30 22:48:05.988000+00:00,5.1788330078125,2021-11-30 22:48:05.988000+00:00,1.824951171875,2021-11-30 22:48:05.988000+00:00,0.3753662109375,2021-11-30 22:48:05.988000+00:00,0.103759765625,2021-11-30 22:48:05.988000+00:00,1.824951171875,2021-11-30 22:48:05.988000+00:00,2.6702880859375,2021-11-30 22:48:05.988000+00:00,0.0396728515625,2021-11-30 22:48:05.988000+00:00,0.1617431640625,2021-11-30 22:48:05.988000+00:00,9.7198486328125,2021-11-30 22:48:05.988000+00:00,-0.2716064453125,2021-11-30 22:48:05.988000+00:00,0.0457763671875,2021-11-30 22:48:05.988000+00:00,-0.189208984375,2021-11-30 22:48:05.988000+00:00,0.335693359375,2021-11-30 22:48:05.988000+00:00,1.7730712890625,2021-11-30 22:48:05.988000+00:00,-0.1373291015625,2021-11-30 22:48:05.988000+00:00,2.264404296875,2021-11-30 22:48:05.988000+00:00,2.0477294921875,2021-11-30 22:48:05.988000+00:00,0.030517578125,2021-11-30 22:48:05.988000+00:00,-0.0885009765625,2021-11-30 22:48:05.988000+00:00,0.0396728515625,2021-11-30 22:48:05.988000+00:00,0.5859375,2021-11-30 22:48:05.988000+00:00,0.286865234375,2021-11-30 22:48:05.988000+00:00,3.7322998046875,2021-11-30 22:48:05.988000+00:00,-0.054931640625,2021-11-30 22:48:05.988000+00:00,-0.1190185546875,2021-11-30 22:48:05.988000+00:00,228.9794921875,2021-11-30 22:48:05.988000+00:00,26.259542975253293,2021-11-30 22:48:05.988000+00:00,-31.14999771118164,2021-11-30 22:48:05.989000+00:00
5,168.511962890625,2021-11-30 22:48:06.055000+00:00,24.01223000930008,2021-11-30 22:48:06.055000+00:00,25.300554787770995,2021-11-30 22:48:06.055000+00:00,24.712921578722348,2021-11-30 22:48:06.055000+00:00,35.235595703125,2021-11-30 22:48:06.055000+00:00,0.3997802734375,2021-11-30 22:48:06.055000+00:00,0.335693359375,2021-11-30 22:48:06.055000+00:00,0.3173828125,2021-11-30 22:48:06.055000+00:00,0.1495361328125,2021-11-30 22:48:06.055000+00:00,4.6844482421875,2021-11-30 22:48:06.055000+00:00,2.0294189453125,2021-11-30 22:48:06.055000+00:00,-0.09765625,2021-11-30 22:48:06.055000+00:00,0.4669189453125,2021-11-30 22:48:06.055000+00:00,1.64794921875,2021-11-30 22:48:06.055000+00:00,3.0181884765625,2021-11-30 22:48:06.055000+00:00,0.0091552734375,2021-11-30 22:48:06.055000+00:00,0.3631591796875,2021-11-30 22:48:06.055000+00:00,7.4951171875,2021-11-30 22:48:06.055000+00:00,-0.03662109375,2021-11-30 22:48:06.055000+00:00,0.1007080078125,2021-11-30 22:48:06.055000+00:00,0.23193359375,2021-11-30 22:48:06.055000+00:00,0.238037109375,2021-11-30 22:48:06.055000+00:00,1.287841796875,2021-11-30 22:48:06.055000+00:00,-0.042724609375,2021-11-30 22:48:06.055000+00:00,1.6021728515625,2021-11-30 22:48:06.055000+00:00,1.4556884765625,2021-11-30 22:48:06.055000+00:00,0.0701904296875,2021-11-30 22:48:06.055000+00:00,0.0701904296875,2021-11-30 22:48:06.055000+00:00,0.0152587890625,2021-11-30 22:48:06.055000+00:00,0.579833984375,2021-11-30 22:48:06.055000+00:00,0.299072265625,2021-11-30 22:48:06.055000+00:00,1.85546875,2021-11-30 22:48:06.055000+00:00,-0.06103515625,2021-11-30 22:48:06.055000+00:00,-0.08544921875,2021-11-30 22:48:06.055000+00:00,229.052734375,2021-11-30 22:48:06.055000+00:00,26.577840465862423,2021-11-30 22:48:06.055000+00:00,-31.199996948242188,2021-11-30 22:48:06.055000+00:00
6,168.511962890625,2021-11-30 22:48:06.122000+00:00,24.158034821500763,2021-11-30 22:48:06.122000+00:00,25.379168629680176,2021-11-30 22:48:06.122000+00:00,24.869497639411197,2021-11-30 22:48:06.122000+00:00,31.585693359375,2021-11-30 22:48:06.122000+00:00,0.2471923828125,2021-11-30 22:48:06.122000+00:00,0.3753662109375,2021-11-30 22:48:06.122000+00:00,0.2593994140625,2021-11-30 22:48:06.122000+00:00,0.1495361328125,2021-11-30 22:48:06.122000+00:00,4.412841796875,2021-11-30 22:48:06.122000+00:00,1.971435546875,2021-11-30 22:48:06.122000+00:00,0.0213623046875,2021-11-30 22:48:06.122000+00:00,0.048828125,2021-11-30 22:48:06.122000+00:00,1.3092041015625,2021-11-30 22:48:06.122000+00:00,2.0843505859375,2021-11-30 22:48:06.122000+00:00,0.115966796875,2021-11-30 22:48:06.122000+00:00,0.1007080078125,2021-11-30 22:48:06.122000+00:00,7.177734375,2021-11-30 22:48:06.122000+00:00,-0.1068115234375,2021-11-30 22:48:06.122000+00:00,0.18310546875,2021-11-30 22:48:06.122000+00:00,0.238037109375,2021-11-30 22:48:06.122000+00:00,0.0244140625,2021-11-30 22:48:06.122000+00:00,1.11083984375,2021-11-30 22:48:06.122000+00:00,-0.1251220703125,2021-11-30 22:48:06.122000+00:00,1.5838623046875,2021-11-30 22:48:06.122000+00:00,1.3916015625,2021-11-30 22:48:06.122000+00:00,0.1220703125,2021-11-30 22:48:06.122000+00:00,0.0946044921875,2021-11-30 22:48:06.122000+00:00,0.0030517578125,2021-11-30 22:48:06.122000+00:00,0.7110595703125,2021-11-30 22:48:06.122000+00:00,0.4119873046875,2021-11-30 22:48:06.122000+00:00,1.5869140625,2021-11-30 22:48:06.122000+00:00,-0.128173828125,2021-11-30 22:48:06.122000+00:00,-0.1434326171875,2021-11-30 22:48:06.122000+00:00,229.01611328125,2021-11-30 22:48:06.122000+00:00,26.70266301119934,2021-11-30 22:48:06.122000+00:00,-31.24999618530273,2021-11-30 22:48:06.122000+00:00
7,168.511962890625,2021-11-30 22:48:06.188000+00:00,23.73580838616962,2021-11-30 22:48:06.188000+00:00,24.97299711314941,2021-11-30 22:48:06.188000+00:00,24.42433040804095,2021-11-30 22:48:06.188000+00:00,29.99267578125,2021-11-30 22:48:06.188000+00:00,0.323486328125,2021-11-30 22:48:06.188000+00:00,0.146484375,2021-11-30 22:48:06.188000+00:00,0.3082275390625,2021-11-30 22:48:06.188000+00:00,-0.164794921875,2021-11-30 22:48:06.188000+00:00,4.52880859375,2021-11-30 22:48:06.188000+00:00,1.8463134765625,2021-11-30 22:48:06.188000+00:00,-0.1190185546875,2021-11-30 22:48:06.188000+00:00,0.347900390625,2021-11-30 22:48:06.188000+00:00,1.593017578125,2021-11-30 22:48:06.188000+00:00,2.18505859375,2021-11-30 22:48:06.188000+00:00,0.2838134765625,2021-11-30 22:48:06.188000+00:00,0.25634765625,2021-11-30 22:48:06.188000+00:00,5.8837890625,2021-11-30 22:48:06.188000+00:00,-0.10986328125,2021-11-30 22:48:06.188000+00:00,0.433349609375,2021-11-30 22:48:06.188000+00:00,0.146484375,2021-11-30 22:48:06.188000+00:00,-0.048828125,2021-11-30 22:48:06.188000+00:00,1.043701171875,2021-11-30 22:48:06.188000+00:00,-0.10986328125,2021-11-30 22:48:06.188000+00:00,1.5655517578125,2021-11-30 22:48:06.188000+00:00,1.4984130859375,2021-11-30 22:48:06.188000+00:00,0.0030517578125,2021-11-30 22:48:06.188000+00:00,-0.01220703125,2021-11-30 22:48:06.188000+00:00,0.0,2021-11-30 22:48:06.188000+00:00,0.7110595703125,2021-11-30 22:48:06.188000+00:00,0.1800537109375,2021-11-30 22:48:06.188000+00:00,1.6510009765625,2021-11-30 22:48:06.188000+00:00,0.08544921875,2021-11-30 22:48:06.188000+00:00,-0.091552734375,2021-11-30 22:48:06.188000+00:00,229.04052734375,2021-11-30 22:48:06.188000+00:00,26.259542975253293,2021-11-30 22:48:06.188000+00:00,-31.29999542236328,2021-11-30 22:48:06.189000+00:00
8,168.511962890625,2021-11-30 22:48:06.255000+00:00,24.030455610825168,2021-11-30 22:48:06.255000+00:00,25.31693267150208,2021-11-30 22:48:06.255000+00:00,24.72980723232605,2021-11-30 22:48:06.255000+00:00,30.95703125,2021-11-30 22:48:06.255000+00:00,0.3692626953125,2021-11-30 22:48:06.255000+00:00,0.225830078125,2021-11-30 22:48:06.255000+00:00,0.0946044921875,2021-11-30 22:48:06.255000+00:00,0.0152587890625,2021-11-30 22:48:06.255000+00:00,4.510498046875,2021-11-30 22:48:06.255000+00:00,1.85546875,2021-11-30 22:48:06.255000+00:00,-0.048828125,2021-11-30 22:48:06.255000+00:00,-0.2166748046875,2021-11-30 22:48:06.255000+00:00,1.922607421875,2021-11-30 22:48:06.255000+00:00,2.6580810546875,2021-11-30 22:48:06.255000+00:00,-0.0274658203125,2021-11-30 22:48:06.255000+00:00,0.4364013671875,2021-11-30 22:48:06.255000+00:00,6.4849853515625,2021-11-30 22:48:06.255000+00:00,-0.054931640625,2021-11-30 22:48:06.255000+00:00,0.030517578125,2021-11-30 22:48:06.255000+00:00,-0.03662109375,2021-11-30 22:48:06.255000+00:00,0.09765625,2021-11-30 22:48:06.255000+00:00,1.1077880859375,2021-11-30 22:48:06.255000+00:00,0.018310546875,2021-11-30 22:48:06.255000+00:00,1.3031005859375,2021-11-30 22:48:06.255000+00:00,1.318359375,2021-11-30 22:48:06.255000+00:00,-0.0335693359375,2021-11-30 22:48:06.255000+00:00,0.1556396484375,2021-11-30 22:48:06.255000+00:00,0.244140625,2021-11-30 22:48:06.255000+00:00,0.555419921875,2021-11-30 22:48:06.255000+00:00,0.067138671875,2021-11-30 22:48:06.255000+00:00,1.40380859375,2021-11-30 22:48:06.255000+00:00,-0.1434326171875,2021-11-30 22:48:06.255000+00:00,-0.0274658203125,2021-11-30 22:48:06.255000+00:00,229.04052734375,2021-11-30 22:48:06.255000+00:00,26.55911708406189,2021-11-30 22:48:06.255000+00:00,-31.349994659423828,2021-11-30 22:48:06.255000+00:00
9,168.511962890625,2021-11-30 22:48:06.322000+00:00,24.17322282277167,2021-11-30 22:48:06.322000+00:00,25.421751127380983,2021-11-30 22:48:06.322000+00:00,24.88638329301489,2021-11-30 22:48:06.322000+00:00,28.765869140625,2021-11-30 22:48:06.322000+00:00,0.29296875,2021-11-30 22:48:06.322000+00:00,0.3265380859375,2021-11-30 22:48:06.322000+00:00,0.3143310546875,2021-11-30 22:48:06.322000+00:00,0.0762939453125,2021-11-30 22:48:06.322000+00:00,4.461669921875,2021-11-30 22:48:06.322000+00:00,2.081298828125,2021-11-30 22:48:06.322000+00:00,-0.042724609375,2021-11-30 22:48:06.322000+00:00,0.018310546875,2021-11-30 22:48:06.322000+00:00,1.5625,2021-11-30 22:48:06.322000+00:00,2.3834228515625,2021-11-30 22:48:06.322000+00:00,0.3082275390625,2021-11-30 22:48:06.322000+00:00,0.3021240234375,2021-11-30 22:48:06.322000+00:00,5.377197265625,2021-11-30 22:48:06.322000+00:00,-0.03662109375,2021-11-30 22:48:06.322000+00:00,0.10986328125,2021-11-30 22:48:06.322000+00:00,0.067138671875,2021-11-30 22:48:06.322000+00:00,0.0732421875,2021-11-30 22:48:06.322000+00:00,0.64697265625,2021-11-30 22:48:06.322000+00:00,-0.030517578125,2021-11-30 22:48:06.322000+00:00,1.1871337890625,2021-11-30 22:48:06.322000+00:00,1.2664794921875,2021-11-30 22:48:06.322000+00:00,0.1251220703125,2021-11-30 22:48:06.322000+00:00,0.0701904296875,2021-11-30 22:48:06.322000+00:00,0.006103515625,2021-11-30 22:48:06.322000+00:00,0.5645751953125,2021-11-30 22:48:06.322000+00:00,0.2349853515625,2021-11-30 22:48:06.322000+00:00,1.171875,2021-11-30 22:48:06.322000+00:00,-0.23193359375,2021-11-30 22:48:06.322000+00:00,-0.1312255859375,2021-11-30 22:48:06.322000+00:00,229.06494140625,2021-11-30 22:48:06.322000+00:00,26.674577938498533,2021-11-30 22:48:06.322000+00:00,-31.39999389648437,2021-11-30 22:48:06.322000+00:00
