idx,L:TO5OUT,L:TO5OUT Timestamp,L:RFBPAH,L:RFBPAH Timestamp,L:TO1IN,L:TO1IN Timestamp,L:RFQPAH,L:RFQPAH Timestamp,L:TO3IN,L:TO3IN Timestamp,L:D7TOR,L:D7TOR Timestamp,L:D7LMSM,L:D7LMSM Timestamp,L:D00LM,L:D00LM Timestamp,L:D11LM,L:D11LM Timestamp,L:D12LM,L:D12LM Timestamp,L:D13LM,L:D13LM Timestamp,L:D14LM,L:D14LM Timestamp,L:D21LM,L:D21LM Timestamp,L:D22LM,L:D22LM Timestamp,L:D23LM,L:D23LM Timestamp,L:D24LM,L:D24LM Timestamp,L:D31LM,L:D31LM Timestamp,L:D32LM,L:D32LM Timestamp,L:D33LM,L:D33LM Timestamp,L:D34LM,L:D34LM Timestamp,L:D41LM,L:D41LM Timestamp,L:D42LM,L:D42LM Timestamp,L:D43LM,L:D43LM Timestamp,L:D44LM,L:D44LM Timestamp,L:D51LM,L:D51LM Timestamp,L:D52LM,L:D52LM Timestamp,L:D53LM,L:D53LM Timestamp,L:D54LM,L:D54LM Timestamp,L:D61LM,L:D61LM Timestamp,L:D62LM,L:D62LM Timestamp,L:D63LM,L:D63LM Timestamp,L:D64LM,L:D64LM Timestamp,L:D71LM,L:D71LM Timestamp,L:D72LM,L:D72LM Timestamp,L:D73LM,L:D73LM Timestamp,L:D74LM,L:D74LM Timestamp,L:V5QSET,L:V5QSET Timestamp
0,24.77585901488159,2021-12-20 22:31:37.118000+00:00,230.029296875,2021-12-20 22:31:37.118000+00:00,26.45925904779236,2021-12-20 22:31:37.118000+00:00,176.8310546875,2021-12-20 22:31:37.118000+00:00,25.349688438964236,2021-12-20 22:31:37.118000+00:00,24.31295243446399,2021-12-20 22:31:37.118000+00:00,12.68310546875,2021-12-20 22:31:37.118000+00:00,0.4180908203125,2021-12-20 22:31:37.118000+00:00,0.335693359375,2021-12-20 22:31:37.118000+00:00,0.1007080078125,2021-12-20 22:31:37.118000+00:00,-0.0732421875,2021-12-20 22:31:37.118000+00:00,1.3702392578125,2021-12-20 22:31:37.118000+00:00,1.1566162109375,2021-12-20 22:31:37.118000+00:00,0.018310546875,2021-12-20 22:31:37.118000+00:00,0.0396728515625,2021-12-20 22:31:37.118000+00:00,0.62255859375,2021-12-20 22:31:37.118000+00:00,0.8544921875,2021-12-20 22:31:37.118000+00:00,-0.18310546875,2021-12-20 22:31:37.118000+00:00,0.7049560546875,2021-12-20 22:31:37.118000+00:00,0.76904296875,2021-12-20 22:31:37.118000+00:00,0.06103515625,2021-12-20 22:31:37.118000+00:00,0.201416015625,2021-12-20 22:31:37.118000+00:00,0.537109375,2021-12-20 22:31:37.118000+00:00,0.2471923828125,2021-12-20 22:31:37.118000+00:00,0.5157470703125,2021-12-20 22:31:37.118000+00:00,-0.0732421875,2021-12-20 22:31:37.118000+00:00,0.1373291015625,2021-12-20 22:31:37.118000+00:00,0.20751953125,2021-12-20 22:31:37.118000+00:00,0.1953125,2021-12-20 22:31:37.118000+00:00,0.2166748046875,2021-12-20 22:31:37.118000+00:00,0.030517578125,2021-12-20 22:31:37.118000+00:00,0.994873046875,2021-12-20 22:31:37.118000+00:00,0.1220703125,2021-12-20 22:31:37.118000+00:00,0.439453125,2021-12-20 22:31:37.118000+00:00,-0.048828125,2021-12-20 22:31:37.118000+00:00,0.0732421875,2021-12-20 22:31:37.118000+00:00,-31.965028762817383,2021-12-20 22:31:37.118000+00:00
1,24.6238881324483,2021-12-20 22:31:37.184000+00:00,229.98046875,2021-12-20 22:31:37.184000+00:00,26.54039370226135,2021-12-20 22:31:37.184000+00:00,182.80029296875,2021-12-20 22:31:37.184000+00:00,25.156429410937506,2021-12-20 22:31:37.184000+00:00,24.249162829126192,2021-12-20 22:31:37.184000+00:00,10.467529296875,2021-12-20 22:31:37.184000+00:00,0.4486083984375,2021-12-20 22:31:37.184000+00:00,0.2899169921875,2021-12-20 22:31:37.184000+00:00,-0.0213623046875,2021-12-20 22:31:37.184000+00:00,0.0,2021-12-20 22:31:37.184000+00:00,1.385498046875,2021-12-20 22:31:37.184000+00:00,0.6103515625,2021-12-20 22:31:37.184000+00:00,0.2105712890625,2021-12-20 22:31:37.184000+00:00,-0.360107421875,2021-12-20 22:31:37.184000+00:00,0.3387451171875,2021-12-20 22:31:37.184000+00:00,0.7293701171875,2021-12-20 22:31:37.184000+00:00,-0.0762939453125,2021-12-20 22:31:37.184000+00:00,0.750732421875,2021-12-20 22:31:37.184000+00:00,0.653076171875,2021-12-20 22:31:37.184000+00:00,0.0701904296875,2021-12-20 22:31:37.184000+00:00,0.1312255859375,2021-12-20 22:31:37.184000+00:00,0.140380859375,2021-12-20 22:31:37.184000+00:00,0.1495361328125,2021-12-20 22:31:37.184000+00:00,0.189208984375,2021-12-20 22:31:37.184000+00:00,0.1068115234375,2021-12-20 22:31:37.184000+00:00,0.1251220703125,2021-12-20 22:31:37.184000+00:00,0.482177734375,2021-12-20 22:31:37.184000+00:00,-0.0274658203125,2021-12-20 22:31:37.184000+00:00,0.1129150390625,2021-12-20 22:31:37.184000+00:00,0.1251220703125,2021-12-20 22:31:37.184000+00:00,1.08642578125,2021-12-20 22:31:37.184000+00:00,0.030517578125,2021-12-20 22:31:37.184000+00:00,0.32958984375,2021-12-20 22:31:37.184000+00:00,0.0579833984375,2021-12-20 22:31:37.184000+00:00,0.1007080078125,2021-12-20 22:31:37.184000+00:00,-31.965028762817383,2021-12-20 22:31:37.185000+00:00
2,24.456566655829832,2021-12-20 22:31:37.251000+00:00,229.99267578125,2021-12-20 22:31:37.251000+00:00,26.412450593291016,2021-12-20 22:31:37.251000+00:00,182.70263671875,2021-12-20 22:31:37.251000+00:00,24.933690192194824,2021-12-20 22:31:37.251000+00:00,24.103358016925508,2021-12-20 22:31:37.251000+00:00,9.674072265625,2021-12-20 22:31:37.251000+00:00,0.3509521484375,2021-12-20 22:31:37.251000+00:00,0.3448486328125,2021-12-20 22:31:37.251000+00:00,0.0946044921875,2021-12-20 22:31:37.251000+00:00,0.0274658203125,2021-12-20 22:31:37.251000+00:00,1.202392578125,2021-12-20 22:31:37.251000+00:00,0.2197265625,2021-12-20 22:31:37.251000+00:00,0.1129150390625,2021-12-20 22:31:37.251000+00:00,-0.3265380859375,2021-12-20 22:31:37.251000+00:00,0.152587890625,2021-12-20 22:31:37.251000+00:00,0.78125,2021-12-20 22:31:37.251000+00:00,-0.0885009765625,2021-12-20 22:31:37.251000+00:00,0.8575439453125,2021-12-20 22:31:37.251000+00:00,0.7110595703125,2021-12-20 22:31:37.251000+00:00,0.0823974609375,2021-12-20 22:31:37.251000+00:00,0.1068115234375,2021-12-20 22:31:37.251000+00:00,0.408935546875,2021-12-20 22:31:37.251000+00:00,0.1068115234375,2021-12-20 22:31:37.251000+00:00,0.1373291015625,2021-12-20 22:31:37.251000+00:00,-0.0457763671875,2021-12-20 22:31:37.251000+00:00,0.1312255859375,2021-12-20 22:31:37.251000+00:00,0.1190185546875,2021-12-20 22:31:37.251000+00:00,-0.0579833984375,2021-12-20 22:31:37.251000+00:00,0.128173828125,2021-12-20 22:31:37.251000+00:00,0.1861572265625,2021-12-20 22:31:37.251000+00:00,0.9857177734375,2021-12-20 22:31:37.251000+00:00,-0.0152587890625,2021-12-20 22:31:37.251000+00:00,0.4791259765625,2021-12-20 22:31:37.251000+00:00,0.091552734375,2021-12-20 22:31:37.251000+00:00,0.054931640625,2021-12-20 22:31:37.251000+00:00,-31.965028762817383,2021-12-20 22:31:37.252000+00:00
3,24.54252998326685,2021-12-20 22:31:37.318000+00:00,230.0048828125,2021-12-20 22:31:37.318000+00:00,26.477982429592892,2021-12-20 22:31:37.318000+00:00,182.60498046875,2021-12-20 22:31:37.318000+00:00,25.13350037371399,2021-12-20 22:31:37.318000+00:00,24.04564361209607,2021-12-20 22:31:37.318000+00:00,11.03515625,2021-12-20 22:31:37.318000+00:00,0.433349609375,2021-12-20 22:31:37.318000+00:00,0.5767822265625,2021-12-20 22:31:37.318000+00:00,0.09765625,2021-12-20 22:31:37.318000+00:00,-0.0091552734375,2021-12-20 22:31:37.318000+00:00,1.3824462890625,2021-12-20 22:31:37.318000+00:00,0.81787109375,2021-12-20 22:31:37.318000+00:00,0.0885009765625,2021-12-20 22:31:37.318000+00:00,-0.42724609375,2021-12-20 22:31:37.318000+00:00,0.1953125,2021-12-20 22:31:37.318000+00:00,0.8392333984375,2021-12-20 22:31:37.318000+00:00,-0.0946044921875,2021-12-20 22:31:37.318000+00:00,0.982666015625,2021-12-20 22:31:37.318000+00:00,0.6072998046875,2021-12-20 22:31:37.318000+00:00,0.048828125,2021-12-20 22:31:37.318000+00:00,0.1953125,2021-12-20 22:31:37.318000+00:00,0.3326416015625,2021-12-20 22:31:37.318000+00:00,0.23193359375,2021-12-20 22:31:37.318000+00:00,0.2655029296875,2021-12-20 22:31:37.318000+00:00,0.1953125,2021-12-20 22:31:37.318000+00:00,0.0518798828125,2021-12-20 22:31:37.318000+00:00,0.4058837890625,2021-12-20 22:31:37.318000+00:00,-0.048828125,2021-12-20 22:31:37.318000+00:00,0.1373291015625,2021-12-20 22:31:37.318000+00:00,-0.01220703125,2021-12-20 22:31:37.318000+00:00,1.0498046875,2021-12-20 22:31:37.318000+00:00,-0.0457763671875,2021-12-20 22:31:37.318000+00:00,0.48828125,2021-12-20 22:31:37.318000+00:00,0.018310546875,2021-12-20 22:31:37.318000+00:00,0.079345703125,2021-12-20 22:31:37.318000+00:00,-31.965028762817383,2021-12-20 22:31:37.318000+00:00
4,24.06052132585217,2021-12-20 22:31:37.385000+00:00,229.94384765625,2021-12-20 22:31:37.385000+00:00,26.0005361936792,2021-12-20 22:31:37.385000+00:00,182.50732421875,2021-12-20 22:31:37.385000+00:00,24.694573089721068,2021-12-20 22:31:37.385000+00:00,23.65683077956092,2021-12-20 22:31:37.385000+00:00,11.737060546875,2021-12-20 22:31:37.385000+00:00,0.5218505859375,2021-12-20 22:31:37.385000+00:00,0.286865234375,2021-12-20 22:31:37.385000+00:00,0.1312255859375,2021-12-20 22:31:37.385000+00:00,-0.01220703125,2021-12-20 22:31:37.385000+00:00,1.4617919921875,2021-12-20 22:31:37.385000+00:00,0.5706787109375,2021-12-20 22:31:37.385000+00:00,0.0518798828125,2021-12-20 22:31:37.385000+00:00,-0.0152587890625,2021-12-20 22:31:37.385000+00:00,0.23193359375,2021-12-20 22:31:37.385000+00:00,0.927734375,2021-12-20 22:31:37.385000+00:00,-0.1953125,2021-12-20 22:31:37.385000+00:00,0.8819580078125,2021-12-20 22:31:37.385000+00:00,0.7110595703125,2021-12-20 22:31:37.385000+00:00,0.08544921875,2021-12-20 22:31:37.385000+00:00,0.244140625,2021-12-20 22:31:37.385000+00:00,0.50048828125,2021-12-20 22:31:37.385000+00:00,0.115966796875,2021-12-20 22:31:37.385000+00:00,0.2838134765625,2021-12-20 22:31:37.385000+00:00,0.1495361328125,2021-12-20 22:31:37.385000+00:00,0.201416015625,2021-12-20 22:31:37.385000+00:00,0.35400390625,2021-12-20 22:31:37.385000+00:00,0.042724609375,2021-12-20 22:31:37.385000+00:00,-0.08544921875,2021-12-20 22:31:37.385000+00:00,0.2349853515625,2021-12-20 22:31:37.385000+00:00,1.0986328125,2021-12-20 22:31:37.385000+00:00,0.10986328125,2021-12-20 22:31:37.385000+00:00,0.433349609375,2021-12-20 22:31:37.385000+00:00,0.06103515625,2021-12-20 22:31:37.385000+00:00,0.3143310546875,2021-12-20 22:31:37.385000+00:00,-31.965028762817383,2021-12-20 22:31:37.385000+00:00
5,24.318411308163206,2021-12-20 22:31:37.451000+00:00,229.96826171875,2021-12-20 22:31:37.451000+00:00,26.30635142975464,2021-12-20 22:31:37.451000+00:00,182.40966796875,2021-12-20 22:31:37.451000+00:00,24.959894806164552,2021-12-20 22:31:37.451000+00:00,23.930214802437195,2021-12-20 22:31:37.451000+00:00,11.199951171875,2021-12-20 22:31:37.451000+00:00,0.4241943359375,2021-12-20 22:31:37.451000+00:00,0.4547119140625,2021-12-20 22:31:37.451000+00:00,0.152587890625,2021-12-20 22:31:37.451000+00:00,-0.0396728515625,2021-12-20 22:31:37.451000+00:00,1.336669921875,2021-12-20 22:31:37.451000+00:00,0.7781982421875,2021-12-20 22:31:37.451000+00:00,0.1373291015625,2021-12-20 22:31:37.451000+00:00,-0.2655029296875,2021-12-20 22:31:37.451000+00:00,0.2471923828125,2021-12-20 22:31:37.451000+00:00,1.0894775390625,2021-12-20 22:31:37.451000+00:00,0.06103515625,2021-12-20 22:31:37.451000+00:00,0.7537841796875,2021-12-20 22:31:37.451000+00:00,0.6988525390625,2021-12-20 22:31:37.451000+00:00,0.067138671875,2021-12-20 22:31:37.451000+00:00,-0.0213623046875,2021-12-20 22:31:37.451000+00:00,0.396728515625,2021-12-20 22:31:37.451000+00:00,0.2044677734375,2021-12-20 22:31:37.451000+00:00,0.1739501953125,2021-12-20 22:31:37.451000+00:00,0.213623046875,2021-12-20 22:31:37.451000+00:00,0.0885009765625,2021-12-20 22:31:37.451000+00:00,0.1678466796875,2021-12-20 22:31:37.451000+00:00,-0.0152587890625,2021-12-20 22:31:37.451000+00:00,0.1434326171875,2021-12-20 22:31:37.451000+00:00,-0.018310546875,2021-12-20 22:31:37.451000+00:00,0.9002685546875,2021-12-20 22:31:37.451000+00:00,0.1007080078125,2021-12-20 22:31:37.451000+00:00,0.54931640625,2021-12-20 22:31:37.451000+00:00,0.0213623046875,2021-12-20 22:31:37.451000+00:00,0.006103515625,2021-12-20 22:31:37.451000+00:00,-31.965028762817383,2021-12-20 22:31:37.452000+00:00
6,24.46577701234094,2021-12-20 22:31:37.518000+00:00,229.98046875,2021-12-20 22:31:37.518000+00:00,26.37500382968994,2021-12-20 22:31:37.518000+00:00,182.31201171875,2021-12-20 22:31:37.518000+00:00,24.995926150372924,2021-12-20 22:31:37.518000+00:00,24.555960454798463,2021-12-20 22:31:37.518000+00:00,11.58447265625,2021-12-20 22:31:37.518000+00:00,0.5859375,2021-12-20 22:31:37.518000+00:00,0.3448486328125,2021-12-20 22:31:37.518000+00:00,0.115966796875,2021-12-20 22:31:37.518000+00:00,-0.08544921875,2021-12-20 22:31:37.518000+00:00,1.3824462890625,2021-12-20 22:31:37.518000+00:00,0.8453369140625,2021-12-20 22:31:37.518000+00:00,0.115966796875,2021-12-20 22:31:37.518000+00:00,-0.3387451171875,2021-12-20 22:31:37.518000+00:00,0.1068115234375,2021-12-20 22:31:37.518000+00:00,0.8697509765625,2021-12-20 22:31:37.518000+00:00,-0.115966796875,2021-12-20 22:31:37.518000+00:00,0.921630859375,2021-12-20 22:31:37.518000+00:00,0.7110595703125,2021-12-20 22:31:37.518000+00:00,0.091552734375,2021-12-20 22:31:37.518000+00:00,0.1220703125,2021-12-20 22:31:37.518000+00:00,0.4669189453125,2021-12-20 22:31:37.518000+00:00,0.2410888671875,2021-12-20 22:31:37.518000+00:00,0.2105712890625,2021-12-20 22:31:37.518000+00:00,-0.0274658203125,2021-12-20 22:31:37.518000+00:00,0.2593994140625,2021-12-20 22:31:37.518000+00:00,0.3448486328125,2021-12-20 22:31:37.518000+00:00,-0.0396728515625,2021-12-20 22:31:37.518000+00:00,0.250244140625,2021-12-20 22:31:37.518000+00:00,0.1739501953125,2021-12-20 22:31:37.518000+00:00,0.8575439453125,2021-12-20 22:31:37.518000+00:00,0.1373291015625,2021-12-20 22:31:37.518000+00:00,0.4486083984375,2021-12-20 22:31:37.518000+00:00,-0.03662109375,2021-12-20 22:31:37.518000+00:00,0.0457763671875,2021-12-20 22:31:37.518000+00:00,-31.965028762817383,2021-12-20 22:31:37.518000+00:00
7,23.992978711437377,2021-12-20 22:31:37.585000+00:00,230.01708984375,2021-12-20 22:31:37.585000+00:00,25.856990266541747,2021-12-20 22:31:37.585000+00:00,182.21435546875,2021-12-20 22:31:37.585000+00:00,24.5766523268573,2021-12-20 22:31:37.585000+00:00,23.517101167868592,2021-12-20 22:31:37.585000+00:00,11.883544921875,2021-12-20 22:31:37.585000+00:00,0.4058837890625,2021-12-20 22:31:37.585000+00:00,0.40283203125,2021-12-20 22:31:37.585000+00:00,0.1708984375,2021-12-20 22:31:37.585000+00:00,-0.030517578125,2021-12-20 22:31:37.585000+00:00,1.214599609375,2021-12-20 22:31:37.585000+00:00,0.8056640625,2021-12-20 22:31:37.585000+00:00,0.201416015625,2021-12-20 22:31:37.585000+00:00,-0.3692626953125,2021-12-20 22:31:37.585000+00:00,0.25634765625,2021-12-20 22:31:37.585000+00:00,0.8575439453125,2021-12-20 22:31:37.585000+00:00,-0.1068115234375,2021-12-20 22:31:37.585000+00:00,0.9613037109375,2021-12-20 22:31:37.585000+00:00,0.7537841796875,2021-12-20 22:31:37.585000+00:00,0.13427734375,2021-12-20 22:31:37.585000+00:00,0.1953125,2021-12-20 22:31:37.585000+00:00,0.42724609375,2021-12-20 22:31:37.585000+00:00,0.1190185546875,2021-12-20 22:31:37.585000+00:00,0.0885009765625,2021-12-20 22:31:37.585000+00:00,0.091552734375,2021-12-20 22:31:37.585000+00:00,0.2593994140625,2021-12-20 22:31:37.585000+00:00,0.323486328125,2021-12-20 22:31:37.585000+00:00,0.06103515625,2021-12-20 22:31:37.585000+00:00,0.10986328125,2021-12-20 22:31:37.585000+00:00,0.0457763671875,2021-12-20 22:31:37.585000+00:00,1.0650634765625,2021-12-20 22:31:37.585000+00:00,0.15869140625,2021-12-20 22:31:37.585000+00:00,0.62255859375,2021-12-20 22:31:37.585000+00:00,-0.0152587890625,2021-12-20 22:31:37.585000+00:00,0.018310546875,2021-12-20 22:31:37.585000+00:00,-31.965028762817383,2021-12-20 22:31:37.585000+00:00
8,24.50568855722241,2021-12-20 22:31:37.651000+00:00,230.0537109375,2021-12-20 22:31:37.651000+00:00,26.36564213878967,2021-12-20 22:31:37.651000+00:00,182.11669921875,2021-12-20 22:31:37.651000+00:00,25.081091145774536,2021-12-20 22:31:37.651000+00:00,24.072982014383697,2021-12-20 22:31:37.651000+00:00,12.8662109375,2021-12-20 22:31:37.651000+00:00,0.5218505859375,2021-12-20 22:31:37.651000+00:00,0.4302978515625,2021-12-20 22:31:37.651000+00:00,0.0885009765625,2021-12-20 22:31:37.651000+00:00,-0.0518798828125,2021-12-20 22:31:37.651000+00:00,1.3641357421875,2021-12-20 22:31:37.651000+00:00,0.8087158203125,2021-12-20 22:31:37.651000+00:00,0.06103515625,2021-12-20 22:31:37.651000+00:00,0.1068115234375,2021-12-20 22:31:37.651000+00:00,0.2166748046875,2021-12-20 22:31:37.651000+00:00,0.9307861328125,2021-12-20 22:31:37.651000+00:00,0.13427734375,2021-12-20 22:31:37.651000+00:00,1.1077880859375,2021-12-20 22:31:37.651000+00:00,0.732421875,2021-12-20 22:31:37.651000+00:00,0.0762939453125,2021-12-20 22:31:37.651000+00:00,0.1220703125,2021-12-20 22:31:37.651000+00:00,0.4486083984375,2021-12-20 22:31:37.651000+00:00,0.0762939453125,2021-12-20 22:31:37.651000+00:00,0.0518798828125,2021-12-20 22:31:37.651000+00:00,-0.0091552734375,2021-12-20 22:31:37.651000+00:00,0.103759765625,2021-12-20 22:31:37.651000+00:00,0.3265380859375,2021-12-20 22:31:37.651000+00:00,-0.0457763671875,2021-12-20 22:31:37.651000+00:00,0.140380859375,2021-12-20 22:31:37.651000+00:00,0.08544921875,2021-12-20 22:31:37.651000+00:00,1.33056640625,2021-12-20 22:31:37.651000+00:00,0.0457763671875,2021-12-20 22:31:37.651000+00:00,0.677490234375,2021-12-20 22:31:37.651000+00:00,0.0732421875,2021-12-20 22:31:37.651000+00:00,0.13427734375,2021-12-20 22:31:37.651000+00:00,-31.965028762817383,2021-12-20 22:31:37.652000+00:00
9,24.59779212233349,2021-12-20 22:31:37.718000+00:00,229.931640625,2021-12-20 22:31:37.718000+00:00,26.443656229625244,2021-12-20 22:31:37.718000+00:00,182.01904296875,2021-12-20 22:31:37.718000+00:00,25.225216522608036,2021-12-20 22:31:37.718000+00:00,24.161072421754945,2021-12-20 22:31:37.718000+00:00,11.346435546875,2021-12-20 22:31:37.718000+00:00,0.3631591796875,2021-12-20 22:31:37.718000+00:00,0.3875732421875,2021-12-20 22:31:37.718000+00:00,0.128173828125,2021-12-20 22:31:37.718000+00:00,-0.0030517578125,2021-12-20 22:31:37.718000+00:00,1.2176513671875,2021-12-20 22:31:37.718000+00:00,0.7781982421875,2021-12-20 22:31:37.718000+00:00,0.2471923828125,2021-12-20 22:31:37.718000+00:00,-0.2655029296875,2021-12-20 22:31:37.718000+00:00,0.2227783203125,2021-12-20 22:31:37.718000+00:00,0.634765625,2021-12-20 22:31:37.718000+00:00,0.0152587890625,2021-12-20 22:31:37.718000+00:00,0.750732421875,2021-12-20 22:31:37.718000+00:00,0.6317138671875,2021-12-20 22:31:37.718000+00:00,0.0213623046875,2021-12-20 22:31:37.718000+00:00,0.286865234375,2021-12-20 22:31:37.718000+00:00,0.57373046875,2021-12-20 22:31:37.718000+00:00,0.1434326171875,2021-12-20 22:31:37.718000+00:00,0.2471923828125,2021-12-20 22:31:37.718000+00:00,0.0518798828125,2021-12-20 22:31:37.718000+00:00,0.1861572265625,2021-12-20 22:31:37.718000+00:00,0.433349609375,2021-12-20 22:31:37.718000+00:00,-0.0762939453125,2021-12-20 22:31:37.718000+00:00,0.213623046875,2021-12-20 22:31:37.718000+00:00,0.103759765625,2021-12-20 22:31:37.718000+00:00,1.11083984375,2021-12-20 22:31:37.718000+00:00,0.1617431640625,2021-12-20 22:31:37.718000+00:00,0.3997802734375,2021-12-20 22:31:37.718000+00:00,-0.042724609375,2021-12-20 22:31:37.718000+00:00,-0.0030517578125,2021-12-20 22:31:37.718000+00:00,-31.965028762817383,2021-12-20 22:31:37.719000+00:00
