idx,L:RFQPAH,L:RFQPAH Timestamp,L:RFBPAH,L:RFBPAH Timestamp,L:TO1IN,L:TO1IN Timestamp,L:TO3IN,L:TO3IN Timestamp,L:D7LMSM,L:D7LMSM Timestamp,L:D00LM,L:D00LM Timestamp,L:D11LM,L:D11LM Timestamp,L:D12LM,L:D12LM Timestamp,L:D13LM,L:D13LM Timestamp,L:D14LM,L:D14LM Timestamp,L:D21LM,L:D21LM Timestamp,L:D22LM,L:D22LM Timestamp,L:D23LM,L:D23LM Timestamp,L:D24LM,L:D24LM Timestamp,L:D31LM,L:D31LM Timestamp,L:D32LM,L:D32LM Timestamp,L:D33LM,L:D33LM Timestamp,L:D34LM,L:D34LM Timestamp,L:D41LM,L:D41LM Timestamp,L:D42LM,L:D42LM Timestamp,L:D43LM,L:D43LM Timestamp,L:D44LM,L:D44LM Timestamp,L:D51LM,L:D51LM Timestamp,L:D52LM,L:D52LM Timestamp,L:D53LM,L:D53LM Timestamp,L:D54LM,L:D54LM Timestamp,L:D61LM,L:D61LM Timestamp,L:D62LM,L:D62LM Timestamp,L:D63LM,L:D63LM Timestamp,L:D64LM,L:D64LM Timestamp,L:D71LM,L:D71LM Timestamp,L:D72LM,L:D72LM Timestamp,L:D73LM,L:D73LM Timestamp,L:D74LM,L:D74LM Timestamp,L:TO5OUT,L:TO5OUT Timestamp,L:D7TOR,L:D7TOR Timestamp,L:V5QSET,L:V5QSET Timestamp
0,176.8310546875,2021-12-20 22:20:46.964000+00:00,229.9560546875,2021-12-20 22:20:46.964000+00:00,26.290748611587524,2021-12-20 22:20:46.964000+00:00,25.20228748538452,2021-12-20 22:20:46.964000+00:00,10.943603515625,2021-12-20 22:20:46.964000+00:00,0.3326416015625,2021-12-20 22:20:46.964000+00:00,0.2105712890625,2021-12-20 22:20:46.964000+00:00,0.0701904296875,2021-12-20 22:20:46.964000+00:00,-0.0732421875,2021-12-20 22:20:46.964000+00:00,1.3336181640625,2021-12-20 22:20:46.964000+00:00,0.9246826171875,2021-12-20 22:20:46.964000+00:00,-0.1434326171875,2021-12-20 22:20:46.964000+00:00,0.634765625,2021-12-20 22:20:46.964000+00:00,0.35400390625,2021-12-20 22:20:46.964000+00:00,0.140380859375,2021-12-20 22:20:46.964000+00:00,-0.10986328125,2021-12-20 22:20:46.964000+00:00,0.68359375,2021-12-20 22:20:46.964000+00:00,0.714111328125,2021-12-20 22:20:46.964000+00:00,0.2655029296875,2021-12-20 22:20:46.964000+00:00,0.1190185546875,2021-12-20 22:20:46.964000+00:00,0.4852294921875,2021-12-20 22:20:46.964000+00:00,0.360107421875,2021-12-20 22:20:46.964000+00:00,0.067138671875,2021-12-20 22:20:46.964000+00:00,0.01220703125,2021-12-20 22:20:46.964000+00:00,-0.0274658203125,2021-12-20 22:20:46.964000+00:00,0.390625,2021-12-20 22:20:46.964000+00:00,-0.006103515625,2021-12-20 22:20:46.964000+00:00,0.341796875,2021-12-20 22:20:46.964000+00:00,0.0396728515625,2021-12-20 22:20:46.964000+00:00,1.1627197265625,2021-12-20 22:20:46.964000+00:00,0.2227783203125,2021-12-20 22:20:46.964000+00:00,0.6195068359375,2021-12-20 22:20:46.964000+00:00,0.0518798828125,2021-12-20 22:20:46.964000+00:00,0.2655029296875,2021-12-20 22:20:46.964000+00:00,24.628493310703856,2021-12-20 22:20:46.964000+00:00,24.24612522887201,2021-12-20 22:20:46.964000+00:00,-31.965028762817383,2021-12-20 22:20:46.965000+00:00
1,176.8310546875,2021-12-20 22:20:47.031000+00:00,229.96826171875,2021-12-20 22:20:47.031000+00:00,26.42805341145813,2021-12-20 22:20:47.031000+00:00,25.19573633189209,2021-12-20 22:20:47.031000+00:00,9.31396484375,2021-12-20 22:20:47.031000+00:00,0.2471923828125,2021-12-20 22:20:47.031000+00:00,0.213623046875,2021-12-20 22:20:47.031000+00:00,0.2838134765625,2021-12-20 22:20:47.031000+00:00,-0.0152587890625,2021-12-20 22:20:47.031000+00:00,1.116943359375,2021-12-20 22:20:47.031000+00:00,1.0986328125,2021-12-20 22:20:47.031000+00:00,-0.0701904296875,2021-12-20 22:20:47.031000+00:00,0.8209228515625,2021-12-20 22:20:47.031000+00:00,0.3662109375,2021-12-20 22:20:47.031000+00:00,0.140380859375,2021-12-20 22:20:47.031000+00:00,-0.1495361328125,2021-12-20 22:20:47.031000+00:00,0.50048828125,2021-12-20 22:20:47.031000+00:00,0.6927490234375,2021-12-20 22:20:47.031000+00:00,0.15869140625,2021-12-20 22:20:47.031000+00:00,0.0579833984375,2021-12-20 22:20:47.031000+00:00,0.421142578125,2021-12-20 22:20:47.031000+00:00,0.1434326171875,2021-12-20 22:20:47.031000+00:00,0.0030517578125,2021-12-20 22:20:47.031000+00:00,0.1251220703125,2021-12-20 22:20:47.031000+00:00,-0.0152587890625,2021-12-20 22:20:47.031000+00:00,0.3204345703125,2021-12-20 22:20:47.031000+00:00,-0.1220703125,2021-12-20 22:20:47.031000+00:00,0.0640869140625,2021-12-20 22:20:47.031000+00:00,0.360107421875,2021-12-20 22:20:47.031000+00:00,1.031494140625,2021-12-20 22:20:47.031000+00:00,0.0823974609375,2021-12-20 22:20:47.031000+00:00,0.3570556640625,2021-12-20 22:20:47.031000+00:00,0.0732421875,2021-12-20 22:20:47.031000+00:00,0.2227783203125,2021-12-20 22:20:47.031000+00:00,24.68068533093347,2021-12-20 22:20:47.031000+00:00,24.264350830397092,2021-12-20 22:20:47.031000+00:00,-30.96999931335449,2021-12-20 22:20:47.031000+00:00
2,176.8310546875,2021-12-20 22:20:47.098000+00:00,229.931640625,2021-12-20 22:20:47.098000+00:00,26.39372721149048,2021-12-20 22:20:47.098000+00:00,25.192460755145877,2021-12-20 22:20:47.098000+00:00,8.53271484375,2021-12-20 22:20:47.098000+00:00,0.2593994140625,2021-12-20 22:20:47.098000+00:00,0.28076171875,2021-12-20 22:20:47.098000+00:00,0.1739501953125,2021-12-20 22:20:47.098000+00:00,0.0274658203125,2021-12-20 22:20:47.098000+00:00,1.0223388671875,2021-12-20 22:20:47.098000+00:00,1.0345458984375,2021-12-20 22:20:47.098000+00:00,-0.1068115234375,2021-12-20 22:20:47.098000+00:00,0.6866455078125,2021-12-20 22:20:47.098000+00:00,0.3814697265625,2021-12-20 22:20:47.098000+00:00,0.13427734375,2021-12-20 22:20:47.098000+00:00,-0.13427734375,2021-12-20 22:20:47.098000+00:00,0.5706787109375,2021-12-20 22:20:47.098000+00:00,0.543212890625,2021-12-20 22:20:47.098000+00:00,0.18310546875,2021-12-20 22:20:47.098000+00:00,0.140380859375,2021-12-20 22:20:47.098000+00:00,0.37841796875,2021-12-20 22:20:47.098000+00:00,0.2166748046875,2021-12-20 22:20:47.098000+00:00,-0.0518798828125,2021-12-20 22:20:47.098000+00:00,0.1251220703125,2021-12-20 22:20:47.098000+00:00,-0.1800537109375,2021-12-20 22:20:47.098000+00:00,0.494384765625,2021-12-20 22:20:47.098000+00:00,-0.1190185546875,2021-12-20 22:20:47.098000+00:00,0.2197265625,2021-12-20 22:20:47.098000+00:00,-0.0396728515625,2021-12-20 22:20:47.098000+00:00,0.9063720703125,2021-12-20 22:20:47.098000+00:00,0.042724609375,2021-12-20 22:20:47.098000+00:00,0.177001953125,2021-12-20 22:20:47.098000+00:00,0.1312255859375,2021-12-20 22:20:47.098000+00:00,0.213623046875,2021-12-20 22:20:47.098000+00:00,24.63309848895941,2021-12-20 22:20:47.098000+00:00,24.227899627346925,2021-12-20 22:20:47.098000+00:00,-30.96999931335449,2021-12-20 22:20:47.098000+00:00
3,176.8310546875,2021-12-20 22:20:47.164000+00:00,229.96826171875,2021-12-20 22:20:47.164000+00:00,26.39996833875732,2021-12-20 22:20:47.164000+00:00,25.208838638876955,2021-12-20 22:20:47.164000+00:00,16.89453125,2021-12-20 22:20:47.164000+00:00,0.323486328125,2021-12-20 22:20:47.164000+00:00,0.3662109375,2021-12-20 22:20:47.164000+00:00,0.1739501953125,2021-12-20 22:20:47.164000+00:00,0.0152587890625,2021-12-20 22:20:47.164000+00:00,2.166748046875,2021-12-20 22:20:47.164000+00:00,1.4404296875,2021-12-20 22:20:47.164000+00:00,0.0,2021-12-20 22:20:47.164000+00:00,0.2105712890625,2021-12-20 22:20:47.164000+00:00,0.8453369140625,2021-12-20 22:20:47.164000+00:00,0.9002685546875,2021-12-20 22:20:47.164000+00:00,-0.177001953125,2021-12-20 22:20:47.164000+00:00,0.244140625,2021-12-20 22:20:47.164000+00:00,2.996826171875,2021-12-20 22:20:47.164000+00:00,0.115966796875,2021-12-20 22:20:47.164000+00:00,0.1556396484375,2021-12-20 22:20:47.164000+00:00,-0.140380859375,2021-12-20 22:20:47.164000+00:00,0.360107421875,2021-12-20 22:20:47.164000+00:00,0.433349609375,2021-12-20 22:20:47.164000+00:00,0.1312255859375,2021-12-20 22:20:47.164000+00:00,0.1678466796875,2021-12-20 22:20:47.164000+00:00,0.76904296875,2021-12-20 22:20:47.164000+00:00,-0.09765625,2021-12-20 22:20:47.164000+00:00,0.238037109375,2021-12-20 22:20:47.164000+00:00,0.1190185546875,2021-12-20 22:20:47.164000+00:00,0.8392333984375,2021-12-20 22:20:47.164000+00:00,0.164794921875,2021-12-20 22:20:47.164000+00:00,1.45263671875,2021-12-20 22:20:47.164000+00:00,0.0701904296875,2021-12-20 22:20:47.164000+00:00,0.146484375,2021-12-20 22:20:47.164000+00:00,24.745157826511228,2021-12-20 22:20:47.164000+00:00,24.261313230142918,2021-12-20 22:20:47.164000+00:00,-31.01999855041504,2021-12-20 22:20:47.165000+00:00
4,176.8310546875,2021-12-20 22:20:47.231000+00:00,229.9560546875,2021-12-20 22:20:47.231000+00:00,26.37188326605652,2021-12-20 22:20:47.231000+00:00,25.26779902030884,2021-12-20 22:20:47.231000+00:00,18.81103515625,2021-12-20 22:20:47.231000+00:00,0.2044677734375,2021-12-20 22:20:47.231000+00:00,0.274658203125,2021-12-20 22:20:47.231000+00:00,0.15869140625,2021-12-20 22:20:47.231000+00:00,-0.0213623046875,2021-12-20 22:20:47.231000+00:00,2.2674560546875,2021-12-20 22:20:47.231000+00:00,1.5838623046875,2021-12-20 22:20:47.231000+00:00,0.146484375,2021-12-20 22:20:47.231000+00:00,0.244140625,2021-12-20 22:20:47.231000+00:00,0.9307861328125,2021-12-20 22:20:47.231000+00:00,1.2176513671875,2021-12-20 22:20:47.231000+00:00,-0.0396728515625,2021-12-20 22:20:47.231000+00:00,0.2044677734375,2021-12-20 22:20:47.231000+00:00,3.5125732421875,2021-12-20 22:20:47.231000+00:00,0.2349853515625,2021-12-20 22:20:47.231000+00:00,0.0885009765625,2021-12-20 22:20:47.231000+00:00,0.0701904296875,2021-12-20 22:20:47.231000+00:00,0.29296875,2021-12-20 22:20:47.231000+00:00,0.5279541015625,2021-12-20 22:20:47.231000+00:00,-0.03662109375,2021-12-20 22:20:47.231000+00:00,0.2105712890625,2021-12-20 22:20:47.231000+00:00,0.6500244140625,2021-12-20 22:20:47.231000+00:00,-0.0152587890625,2021-12-20 22:20:47.231000+00:00,0.1800537109375,2021-12-20 22:20:47.231000+00:00,0.1922607421875,2021-12-20 22:20:47.231000+00:00,0.9033203125,2021-12-20 22:20:47.231000+00:00,0.09765625,2021-12-20 22:20:47.231000+00:00,1.7303466796875,2021-12-20 22:20:47.231000+00:00,0.03662109375,2021-12-20 22:20:47.231000+00:00,0.1739501953125,2021-12-20 22:20:47.231000+00:00,24.686825568607546,2021-12-20 22:20:47.231000+00:00,24.13980921997568,2021-12-20 22:20:47.231000+00:00,-31.069997787475582,2021-12-20 22:20:47.231000+00:00
5,176.8310546875,2021-12-20 22:20:47.298000+00:00,229.98046875,2021-12-20 22:20:47.298000+00:00,26.446776793258667,2021-12-20 22:20:47.298000+00:00,25.29072805753235,2021-12-20 22:20:47.298000+00:00,13.51318359375,2021-12-20 22:20:47.298000+00:00,0.15869140625,2021-12-20 22:20:47.298000+00:00,0.2838134765625,2021-12-20 22:20:47.298000+00:00,0.189208984375,2021-12-20 22:20:47.298000+00:00,0.042724609375,2021-12-20 22:20:47.298000+00:00,1.98974609375,2021-12-20 22:20:47.298000+00:00,1.1810302734375,2021-12-20 22:20:47.298000+00:00,-0.1373291015625,2021-12-20 22:20:47.298000+00:00,0.5889892578125,2021-12-20 22:20:47.298000+00:00,0.72021484375,2021-12-20 22:20:47.298000+00:00,0.7965087890625,2021-12-20 22:20:47.298000+00:00,-0.30517578125,2021-12-20 22:20:47.298000+00:00,0.286865234375,2021-12-20 22:20:47.298000+00:00,2.0538330078125,2021-12-20 22:20:47.298000+00:00,0.067138671875,2021-12-20 22:20:47.298000+00:00,0.079345703125,2021-12-20 22:20:47.298000+00:00,0.0335693359375,2021-12-20 22:20:47.298000+00:00,0.3631591796875,2021-12-20 22:20:47.298000+00:00,0.32958984375,2021-12-20 22:20:47.298000+00:00,-0.0274658203125,2021-12-20 22:20:47.298000+00:00,0.15869140625,2021-12-20 22:20:47.298000+00:00,0.5218505859375,2021-12-20 22:20:47.298000+00:00,-0.018310546875,2021-12-20 22:20:47.298000+00:00,0.4150390625,2021-12-20 22:20:47.298000+00:00,0.042724609375,2021-12-20 22:20:47.298000+00:00,0.7049560546875,2021-12-20 22:20:47.298000+00:00,0.1190185546875,2021-12-20 22:20:47.298000+00:00,0.921630859375,2021-12-20 22:20:47.298000+00:00,0.042724609375,2021-12-20 22:20:47.298000+00:00,0.1617431640625,2021-12-20 22:20:47.298000+00:00,24.685290509189024,2021-12-20 22:20:47.298000+00:00,24.258275629888736,2021-12-20 22:20:47.298000+00:00,-31.119997024536133,2021-12-20 22:20:47.298000+00:00
6,176.8310546875,2021-12-20 22:20:47.364000+00:00,229.9072265625,2021-12-20 22:20:47.364000+00:00,26.2876280479541,2021-12-20 22:20:47.364000+00:00,25.01885518759644,2021-12-20 22:20:47.364000+00:00,11.474609375,2021-12-20 22:20:47.364000+00:00,0.2471923828125,2021-12-20 22:20:47.364000+00:00,0.2655029296875,2021-12-20 22:20:47.364000+00:00,0.1922607421875,2021-12-20 22:20:47.364000+00:00,0.0885009765625,2021-12-20 22:20:47.364000+00:00,1.8280029296875,2021-12-20 22:20:47.364000+00:00,1.2359619140625,2021-12-20 22:20:47.364000+00:00,0.0579833984375,2021-12-20 22:20:47.364000+00:00,0.054931640625,2021-12-20 22:20:47.364000+00:00,0.6866455078125,2021-12-20 22:20:47.364000+00:00,0.6988525390625,2021-12-20 22:20:47.364000+00:00,-0.3387451171875,2021-12-20 22:20:47.364000+00:00,0.238037109375,2021-12-20 22:20:47.364000+00:00,1.6448974609375,2021-12-20 22:20:47.364000+00:00,0.10986328125,2021-12-20 22:20:47.364000+00:00,0.01220703125,2021-12-20 22:20:47.364000+00:00,0.06103515625,2021-12-20 22:20:47.364000+00:00,0.2227783203125,2021-12-20 22:20:47.364000+00:00,0.2593994140625,2021-12-20 22:20:47.364000+00:00,-0.01220703125,2021-12-20 22:20:47.364000+00:00,0.213623046875,2021-12-20 22:20:47.364000+00:00,0.4547119140625,2021-12-20 22:20:47.364000+00:00,-0.146484375,2021-12-20 22:20:47.364000+00:00,0.3448486328125,2021-12-20 22:20:47.364000+00:00,-0.030517578125,2021-12-20 22:20:47.364000+00:00,0.7049560546875,2021-12-20 22:20:47.364000+00:00,0.09765625,2021-12-20 22:20:47.364000+00:00,0.8453369140625,2021-12-20 22:20:47.364000+00:00,0.140380859375,2021-12-20 22:20:47.364000+00:00,0.152587890625,2021-12-20 22:20:47.364000+00:00,24.513363854315,2021-12-20 22:20:47.364000+00:00,24.07601961463788,2021-12-20 22:20:47.364000+00:00,-31.16999626159668,2021-12-20 22:20:47.365000+00:00
7,176.8310546875,2021-12-20 22:20:47.431000+00:00,229.99267578125,2021-12-20 22:20:47.431000+00:00,26.321954247921752,2021-12-20 22:20:47.431000+00:00,25.12694922022156,2021-12-20 22:20:47.431000+00:00,12.1826171875,2021-12-20 22:20:47.431000+00:00,0.238037109375,2021-12-20 22:20:47.431000+00:00,0.23193359375,2021-12-20 22:20:47.431000+00:00,0.1312255859375,2021-12-20 22:20:47.431000+00:00,0.10986328125,2021-12-20 22:20:47.431000+00:00,1.7486572265625,2021-12-20 22:20:47.431000+00:00,1.35498046875,2021-12-20 22:20:47.431000+00:00,0.01220703125,2021-12-20 22:20:47.431000+00:00,0.152587890625,2021-12-20 22:20:47.431000+00:00,0.7110595703125,2021-12-20 22:20:47.431000+00:00,0.9002685546875,2021-12-20 22:20:47.431000+00:00,-0.0213623046875,2021-12-20 22:20:47.431000+00:00,0.2899169921875,2021-12-20 22:20:47.431000+00:00,1.373291015625,2021-12-20 22:20:47.431000+00:00,0.177001953125,2021-12-20 22:20:47.431000+00:00,0.0762939453125,2021-12-20 22:20:47.431000+00:00,0.0946044921875,2021-12-20 22:20:47.431000+00:00,0.2593994140625,2021-12-20 22:20:47.431000+00:00,0.299072265625,2021-12-20 22:20:47.431000+00:00,-0.0213623046875,2021-12-20 22:20:47.431000+00:00,0.177001953125,2021-12-20 22:20:47.431000+00:00,0.531005859375,2021-12-20 22:20:47.431000+00:00,-0.13427734375,2021-12-20 22:20:47.431000+00:00,0.262451171875,2021-12-20 22:20:47.431000+00:00,0.030517578125,2021-12-20 22:20:47.431000+00:00,0.8056640625,2021-12-20 22:20:47.431000+00:00,0.0457763671875,2021-12-20 22:20:47.431000+00:00,0.6195068359375,2021-12-20 22:20:47.431000+00:00,0.0030517578125,2021-12-20 22:20:47.431000+00:00,0.18310546875,2021-12-20 22:20:47.431000+00:00,24.671474974422363,2021-12-20 22:20:47.431000+00:00,24.27346363115964,2021-12-20 22:20:47.431000+00:00,-31.219995498657227,2021-12-20 22:20:47.432000+00:00
8,176.8310546875,2021-12-20 22:20:47.498000+00:00,229.99267578125,2021-12-20 22:20:47.498000+00:00,26.259542975253293,2021-12-20 22:20:47.498000+00:00,25.0941934527594,2021-12-20 22:20:47.498000+00:00,14.251708984375,2021-12-20 22:20:47.498000+00:00,0.5218505859375,2021-12-20 22:20:47.498000+00:00,0.0579833984375,2021-12-20 22:20:47.498000+00:00,0.0762939453125,2021-12-20 22:20:47.498000+00:00,-0.0732421875,2021-12-20 22:20:47.498000+00:00,2.0233154296875,2021-12-20 22:20:47.498000+00:00,1.3702392578125,2021-12-20 22:20:47.498000+00:00,-0.0335693359375,2021-12-20 22:20:47.498000+00:00,0.5645751953125,2021-12-20 22:20:47.498000+00:00,0.8697509765625,2021-12-20 22:20:47.498000+00:00,0.9063720703125,2021-12-20 22:20:47.498000+00:00,-0.1007080078125,2021-12-20 22:20:47.498000+00:00,0.335693359375,2021-12-20 22:20:47.498000+00:00,2.001953125,2021-12-20 22:20:47.498000+00:00,0.115966796875,2021-12-20 22:20:47.498000+00:00,0.0244140625,2021-12-20 22:20:47.498000+00:00,0.1007080078125,2021-12-20 22:20:47.498000+00:00,0.1983642578125,2021-12-20 22:20:47.498000+00:00,0.3265380859375,2021-12-20 22:20:47.498000+00:00,0.1007080078125,2021-12-20 22:20:47.498000+00:00,0.0091552734375,2021-12-20 22:20:47.498000+00:00,0.6072998046875,2021-12-20 22:20:47.498000+00:00,-0.0885009765625,2021-12-20 22:20:47.498000+00:00,0.2044677734375,2021-12-20 22:20:47.498000+00:00,0.128173828125,2021-12-20 22:20:47.498000+00:00,0.8026123046875,2021-12-20 22:20:47.498000+00:00,0.2105712890625,2021-12-20 22:20:47.498000+00:00,0.7720947265625,2021-12-20 22:20:47.498000+00:00,0.0213623046875,2021-12-20 22:20:47.498000+00:00,0.042724609375,2021-12-20 22:20:47.498000+00:00,24.501083378966857,2021-12-20 22:20:47.498000+00:00,23.981854006758272,2021-12-20 22:20:47.498000+00:00,-31.269994735717773,2021-12-20 22:20:47.498000+00:00
9,176.8310546875,2021-12-20 22:20:47.564000+00:00,229.931640625,2021-12-20 22:20:47.564000+00:00,26.49358524776001,2021-12-20 22:20:47.564000+00:00,25.29072805753235,2021-12-20 22:20:47.564000+00:00,10.791015625,2021-12-20 22:20:47.564000+00:00,0.3875732421875,2021-12-20 22:20:47.564000+00:00,0.1922607421875,2021-12-20 22:20:47.564000+00:00,0.25634765625,2021-12-20 22:20:47.564000+00:00,-0.1251220703125,2021-12-20 22:20:47.564000+00:00,1.8218994140625,2021-12-20 22:20:47.564000+00:00,1.177978515625,2021-12-20 22:20:47.564000+00:00,0.0732421875,2021-12-20 22:20:47.564000+00:00,0.299072265625,2021-12-20 22:20:47.564000+00:00,0.506591796875,2021-12-20 22:20:47.564000+00:00,0.6988525390625,2021-12-20 22:20:47.564000+00:00,-0.01220703125,2021-12-20 22:20:47.564000+00:00,0.311279296875,2021-12-20 22:20:47.564000+00:00,1.1749267578125,2021-12-20 22:20:47.564000+00:00,0.1983642578125,2021-12-20 22:20:47.564000+00:00,-0.15869140625,2021-12-20 22:20:47.564000+00:00,0.1190185546875,2021-12-20 22:20:47.564000+00:00,0.2655029296875,2021-12-20 22:20:47.564000+00:00,0.2105712890625,2021-12-20 22:20:47.564000+00:00,-0.067138671875,2021-12-20 22:20:47.564000+00:00,0.048828125,2021-12-20 22:20:47.564000+00:00,0.4058837890625,2021-12-20 22:20:47.564000+00:00,-0.1617431640625,2021-12-20 22:20:47.564000+00:00,0.274658203125,2021-12-20 22:20:47.564000+00:00,0.0885009765625,2021-12-20 22:20:47.564000+00:00,0.7843017578125,2021-12-20 22:20:47.564000+00:00,-0.0457763671875,2021-12-20 22:20:47.564000+00:00,0.4241943359375,2021-12-20 22:20:47.564000+00:00,-0.1068115234375,2021-12-20 22:20:47.564000+00:00,0.2197265625,2021-12-20 22:20:47.564000+00:00,24.717526756977904,2021-12-20 22:20:47.564000+00:00,24.258275629888736,2021-12-20 22:20:47.564000+00:00,-31.31999397277832,2021-12-20 22:20:47.565000+00:00
